survey_id,company_id,customer_id,survey_date,satisfaction_score,preferred_feature,purchase_factor,improvement_area,would_recommend
SRV016546,C003,CUST09954,2023-01-05,,Better software,Customer reviews,Battery life,Yes
SRV017200,C004,CUST03437,2023-01-05,,Lower price,Features,Software,Yes
SRV022782,C006,CUST07098,2023-01-05,5.0,Better design,Price,Durability,No
SRV022574,C004,CUST07876,2023-01-05,5.0,Improved durability,Customer reviews,Durability,No
SRV018572,C004,CUST07897,2023-01-05,,Better design,Features,Software,Yes
SRV000040,C007,CUST03237,2023-01-05,,Lower price,Customer reviews,Software,Yes
SRV025788,C008,CUST09309,2023-01-05,4.0,Improved durability,Quality,Customer support,No
SRV025633,C010,CUST07307,2023-01-05,,Lower price,Quality,Comfort,Yes
SRV006401,C006,CUST07849,2023-01-05,2.0,Improved comfort,Brand reputation,Battery life,No
SRV022405,C008,CUST06214,2023-01-05,,Better software,Features,Price,Yes
SRV007227,C002,CUST04102,2023-01-05,,More smart features,Performance,Customer support,Yes
SRV012793,C008,CUST09086,2023-01-06,,Improved durability,Design,Battery life,Yes
SRV005956,C007,CUST02481,2023-01-06,,Improved durability,Quality,Performance,No
SRV010957,C007,CUST00243,2023-01-06,,Better software,Brand reputation,Durability,Yes
SRV028337,C004,CUST00643,2023-01-06,,Lower price,Customer reviews,Software,No
SRV003722,C008,CUST05785,2023-01-06,,Better design,Design,Comfort,Yes
SRV013609,C001,CUST02079,2023-01-06,3.0,Improved durability,Design,Battery life,No
SRV005335,C005,CUST03809,2023-01-06,,Better design,Price,Customer support,No
SRV027593,C002,CUST02849,2023-01-06,,Improved durability,Performance,Customer support,Yes
SRV025611,C009,CUST09915,2023-01-06,,Lower price,Features,Performance,Yes
SRV001126,C002,CUST03560,2023-01-06,3.0,Lower price,Design,Customer support,No
SRV021110,C010,CUST09526,2023-01-06,5.0,Better design,Durability,Software,No
SRV009026,C002,CUST00339,2023-01-06,2.0,Better performance,Customer reviews,Price,No
SRV008075,C003,CUST06421,2023-01-06,3.0,Improved durability,Brand reputation,Design,No
SRV013593,C007,CUST07670,2023-01-06,,Better software,Durability,Battery life,Yes
SRV008148,C001,CUST07624,2023-01-06,,Better software,Features,Software,Yes
SRV003083,C008,CUST09941,2023-01-06,,Improved durability,Brand reputation,Performance,Yes
SRV022493,C004,CUST01454,2023-01-06,,Lower price,Brand reputation,Comfort,Yes
SRV002722,C004,CUST09039,2023-01-06,4.0,Better performance,Price,Durability,No
SRV023425,C010,CUST00970,2023-01-06,3.0,Better performance,Durability,Comfort,No
SRV018545,C003,CUST03527,2023-01-06,2.0,More smart features,Price,Price,No
SRV007602,C010,CUST00156,2023-01-06,,More smart features,Price,Design,Yes
SRV018835,C009,CUST08647,2023-01-06,5.0,Better software,Features,Customer support,No
SRV025081,C004,CUST07491,2023-01-06,2.0,Better software,Price,Price,No
SRV015450,C004,CUST02860,2023-01-06,,Lower price,Features,Software,Yes
SRV016182,C008,CUST09913,2023-01-06,,More smart features,Durability,Durability,Yes
SRV007442,C003,CUST04948,2023-01-06,,Improved comfort,Performance,Price,Yes
SRV018712,C007,CUST09483,2023-01-06,,Better performance,Quality,Customer support,Yes
SRV026283,C005,CUST06943,2023-01-07,2.0,Better performance,Features,Durability,No
SRV013994,C003,CUST04067,2023-01-07,,More smart features,Brand reputation,Software,No
SRV022409,C003,CUST04137,2023-01-07,2.0,Improved durability,Features,Performance,No
SRV007861,C007,CUST08784,2023-01-07,,Better software,Price,Price,No
SRV005848,C008,CUST02966,2023-01-07,4.0,Longer battery life,Customer reviews,Performance,No
SRV015570,C010,CUST01225,2023-01-07,3.0,Improved durability,Price,Durability,No
SRV006609,C009,CUST08371,2023-01-07,,More smart features,Durability,Design,Yes
SRV016267,C006,CUST08159,2023-01-07,,Longer battery life,Customer reviews,Performance,Yes
SRV027737,C010,CUST01842,2023-01-07,2.0,Improved comfort,Price,Price,No
SRV010277,C002,CUST00166,2023-01-07,,Better performance,Quality,Performance,Yes
SRV007477,C006,CUST02296,2023-01-07,,Better software,Features,Durability,Yes
SRV008431,C004,CUST03358,2023-01-07,,Better software,Price,Performance,Yes
SRV010653,C006,CUST02924,2023-01-07,,Better software,Design,Battery life,Yes
SRV023764,C008,CUST09687,2023-01-07,,Better software,Price,Comfort,Yes
SRV005988,C010,CUST06792,2023-01-07,,Better performance,Design,Battery life,Yes
SRV007046,C008,CUST07281,2023-01-07,,Improved durability,Customer reviews,Design,No
SRV022472,C001,CUST09425,2023-01-07,,Better design,Durability,Performance,Yes
SRV010887,C008,CUST08120,2023-01-07,5.0,Better performance,Quality,Battery life,No
SRV020887,C002,CUST09155,2023-01-07,3.0,Lower price,Features,Design,No
SRV025250,C006,CUST03605,2023-01-07,1.0,More smart features,Durability,Durability,No
SRV008302,C010,CUST00521,2023-01-07,4.0,Improved comfort,Price,Design,No
SRV013117,C006,CUST08052,2023-01-07,2.0,Improved durability,Features,Design,No
SRV028855,C003,CUST08382,2023-01-07,5.0,Lower price,Quality,Battery life,No
SRV006467,C006,CUST05967,2023-01-07,,Improved comfort,Price,Performance,Yes
SRV003038,C001,CUST08180,2023-01-07,,Better design,Quality,Price,No
SRV004198,C004,CUST03705,2023-01-07,,Longer battery life,Brand reputation,Design,No
SRV028669,C006,CUST05185,2023-01-07,,Longer battery life,Durability,Comfort,Yes
SRV008906,C003,CUST09624,2023-01-07,,More smart features,Features,Customer support,Yes
SRV002852,C006,CUST00849,2023-01-07,,Better software,Quality,Design,No
SRV000929,C010,CUST00745,2023-01-08,,Lower price,Price,Customer support,Yes
SRV011435,C009,CUST08933,2023-01-08,,Better design,Performance,Software,Yes
SRV013595,C008,CUST04079,2023-01-08,,Longer battery life,Customer reviews,Customer support,Yes
SRV003506,C002,CUST04329,2023-01-08,,Improved durability,Design,Customer support,Yes
SRV005010,C007,CUST05189,2023-01-08,2.0,Improved durability,Performance,Software,No
SRV018619,C006,CUST03966,2023-01-08,1.0,Improved durability,Quality,Battery life,No
SRV020868,C005,CUST01724,2023-01-08,4.0,Longer battery life,Performance,Battery life,No
SRV015875,C005,CUST04426,2023-01-08,1.0,Better performance,Performance,Performance,No
SRV010814,C006,CUST00404,2023-01-08,2.0,Better performance,Brand reputation,Price,No
SRV027206,C002,CUST01678,2023-01-08,,Lower price,Price,Customer support,Yes
SRV006993,C006,CUST05465,2023-01-08,5.0,Improved durability,Brand reputation,Durability,No
SRV021845,C005,CUST04107,2023-01-08,4.0,Improved durability,Customer reviews,Price,No
SRV000371,C004,CUST00669,2023-01-08,1.0,Lower price,Customer reviews,Durability,No
SRV020782,C001,CUST07521,2023-01-08,1.0,More smart features,Durability,Design,No
SRV023951,C007,CUST02026,2023-01-08,,Better software,Quality,Customer support,Yes
SRV005347,C002,CUST04846,2023-01-08,,Lower price,Durability,Price,Yes
SRV000575,C004,CUST05035,2023-01-08,,Better performance,Design,Customer support,Yes
SRV014274,C001,CUST07742,2023-01-08,2.0,Better performance,Quality,Durability,No
SRV005754,C010,CUST08128,2023-01-08,,Better software,Brand reputation,Design,Yes
SRV014883,C002,CUST02451,2023-01-08,,Better software,Features,Software,Yes
SRV026266,C002,CUST05652,2023-01-08,1.0,Better design,Customer reviews,Customer support,No
SRV022021,C006,CUST07553,2023-01-08,,Lower price,Performance,Performance,Yes
SRV026907,C006,CUST01002,2023-01-08,4.0,Improved comfort,Durability,Comfort,No
SRV029902,C004,CUST05204,2023-01-09,1.0,Improved comfort,Design,Customer support,No
SRV026459,C006,CUST05497,2023-01-09,,Lower price,Design,Battery life,Yes
SRV013855,C009,CUST00111,2023-01-09,,More smart features,Performance,Battery life,No
SRV024565,C002,CUST04890,2023-01-09,5.0,Improved comfort,Design,Comfort,No
SRV027541,C010,CUST07134,2023-01-09,3.0,More smart features,Features,Price,No
SRV013620,C008,CUST01972,2023-01-09,,Better performance,Brand reputation,Customer support,Yes
SRV006316,C003,CUST06953,2023-01-09,3.0,Improved durability,Quality,Battery life,No
SRV029978,C002,CUST00912,2023-01-09,,Better design,Brand reputation,Comfort,Yes
SRV001249,C005,CUST02000,2023-01-09,,Improved comfort,Durability,Performance,Yes
SRV001151,C008,CUST05047,2023-01-09,2.0,Better design,Customer reviews,Price,No
SRV029467,C010,CUST09761,2023-01-09,4.0,Better performance,Performance,Design,No
SRV007438,C006,CUST02920,2023-01-09,1.0,More smart features,Price,Performance,No
SRV004430,C009,CUST01382,2023-01-09,2.0,Better performance,Brand reputation,Design,No
SRV007485,C004,CUST04322,2023-01-09,,More smart features,Design,Software,Yes
SRV007206,C004,CUST08607,2023-01-09,,Better design,Customer reviews,Battery life,Yes
SRV028313,C008,CUST01911,2023-01-09,1.0,Improved comfort,Brand reputation,Performance,No
SRV013194,C008,CUST07053,2023-01-09,4.0,Improved comfort,Customer reviews,Battery life,No
SRV004102,C001,CUST02032,2023-01-09,2.0,Improved comfort,Customer reviews,Durability,No
SRV002709,C007,CUST07048,2023-01-09,2.0,Improved durability,Price,Customer support,No
SRV019767,C008,CUST09973,2023-01-09,3.0,Better design,Performance,Software,No
SRV023068,C007,CUST00862,2023-01-09,1.0,Better software,Price,Price,No
SRV017839,C003,CUST01433,2023-01-09,,More smart features,Customer reviews,Performance,Yes
SRV022693,C005,CUST06610,2023-01-09,,Improved comfort,Durability,Battery life,No
SRV028650,C005,CUST08779,2023-01-09,4.0,More smart features,Quality,Design,No
SRV014777,C008,CUST01738,2023-01-09,,Lower price,Customer reviews,Software,Yes
SRV017395,C002,CUST00792,2023-01-09,5.0,Better software,Customer reviews,Performance,No
SRV000631,C010,CUST08854,2023-01-09,4.0,Better design,Performance,Software,No
SRV028598,C010,CUST01485,2023-01-09,5.0,Better performance,Features,Software,No
SRV014359,C010,CUST01842,2023-01-09,4.0,Lower price,Customer reviews,Comfort,No
SRV014760,C004,CUST05607,2023-01-09,1.0,Lower price,Durability,Comfort,No
SRV011744,C001,CUST06072,2023-01-10,,Improved comfort,Quality,Price,Yes
SRV008732,C009,CUST09412,2023-01-10,,Better performance,Durability,Price,No
SRV024971,C007,CUST07580,2023-01-10,5.0,Longer battery life,Brand reputation,Design,No
SRV009996,C007,CUST02348,2023-01-10,,Better design,Price,Customer support,Yes
SRV004561,C005,CUST01176,2023-01-10,4.0,Longer battery life,Quality,Durability,No
SRV011305,C005,CUST04100,2023-01-10,2.0,Better software,Durability,Durability,No
SRV008615,C006,CUST03422,2023-01-10,5.0,Better design,Design,Design,No
SRV001060,C001,CUST00696,2023-01-10,,Better design,Features,Performance,Yes
SRV028455,C003,CUST03378,2023-01-10,,More smart features,Durability,Price,Yes
SRV013284,C001,CUST02667,2023-01-10,,Better software,Design,Software,Yes
SRV024532,C004,CUST03036,2023-01-10,,Improved durability,Durability,Software,Yes
SRV020596,C005,CUST08745,2023-01-10,2.0,Lower price,Brand reputation,Performance,No
SRV020101,C007,CUST03981,2023-01-10,1.0,More smart features,Features,Durability,No
SRV009400,C007,CUST07370,2023-01-10,,Lower price,Features,Comfort,Yes
SRV028693,C002,CUST02934,2023-01-10,3.0,Longer battery life,Customer reviews,Durability,No
SRV003975,C009,CUST07375,2023-01-10,2.0,Lower price,Design,Battery life,No
SRV000773,C009,CUST00762,2023-01-10,5.0,Improved comfort,Durability,Performance,No
SRV014844,C010,CUST09199,2023-01-10,,Better performance,Customer reviews,Performance,Yes
SRV001469,C007,CUST02637,2023-01-10,1.0,Better software,Features,Comfort,No
SRV024277,C006,CUST06727,2023-01-10,4.0,Longer battery life,Features,Design,No
SRV003755,C008,CUST04519,2023-01-10,,Longer battery life,Features,Comfort,Yes
SRV008211,C002,CUST01124,2023-01-10,,Better software,Quality,Durability,Yes
SRV023909,C006,CUST06446,2023-01-10,1.0,Improved comfort,Quality,Comfort,No
SRV006384,C006,CUST02058,2023-01-10,,Lower price,Features,Durability,Yes
SRV022327,C005,CUST09493,2023-01-10,1.0,Better performance,Price,Customer support,No
SRV006806,C004,CUST00526,2023-01-10,1.0,Lower price,Price,Customer support,No
SRV029047,C001,CUST09452,2023-01-10,3.0,Lower price,Price,Performance,No
SRV022754,C009,CUST05111,2023-01-10,,Better design,Performance,Comfort,Yes
SRV014889,C001,CUST03545,2023-01-10,2.0,Better performance,Price,Performance,No
SRV007107,C004,CUST05182,2023-01-10,,Better design,Durability,Durability,No
SRV016281,C010,CUST03309,2023-01-11,3.0,More smart features,Performance,Design,No
SRV017337,C008,CUST02375,2023-01-11,4.0,Better software,Durability,Software,No
SRV012656,C004,CUST07772,2023-01-11,1.0,Better performance,Design,Customer support,No
SRV027839,C004,CUST05895,2023-01-11,,Better design,Durability,Design,Yes
SRV025962,C009,CUST05856,2023-01-11,,Longer battery life,Price,Design,Yes
SRV027707,C010,CUST00590,2023-01-11,,Better software,Features,Performance,Yes
SRV019491,C010,CUST03132,2023-01-11,2.0,Lower price,Price,Price,No
SRV026511,C001,CUST07180,2023-01-11,4.0,Better design,Design,Battery life,No
SRV015988,C010,CUST09160,2023-01-11,4.0,Better software,Brand reputation,Customer support,No
SRV008948,C001,CUST00952,2023-01-11,4.0,Longer battery life,Quality,Comfort,No
SRV014900,C010,CUST03132,2023-01-11,1.0,Lower price,Durability,Comfort,No
SRV018284,C004,CUST03816,2023-01-11,,Improved durability,Design,Durability,Yes
SRV007434,C009,CUST06141,2023-01-11,5.0,Lower price,Customer reviews,Battery life,No
SRV018391,C010,CUST05331,2023-01-11,3.0,Improved comfort,Performance,Battery life,No
SRV007300,C002,CUST02075,2023-01-11,,Lower price,Durability,Price,Yes
SRV023541,C008,CUST02009,2023-01-11,,More smart features,Price,Customer support,Yes
SRV005844,C007,CUST00765,2023-01-11,,Improved comfort,Durability,Battery life,No
SRV003998,C007,CUST03257,2023-01-11,,Better software,Performance,Performance,Yes
SRV021016,C006,CUST01993,2023-01-11,,Improved comfort,Customer reviews,Price,Yes
SRV023382,C001,CUST05427,2023-01-11,3.0,Longer battery life,Quality,Price,No
SRV009242,C002,CUST06619,2023-01-12,,Better performance,Performance,Customer support,Yes
SRV006060,C005,CUST01724,2023-01-12,2.0,Improved comfort,Price,Performance,No
SRV002028,C006,CUST00946,2023-01-12,5.0,Better design,Features,Performance,No
SRV016345,C006,CUST03190,2023-01-12,2.0,Better performance,Brand reputation,Comfort,No
SRV029424,C001,CUST09925,2023-01-12,,Longer battery life,Customer reviews,Design,No
SRV006747,C010,CUST02991,2023-01-12,3.0,Better performance,Performance,Design,No
SRV010260,C006,CUST04507,2023-01-12,,Lower price,Quality,Performance,No
SRV014270,C009,CUST01746,2023-01-12,,Better performance,Design,Design,Yes
SRV018065,C006,CUST03957,2023-01-12,1.0,Better performance,Durability,Customer support,No
SRV007374,C004,CUST03555,2023-01-12,2.0,Lower price,Brand reputation,Durability,No
SRV018615,C001,CUST09204,2023-01-12,,More smart features,Design,Durability,Yes
SRV010055,C004,CUST02925,2023-01-12,,Better performance,Features,Customer support,Yes
SRV028453,C007,CUST03953,2023-01-12,,More smart features,Features,Battery life,Yes
SRV003874,C002,CUST09894,2023-01-12,1.0,Better software,Price,Design,No
SRV000080,C002,CUST07259,2023-01-12,2.0,Better software,Features,Design,No
SRV009858,C009,CUST02808,2023-01-12,1.0,Improved comfort,Brand reputation,Software,No
SRV005804,C001,CUST04211,2023-01-12,,Lower price,Durability,Price,Yes
SRV007399,C005,CUST06608,2023-01-12,,Better software,Quality,Customer support,Yes
SRV010230,C002,CUST02632,2023-01-12,3.0,Better performance,Price,Durability,No
SRV007431,C007,CUST01431,2023-01-12,5.0,Better software,Price,Comfort,No
SRV014707,C003,CUST08618,2023-01-12,,Better performance,Customer reviews,Durability,Yes
SRV017362,C002,CUST06880,2023-01-12,2.0,Longer battery life,Design,Customer support,No
SRV008885,C006,CUST02521,2023-01-12,,Better software,Customer reviews,Software,Yes
SRV002531,C004,CUST00318,2023-01-12,,Improved comfort,Durability,Battery life,Yes
SRV003935,C004,CUST09419,2023-01-12,,Better software,Design,Comfort,Yes
SRV008586,C007,CUST04256,2023-01-12,,Improved comfort,Price,Comfort,Yes
SRV006410,C005,CUST01513,2023-01-12,2.0,Better performance,Customer reviews,Durability,No
SRV015517,C001,CUST01989,2023-01-12,1.0,Better performance,Brand reputation,Comfort,No
SRV015960,C004,CUST00635,2023-01-13,,More smart features,Customer reviews,Comfort,Yes
SRV017524,C007,CUST01920,2023-01-13,,Improved comfort,Features,Customer support,Yes
SRV028534,C001,CUST09828,2023-01-13,,Better performance,Brand reputation,Price,Yes
SRV007754,C001,CUST09869,2023-01-13,,Lower price,Quality,Customer support,Yes
SRV006275,C009,CUST00901,2023-01-13,,Lower price,Performance,Durability,No
SRV024099,C009,CUST03223,2023-01-13,2.0,Better design,Performance,Comfort,No
SRV014411,C009,CUST04110,2023-01-13,5.0,Better performance,Quality,Price,No
SRV016143,C008,CUST03731,2023-01-13,1.0,Better performance,Brand reputation,Battery life,No
SRV027452,C003,CUST02538,2023-01-13,,Improved durability,Customer reviews,Customer support,Yes
SRV006403,C005,CUST04578,2023-01-13,3.0,Better design,Quality,Price,No
SRV005187,C006,CUST09670,2023-01-13,,More smart features,Quality,Customer support,No
SRV016109,C002,CUST05202,2023-01-13,2.0,Improved comfort,Price,Comfort,No
SRV001489,C009,CUST00956,2023-01-13,2.0,Improved durability,Quality,Comfort,No
SRV024600,C010,CUST01708,2023-01-13,1.0,Longer battery life,Brand reputation,Price,No
SRV027199,C003,CUST02908,2023-01-13,,Better software,Durability,Customer support,Yes
SRV017354,C006,CUST07055,2023-01-13,,Better software,Performance,Price,Yes
SRV016928,C006,CUST01995,2023-01-13,,Better performance,Price,Price,No
SRV014219,C002,CUST06454,2023-01-13,,Improved comfort,Price,Customer support,No
SRV010223,C002,CUST04191,2023-01-13,,Better software,Design,Customer support,Yes
