customer_id,company_id,age_group,gender,location,income_segment,customer_segment,registration_date,loyalty_level
CUST00049,C007,26-35,Other,Japan,Premium,Value Seeker,2020-04-11,Loyal
CUST00050,C003,46-55,Male,South Korea,Medium,Value Seeker,2021-03-18,VIP
CUST00051,C006,26-35,Male,India,Medium,Premium Customer,2023-06-04,Loyal
CUST00052,C005,36-45,Female,Singapore,High,Budget Buyer,2020-10-11,New
CUST00053,C005,56+,Female,India,Low,Technology Enthusiast,2022-01-01,VIP
CUST00054,C006,46-55,Other,USA,Premium,Technology Enthusiast,2023-07-08,Regular
CUST00055,C005,46-55,Male,Germany,High,Premium Customer,2020-06-30,New
CUST00056,C006,18-25,Other,Canada,High,Premium Customer,2023-07-09,Loyal
CUST00057,C007,56+,Male,Germany,Premium,Premium Customer,2023-04-26,Regular
CUST00058,C010,36-45,Female,India,High,Young Professional,2026-05-20,Regular
CUST00059,C007,56+,Other,Japan,Premium,Premium Customer,2026-07-03,VIP
CUST00060,C004,46-55,Other,UK,Low,Young Professional,2025-09-24,Loyal
CUST00061,C002,36-45,Male,Germany,Medium,Budget Buyer,2022-08-20,New
CUST00062,C004,56+,Male,South Korea,Premium,Technology Enthusiast,2025-04-30,Regular
CUST00063,C007,46-55,Male,UK,Low,Budget Buyer,2025-07-17,VIP
CUST00064,C004,56+,Female,India,Medium,Budget Buyer,2021-12-21,VIP
CUST00065,C003,56+,Other,Japan,Premium,Technology Enthusiast,2025-03-18,VIP
CUST00066,C009,26-35,Other,South Korea,Premium,Young Professional,2024-12-31,Regular
CUST00067,C005,46-55,Other,Germany,High,Premium Customer,2025-11-05,New
CUST00068,C005,36-45,Female,Japan,Low,Value Seeker,2022-08-18,Regular
CUST00069,C004,26-35,Other,Germany,Low,Premium Customer,2024-04-17,VIP
CUST00070,C006,46-55,Female,India,Medium,Premium Customer,2026-01-31,VIP
CUST00071,C010,56+,Female,South Korea,Low,Young Professional,2020-03-21,Loyal
CUST00072,C007,56+,Other,Germany,Premium,Value Seeker,2024-09-12,Loyal
CUST00073,C007,18-25,Female,Japan,Premium,Value Seeker,2025-06-12,VIP
CUST00074,C003,18-25,Female,India,Low,Premium Customer,2025-12-27,Regular
CUST00075,C008,18-25,Female,Singapore,High,Value Seeker,2022-01-14,VIP
CUST00076,C006,46-55,Female,Singapore,High,Budget Buyer,2023-10-14,VIP
CUST00077,C001,18-25,Female,Germany,Low,Budget Buyer,2026-01-18,New
CUST00078,C004,18-25,Other,UK,Medium,Value Seeker,2022-03-27,VIP
CUST00079,C002,26-35,Female,Canada,High,Value Seeker,2026-04-29,New
CUST00080,C003,18-25,Other,India,High,Technology Enthusiast,2023-06-28,VIP
CUST00081,C007,18-25,Other,Germany,Low,Young Professional,2022-03-23,New
CUST00082,C010,36-45,Other,Singapore,High,Budget Buyer,2020-06-17,Loyal
CUST00083,C001,46-55,Male,Singapore,High,Premium Customer,2024-09-16,Regular
CUST00084,C007,56+,Other,Canada,Premium,Premium Customer,2021-12-22,VIP
CUST00085,C010,36-45,Male,USA,High,Premium Customer,2023-01-04,Regular
CUST00086,C008,56+,Other,Singapore,High,Budget Buyer,2026-05-23,VIP
CUST00087,C006,46-55,Male,Japan,High,Young Professional,2022-01-14,Loyal
CUST00088,C010,56+,Male,Germany,Low,Value Seeker,2023-02-05,VIP
CUST00089,C008,26-35,Other,South Korea,Premium,Premium Customer,2026-03-24,New
CUST00090,C002,26-35,Female,Germany,High,Technology Enthusiast,2023-04-20,Loyal
CUST00091,C008,56+,Female,Singapore,High,Young Professional,2026-03-17,VIP
CUST00092,C005,36-45,Male,USA,Medium,Young Professional,2023-06-09,New
CUST00093,C009,26-35,Male,South Korea,High,Technology Enthusiast,2022-01-28,Loyal
CUST00094,C002,36-45,Male,Japan,Medium,Young Professional,2022-03-06,New
CUST00095,C009,36-45,Male,India,High,Value Seeker,2021-06-02,VIP
CUST00096,C002,56+,Female,South Korea,Premium,Premium Customer,2020-02-20,Loyal
CUST00097,C003,36-45,Female,USA,Low,Premium Customer,2020-07-29,VIP
CUST00098,C002,18-25,Male,UK,High,Budget Buyer,2026-06-21,Regular
CUST00099,C002,46-55,Other,Germany,Premium,Premium Customer,2026-04-04,VIP
CUST00100,C005,36-45,Other,India,Low,Value Seeker,2024-10-22,Regular
CUST00101,C005,26-35,Male,UK,Low,Value Seeker,2020-11-28,New
CUST00102,C007,56+,Female,Canada,Low,Value Seeker,2025-01-19,Loyal
CUST00103,C005,18-25,Other,Germany,High,Technology Enthusiast,2025-02-02,Regular
CUST00104,C007,56+,Male,UK,High,Value Seeker,2021-04-15,New
CUST00105,C001,36-45,Other,Canada,Premium,Budget Buyer,2021-11-10,VIP
CUST00106,C005,36-45,Other,South Korea,Premium,Budget Buyer,2024-07-06,New
CUST00107,C007,56+,Female,India,Low,Value Seeker,2023-08-13,New
CUST00108,C005,18-25,Male,South Korea,Premium,Young Professional,2026-06-18,Regular
CUST00109,C010,46-55,Male,South Korea,High,Premium Customer,2024-11-20,Loyal
CUST00110,C006,26-35,Female,Singapore,Premium,Young Professional,2021-03-04,VIP
CUST00111,C009,46-55,Male,Japan,High,Young Professional,2020-05-30,New
CUST00112,C007,18-25,Other,South Korea,Premium,Budget Buyer,2025-10-08,Regular
CUST00113,C009,56+,Female,South Korea,Low,Value Seeker,2024-01-21,Loyal
CUST00114,C009,36-45,Female,South Korea,Low,Budget Buyer,2021-06-20,Regular
CUST00115,C003,56+,Male,Singapore,Low,Value Seeker,2023-06-26,New
CUST00116,C008,26-35,Female,Canada,High,Premium Customer,2021-04-26,VIP
CUST00117,C008,46-55,Other,UK,Premium,Value Seeker,2022-09-25,Regular
CUST00118,C002,46-55,Female,Canada,Low,Young Professional,2023-02-05,Loyal
CUST00119,C010,46-55,Male,South Korea,Premium,Young Professional,2026-07-03,Loyal
CUST00120,C009,46-55,Female,Japan,Medium,Value Seeker,2026-02-03,VIP
CUST00121,C004,18-25,Female,South Korea,Premium,Premium Customer,2024-08-09,Regular
CUST00122,C008,26-35,Other,Japan,Low,Premium Customer,2020-05-31,New
CUST00123,C009,18-25,Other,UK,Premium,Value Seeker,2025-02-14,New
CUST00124,C008,36-45,Other,Singapore,Low,Young Professional,2022-12-21,VIP
CUST00125,C006,56+,Male,USA,Medium,Young Professional,2025-06-21,Regular
CUST00126,C002,18-25,Other,USA,Premium,Value Seeker,2024-11-12,Loyal
CUST00127,C001,36-45,Male,Canada,High,Young Professional,2020-07-07,VIP
CUST00128,C003,56+,Female,UK,Medium,Value Seeker,2022-09-27,New
CUST00129,C010,56+,Other,Germany,Premium,Technology Enthusiast,2024-04-15,Regular
CUST00130,C004,36-45,Female,Canada,Low,Premium Customer,2025-03-03,Loyal
CUST00131,C009,18-25,Female,Japan,High,Premium Customer,2021-10-09,Loyal
CUST00132,C008,26-35,Female,South Korea,Low,Value Seeker,2023-05-22,VIP
CUST00133,C010,56+,Female,Canada,Low,Premium Customer,2024-01-10,Loyal
CUST00134,C001,18-25,Other,South Korea,High,Value Seeker,2026-05-07,Loyal
CUST00135,C004,56+,Female,UK,Low,Budget Buyer,2022-02-17,Loyal
CUST00136,C008,56+,Female,UK,Low,Young Professional,2020-05-16,Loyal
CUST00137,C007,26-35,Male,Japan,High,Value Seeker,2021-12-20,Loyal
CUST00138,C008,36-45,Male,South Korea,Low,Value Seeker,2023-04-23,Regular
CUST00139,C007,36-45,Male,Singapore,Low,Young Professional,2026-04-01,New
CUST00140,C008,36-45,Other,Singapore,High,Budget Buyer,2024-02-18,Regular
CUST00141,C008,56+,Other,Japan,Medium,Budget Buyer,2020-04-12,VIP
CUST00142,C005,18-25,Male,India,Low,Young Professional,2024-07-30,VIP
CUST00143,C002,26-35,Other,UK,Premium,Premium Customer,2021-02-02,Loyal
CUST00144,C009,56+,Other,UK,Premium,Budget Buyer,2024-09-12,VIP
CUST00145,C010,36-45,Male,Japan,Medium,Premium Customer,2024-07-29,VIP
CUST00146,C004,18-25,Other,Japan,High,Budget Buyer,2024-01-25,VIP
CUST00147,C005,18-25,Female,USA,Medium,Technology Enthusiast,2022-02-16,New
CUST00148,C001,26-35,Male,Germany,Low,Technology Enthusiast,2023-09-28,Regular
CUST00149,C010,26-35,Female,UK,Low,Young Professional,2022-06-03,Regular
CUST00150,C003,36-45,Male,USA,Low,Value Seeker,2026-01-21,New
CUST00151,C006,56+,Female,India,Medium,Young Professional,2022-09-01,New
CUST00152,C003,56+,Male,USA,Premium,Premium Customer,2024-09-20,Loyal
CUST00153,C009,46-55,Other,Germany,Low,Technology Enthusiast,2021-03-22,Loyal
CUST00154,C008,18-25,Female,Singapore,Premium,Budget Buyer,2020-05-07,VIP
CUST00155,C008,18-25,Female,UK,Low,Value Seeker,2020-10-28,Loyal
CUST00156,C010,56+,Other,Japan,Premium,Technology Enthusiast,2026-07-25,Loyal
CUST00157,C008,56+,Female,USA,Low,Technology Enthusiast,2025-09-01,Regular
CUST00158,C007,26-35,Female,Japan,Premium,Premium Customer,2025-01-23,VIP
CUST00159,C002,46-55,Female,Canada,High,Value Seeker,2023-07-04,VIP
CUST00160,C002,18-25,Male,Singapore,Low,Young Professional,2021-01-08,Regular
CUST00161,C009,56+,Other,Japan,Low,Premium Customer,2020-09-02,Loyal
CUST00162,C007,36-45,Other,Canada,High,Budget Buyer,2020-07-29,Regular
CUST00163,C003,26-35,Male,Japan,High,Budget Buyer,2025-05-29,Loyal
CUST00164,C010,46-55,Other,India,High,Budget Buyer,2022-07-15,Regular
CUST00165,C005,36-45,Female,India,Medium,Value Seeker,2023-06-19,VIP
CUST00166,C002,18-25,Male,Germany,Premium,Premium Customer,2021-08-04,VIP
CUST00167,C006,36-45,Female,Japan,Low,Budget Buyer,2021-10-06,Regular
CUST00168,C003,18-25,Female,South Korea,Premium,Premium Customer,2020-07-22,VIP
CUST00169,C007,26-35,Other,USA,High,Premium Customer,2023-01-23,New
CUST00170,C005,56+,Other,Canada,Low,Value Seeker,2025-06-16,VIP
CUST00171,C010,18-25,Male,Canada,Medium,Value Seeker,2020-08-12,Loyal
CUST00172,C005,18-25,Male,South Korea,Premium,Value Seeker,2023-09-05,Regular
CUST00173,C007,26-35,Other,Japan,Low,Premium Customer,2025-12-21,New
CUST00174,C007,46-55,Male,Japan,Premium,Technology Enthusiast,2020-03-17,VIP
CUST00175,C007,18-25,Female,India,High,Value Seeker,2023-03-31,VIP
CUST00176,C006,46-55,Male,Germany,Premium,Technology Enthusiast,2020-12-26,VIP
CUST00177,C009,46-55,Female,Japan,Medium,Young Professional,2020-11-18,Regular
CUST00178,C002,18-25,Other,Germany,High,Young Professional,2025-09-21,Regular
CUST00179,C004,26-35,Female,Germany,Medium,Technology Enthusiast,2021-02-25,Regular
CUST00180,C002,46-55,Female,South Korea,High,Young Professional,2021-12-26,Regular
CUST00181,C008,46-55,Female,Canada,High,Technology Enthusiast,2020-10-06,New
CUST00182,C006,18-25,Female,South Korea,Premium,Budget Buyer,2025-09-09,New
CUST00183,C006,18-25,Other,USA,Premium,Premium Customer,2023-03-21,New
CUST00184,C008,26-35,Female,South Korea,Medium,Budget Buyer,2026-05-30,VIP
CUST00185,C002,18-25,Other,UK,Low,Value Seeker,2023-11-07,VIP
CUST00186,C008,56+,Other,UK,High,Young Professional,2025-11-16,Loyal
CUST00187,C007,36-45,Other,India,High,Budget Buyer,2024-08-01,Loyal
CUST00188,C002,46-55,Female,Canada,Medium,Young Professional,2026-04-04,New
CUST00189,C010,36-45,Female,Singapore,Medium,Technology Enthusiast,2021-08-02,New
CUST00190,C005,46-55,Other,Japan,Medium,Technology Enthusiast,2026-04-08,New
CUST00191,C007,36-45,Male,Japan,High,Value Seeker,2025-09-13,Regular
CUST00192,C006,26-35,Male,UK,Medium,Budget Buyer,2025-06-14,Loyal
CUST00193,C002,56+,Other,India,High,Technology Enthusiast,2025-09-10,Regular
CUST00194,C010,26-35,Male,UK,Medium,Premium Customer,2024-03-23,New
CUST00195,C007,26-35,Female,Canada,Premium,Value Seeker,2024-02-01,Regular
CUST00196,C005,26-35,Female,South Korea,Premium,Young Professional,2025-04-05,VIP
CUST00197,C009,46-55,Male,Germany,Medium,Young Professional,2025-11-30,New
CUST00198,C008,56+,Male,USA,High,Budget Buyer,2024-02-29,Regular
CUST00199,C005,56+,Male,Singapore,Low,Value Seeker,2025-01-14,VIP
CUST00200,C006,46-55,Male,Singapore,High,Value Seeker,2020-04-19,VIP
CUST00201,C002,26-35,Male,Japan,Low,Young Professional,2024-03-15,Regular
CUST00202,C003,36-45,Female,UK,Premium,Premium Customer,2020-06-05,New
CUST00203,C002,36-45,Male,UK,Premium,Budget Buyer,2020-03-18,Loyal
CUST00204,C004,18-25,Male,Germany,Premium,Technology Enthusiast,2023-05-18,VIP
CUST00205,C002,46-55,Other,India,Medium,Value Seeker,2021-03-30,Loyal
CUST00206,C007,56+,Female,Germany,Premium,Value Seeker,2020-01-07,New
CUST00207,C009,18-25,Other,India,Premium,Premium Customer,2024-01-17,New
CUST00208,C007,36-45,Other,India,High,Budget Buyer,2024-03-09,Loyal
CUST00209,C004,56+,Other,Japan,Medium,Budget Buyer,2021-02-28,Loyal
CUST00210,C009,26-35,Other,South Korea,Premium,Value Seeker,2023-10-18,Regular
CUST00211,C002,18-25,Female,Germany,Low,Value Seeker,2025-02-17,New
CUST00212,C006,56+,Female,South Korea,High,Budget Buyer,2023-06-24,Regular
CUST00213,C005,18-25,Other,Japan,High,Budget Buyer,2024-01-02,Loyal
CUST00214,C007,46-55,Female,Japan,Medium,Premium Customer,2024-06-26,VIP
CUST00215,C006,36-45,Male,Singapore,Low,Premium Customer,2025-10-27,Regular
CUST00216,C009,36-45,Male,USA,High,Young Professional,2023-04-18,Loyal
CUST00217,C008,26-35,Other,South Korea,High,Premium Customer,2024-10-11,New
CUST00218,C006,36-45,Other,India,Low,Premium Customer,2024-11-16,Loyal
CUST00219,C009,18-25,Male,South Korea,Low,Value Seeker,2021-10-17,New
CUST00220,C004,36-45,Female,India,Medium,Premium Customer,2024-02-09,Loyal
CUST00221,C006,18-25,Other,UK,High,Premium Customer,2024-12-23,Loyal
CUST00222,C005,18-25,Male,UK,Premium,Technology Enthusiast,2022-10-19,VIP
CUST00223,C009,36-45,Female,South Korea,Medium,Technology Enthusiast,2021-04-27,Loyal
CUST00224,C008,18-25,Male,USA,Premium,Value Seeker,2022-03-30,VIP
CUST00225,C002,36-45,Other,USA,High,Young Professional,2023-08-02,Regular
CUST00226,C003,56+,Male,USA,Medium,Value Seeker,2024-01-20,Regular
CUST00227,C008,36-45,Other,Japan,Premium,Technology Enthusiast,2020-04-17,Regular
CUST00228,C010,18-25,Female,Singapore,Premium,Technology Enthusiast,2020-12-19,VIP
CUST00229,C007,18-25,Male,Japan,Low,Premium Customer,2026-06-12,VIP
CUST00230,C009,26-35,Other,UK,Medium,Premium Customer,2023-11-12,New
CUST00231,C002,26-35,Female,UK,Medium,Young Professional,2025-10-23,Regular
CUST00232,C006,36-45,Male,Canada,Medium,Technology Enthusiast,2025-10-26,Loyal
CUST00233,C003,56+,Other,USA,Medium,Technology Enthusiast,2023-05-25,Regular
CUST00234,C003,56+,Male,India,Low,Budget Buyer,2023-10-14,Loyal
CUST00235,C004,46-55,Other,India,Premium,Technology Enthusiast,2026-06-01,Loyal
CUST00236,C005,26-35,Other,Singapore,High,Premium Customer,2025-06-01,New
CUST00237,C001,46-55,Female,South Korea,Premium,Value Seeker,2021-10-09,Loyal
CUST00238,C010,36-45,Other,Japan,High,Premium Customer,2021-08-11,Regular
CUST00239,C006,56+,Male,Japan,Medium,Premium Customer,2025-10-10,New
CUST00240,C005,26-35,Male,USA,Low,Young Professional,2025-01-15,VIP
CUST00241,C010,26-35,Male,Japan,High,Value Seeker,2024-09-08,Regular
CUST00242,C008,46-55,Female,Canada,Premium,Budget Buyer,2025-10-09,New
CUST00243,C007,46-55,Male,Germany,High,Budget Buyer,2025-09-01,New
CUST00244,C005,56+,Other,South Korea,High,Technology Enthusiast,2025-07-20,New
CUST00245,C002,26-35,Female,Japan,Premium,Young Professional,2024-10-31,New
CUST00246,C007,56+,Other,Germany,High,Technology Enthusiast,2020-07-28,Loyal
CUST00247,C002,56+,Female,Canada,Low,Value Seeker,2024-05-01,New
CUST00248,C007,36-45,Other,Japan,Medium,Value Seeker,2024-03-08,VIP
CUST00249,C009,18-25,Male,UK,High,Premium Customer,2020-06-13,VIP
CUST00250,C003,26-35,Female,Japan,Medium,Premium Customer,2025-10-12,Loyal
CUST00251,C010,56+,Other,South Korea,High,Premium Customer,2023-10-09,New
CUST00252,C006,18-25,Female,Canada,Low,Technology Enthusiast,2023-09-18,VIP
CUST00253,C005,56+,Male,India,Premium,Value Seeker,2026-06-27,VIP
CUST00254,C003,18-25,Other,USA,Medium,Budget Buyer,2022-09-19,VIP
CUST00255,C006,26-35,Female,Germany,Premium,Technology Enthusiast,2024-09-11,VIP
CUST00256,C001,56+,Male,Japan,Premium,Technology Enthusiast,2021-07-19,VIP
CUST00257,C006,46-55,Other,Japan,High,Young Professional,2021-12-10,VIP
CUST00258,C004,36-45,Other,Canada,Medium,Young Professional,2022-10-06,Loyal
CUST00259,C004,36-45,Female,Japan,High,Young Professional,2025-06-25,New
CUST00260,C010,46-55,Female,Japan,Medium,Young Professional,2026-02-02,New
CUST00261,C005,36-45,Female,Canada,Premium,Value Seeker,2020-11-19,Regular
CUST00262,C009,56+,Other,Canada,Medium,Budget Buyer,2023-01-15,Regular
CUST00263,C004,56+,Male,Germany,Low,Budget Buyer,2020-07-26,VIP
CUST00264,C006,18-25,Other,UK,Low,Technology Enthusiast,2025-04-18,Regular
CUST00265,C007,46-55,Other,Germany,High,Young Professional,2025-05-02,Loyal
CUST00266,C001,56+,Male,India,Medium,Premium Customer,2021-01-01,Regular
CUST00267,C001,46-55,Male,Canada,Low,Budget Buyer,2024-06-14,Loyal
CUST00268,C010,36-45,Female,South Korea,Premium,Value Seeker,2021-03-15,VIP
CUST00269,C005,18-25,Female,UK,Premium,Young Professional,2022-02-28,Regular
CUST00270,C001,36-45,Other,Germany,Medium,Technology Enthusiast,2023-10-12,VIP
CUST00271,C007,36-45,Male,Singapore,Low,Value Seeker,2025-10-11,Regular
CUST00272,C008,26-35,Male,Canada,Premium,Value Seeker,2023-08-18,VIP
CUST00273,C005,36-45,Other,India,High,Young Professional,2023-09-12,Regular
CUST00274,C001,46-55,Female,UK,Premium,Technology Enthusiast,2021-04-29,Loyal
CUST00275,C002,36-45,Other,Germany,Medium,Value Seeker,2023-04-23,VIP
CUST00276,C003,56+,Female,Singapore,Premium,Technology Enthusiast,2025-02-06,Regular
CUST00277,C004,56+,Female,Japan,Low,Technology Enthusiast,2020-12-01,New
CUST00278,C001,56+,Male,UK,Medium,Young Professional,2026-02-21,VIP
CUST00279,C002,56+,Female,USA,Premium,Budget Buyer,2022-04-21,VIP
CUST00280,C003,46-55,Female,India,Premium,Young Professional,2025-10-03,New
CUST00281,C007,18-25,Other,Germany,Low,Budget Buyer,2022-11-08,VIP
CUST00282,C006,56+,Male,USA,Premium,Budget Buyer,2020-09-18,Loyal
CUST00283,C007,26-35,Other,Singapore,High,Premium Customer,2022-01-07,VIP
CUST00284,C007,18-25,Other,UK,High,Budget Buyer,2024-03-18,Regular
CUST00285,C009,56+,Male,Germany,Low,Budget Buyer,2024-05-28,Loyal
CUST00286,C008,46-55,Other,Singapore,Medium,Value Seeker,2026-02-08,VIP
CUST00287,C006,36-45,Male,USA,Low,Premium Customer,2021-09-27,New
CUST00288,C004,18-25,Male,India,Premium,Technology Enthusiast,2022-04-24,New
CUST00289,C004,46-55,Female,Germany,Medium,Budget Buyer,2020-06-30,Regular
CUST00290,C009,26-35,Other,Japan,High,Value Seeker,2023-03-30,Loyal
CUST00291,C003,26-35,Female,Canada,High,Budget Buyer,2025-11-05,Regular
CUST00292,C007,46-55,Male,Japan,Premium,Technology Enthusiast,2026-03-26,Loyal
CUST00293,C007,26-35,Female,Singapore,Medium,Technology Enthusiast,2024-07-30,VIP
CUST00294,C004,36-45,Other,UK,Premium,Budget Buyer,2022-07-12,VIP
CUST00295,C007,56+,Male,Singapore,Medium,Young Professional,2026-04-01,Regular
CUST00296,C006,46-55,Female,USA,Medium,Budget Buyer,2020-11-19,Loyal
CUST00297,C007,18-25,Male,Germany,Premium,Value Seeker,2020-06-10,Loyal
CUST00298,C005,26-35,Male,USA,Premium,Value Seeker,2020-03-03,Regular
CUST00299,C007,56+,Female,Canada,Premium,Premium Customer,2022-09-07,Loyal
CUST00300,C005,36-45,Other,South Korea,Premium,Budget Buyer,2022-12-07,VIP
CUST00301,C006,36-45,Female,Singapore,Low,Technology Enthusiast,2022-04-12,Regular
CUST00302,C003,36-45,Other,Singapore,High,Value Seeker,2020-03-07,Regular
CUST00303,C006,46-55,Other,Germany,Premium,Technology Enthusiast,2022-07-31,Loyal
CUST00304,C005,46-55,Female,UK,High,Value Seeker,2025-06-24,Regular
CUST00305,C009,26-35,Other,India,Low,Budget Buyer,2025-06-23,New
CUST00306,C001,26-35,Other,Germany,Low,Value Seeker,2024-08-16,New
CUST00307,C004,46-55,Female,India,Premium,Premium Customer,2025-09-02,New
CUST00308,C001,56+,Female,India,Low,Technology Enthusiast,2025-12-19,Loyal
CUST00309,C009,18-25,Other,Singapore,Medium,Budget Buyer,2023-03-20,New
CUST00310,C009,26-35,Male,Canada,High,Young Professional,2021-09-01,VIP
CUST00311,C002,46-55,Female,Germany,Medium,Young Professional,2024-03-08,New
CUST00312,C001,46-55,Female,Singapore,Premium,Budget Buyer,2021-01-17,New
CUST00313,C003,46-55,Female,Japan,Low,Technology Enthusiast,2020-12-04,New
CUST00314,C004,56+,Female,Canada,Low,Budget Buyer,2022-05-15,Loyal
CUST00315,C009,18-25,Male,Japan,Low,Value Seeker,2026-04-27,Regular
CUST00316,C007,36-45,Male,Germany,Premium,Technology Enthusiast,2020-11-11,Loyal
CUST00317,C007,18-25,Other,Japan,Low,Budget Buyer,2021-07-27,VIP
CUST00318,C004,36-45,Other,Singapore,High,Budget Buyer,2020-11-07,Loyal
CUST00319,C008,26-35,Female,Singapore,Premium,Value Seeker,2025-07-02,VIP
CUST00320,C002,26-35,Other,USA,Low,Young Professional,2023-04-24,Regular
CUST00321,C007,46-55,Female,Japan,Low,Budget Buyer,2021-09-23,New
CUST00322,C005,36-45,Female,USA,Medium,Budget Buyer,2024-12-26,Regular
CUST00323,C007,56+,Other,Singapore,Low,Budget Buyer,2025-01-12,New
CUST00324,C006,18-25,Other,Japan,Premium,Budget Buyer,2026-03-20,Loyal
CUST00325,C007,18-25,Other,Germany,Medium,Premium Customer,2024-05-07,Regular
CUST00326,C003,36-45,Female,South Korea,Medium,Budget Buyer,2023-01-06,Regular
CUST00327,C007,46-55,Female,South Korea,Low,Young Professional,2023-02-04,Loyal
CUST00328,C004,56+,Other,Germany,Premium,Budget Buyer,2025-07-23,Regular
CUST00329,C005,46-55,Female,Singapore,High,Premium Customer,2020-01-28,Loyal
CUST00330,C007,36-45,Female,Germany,Premium,Young Professional,2021-07-11,Regular
CUST00331,C007,36-45,Other,South Korea,Medium,Young Professional,2023-07-31,VIP
CUST00332,C005,36-45,Male,Germany,Medium,Technology Enthusiast,2024-05-28,New
CUST00333,C008,46-55,Female,USA,Premium,Premium Customer,2022-05-08,Regular
CUST00334,C005,36-45,Other,UK,Premium,Premium Customer,2022-09-18,New
CUST00335,C008,56+,Female,Singapore,Low,Young Professional,2025-05-16,New
CUST00336,C002,36-45,Male,India,Premium,Young Professional,2022-10-13,VIP
CUST00337,C002,18-25,Female,Germany,Medium,Premium Customer,2020-02-13,Loyal
CUST00338,C007,56+,Other,UK,High,Budget Buyer,2025-03-11,VIP
