purchase_id,company_id,product_id,customer_id,purchase_date,quantity,unit_price,discount,channel,region
PUR050818,C001,P0042,CUST08418,2023-01-01,2.0,16306.2,0.1,Retail Store,West
PUR033971,C009,P0443,CUST01112,2023-01-01,2.0,39356.6,0.05,Online,Central
PUR047290,C008,P0353,CUST00839,2023-01-01,2.0,13746.5,0.05,Marketplace,East
PUR052979,C001,P0020,CUST01160,2023-01-01,1.0,29071.2,0.2,Online,South
PUR023614,C004,P0161,CUST06634,2023-01-01,1.0,19699.2,0.05,Online,South
PUR094088,C009,P0410,CUST03565,2023-01-01,2.0,22418.4,0.2,Retail Store,South
PUR083655,C010,P0479,CUST09460,2023-01-01,2.0,17888.0,0.0,Marketplace,North
PUR098210,C002,P0095,CUST08413,2023-01-01,2.0,39843.2,0.2,Retail Store,North
PUR055355,C006,P0265,CUST05058,2023-01-01,1.0,8039.85,0.05,Marketplace,North
PUR072585,C002,P0053,CUST08845,2023-01-01,2.0,5165.45,0.15,Online,Central
PUR079503,C003,P0124,CUST07016,2023-01-01,1.0,6374.15,0.15,Online,East
PUR002960,C002,P0057,CUST03758,2023-01-01,3.0,26605.8,0.1,Retail Store,East
PUR089101,C003,P0115,CUST06720,2023-01-01,3.0,19814.4,0.2,Online,West
PUR060739,C007,P0333,CUST07223,2023-01-01,1.0,23168.8,0.2,Online,Central
PUR021418,C010,P0474,CUST04588,2023-01-01,2.0,26718.4,0.2,Retail Store,East
PUR066585,C003,P0106,CUST00924,2023-01-01,1.0,22884.55,0.05,Online,South
PUR082603,C005,P0243,CUST06699,2023-01-01,2.0,40907.95,0.05,Online,East
PUR037938,C001,P0024,CUST00362,2023-01-01,3.0,5689.6,0.2,Online,West
PUR051365,C001,P0031,CUST06570,2023-01-01,2.0,5801.0,0.0,Online,Central
PUR088842,C003,P0137,CUST07565,2023-01-01,1.0,49630.0,0.0,Online,Central
PUR079457,C010,P0495,CUST02644,2023-01-01,1.0,24613.0,0.0,Retail Store,West
PUR092637,C009,P0432,CUST08332,2023-01-01,1.0,40936.45,0.05,Online,North
PUR062179,C008,P0378,CUST00351,2023-01-01,3.0,13344.0,0.0,Online,East
PUR026191,C009,P0437,CUST07454,2023-01-01,2.0,26430.0,0.0,Marketplace,North
PUR085755,C004,P0166,CUST00394,2023-01-01,3.0,43126.0,0.0,Online,East
PUR023914,C005,P0237,CUST09598,2023-01-01,3.0,2004.0,0.0,Online,North
PUR013818,C001,P0001,CUST02123,2023-01-01,3.0,44638.2,0.1,Online,West
PUR033851,C004,P0175,CUST08994,2023-01-01,2.0,33913.1,0.05,Retail Store,West
PUR074555,C003,P0119,CUST06832,2023-01-01,2.0,19581.6,0.2,Retail Store,North
PUR063832,C009,P0431,CUST05621,2023-01-01,2.0,30401.1,0.15,Retail Store,South
PUR039490,C009,P0405,CUST05911,2023-01-01,2.0,23760.05,0.15,Marketplace,East
PUR043485,C004,P0178,CUST07753,2023-01-01,1.0,32877.9,0.1,Retail Store,East
PUR033317,C005,P0227,CUST08098,2023-01-01,3.0,35860.0,0.0,Online,Central
PUR052558,C002,P0064,CUST09863,2023-01-01,3.0,6910.2,0.1,Marketplace,South
PUR083183,C007,P0333,CUST03367,2023-01-01,3.0,28961.0,0.0,Retail Store,West
PUR062704,C004,P0193,CUST03910,2023-01-01,3.0,6435.2,0.2,Retail Store,Central
PUR039287,C002,P0094,CUST09919,2023-01-01,1.0,29298.95,0.05,Retail Store,West
PUR054272,C009,P0418,CUST01755,2023-01-01,1.0,16222.4,0.2,Online,North
PUR023061,C006,P0283,CUST04104,2023-01-01,1.0,34022.7,0.1,Marketplace,Central
PUR070675,C005,P0224,CUST00743,2023-01-01,2.0,15851.2,0.2,Retail Store,Central
PUR019586,C005,P0244,CUST02844,2023-01-01,1.0,42333.0,0.0,Online,South
PUR002439,C005,P0236,CUST01812,2023-01-01,1.0,5192.1,0.1,Online,East
PUR056205,C002,P0095,CUST00534,2023-01-01,2.0,39843.2,0.2,Marketplace,West
PUR021601,C003,P0104,CUST02712,2023-01-01,1.0,26211.0,0.0,Retail Store,West
PUR026288,C009,P0439,CUST09291,2023-01-01,1.0,15559.2,0.2,Retail Store,South
PUR045802,C001,P0032,CUST01234,2023-01-01,3.0,25258.6,0.15,Retail Store,Central
PUR033119,C005,P0204,CUST01605,2023-01-01,2.0,19284.0,0.0,Marketplace,Central
PUR021747,C003,P0123,CUST06462,2023-01-01,2.0,17120.7,0.1,Retail Store,East
PUR039682,C002,P0087,CUST00887,2023-01-01,2.0,37051.0,0.0,Marketplace,Central
PUR039964,C002,P0078,CUST04842,2023-01-01,1.0,36661.5,0.1,Online,Central
PUR052391,C004,P0154,CUST00977,2023-01-01,1.0,43059.7,0.05,Online,North
PUR087218,C006,P0282,CUST01086,2023-01-02,1.0,11934.9,0.1,Marketplace,West
PUR005451,C001,P0029,CUST03439,2023-01-02,1.0,39251.0,0.0,Retail Store,West
PUR034164,C006,P0262,CUST08009,2023-01-02,2.0,1154.4,0.2,Marketplace,North
PUR034767,C001,P0027,CUST04770,2023-01-02,2.0,33954.0,0.0,Online,East
PUR071649,C005,P0232,CUST03840,2023-01-02,3.0,3868.4,0.05,Online,West
PUR004851,C002,P0055,CUST09135,2023-01-02,3.0,22827.2,0.2,Retail Store,East
PUR071767,C006,P0300,CUST05909,2023-01-02,3.0,22188.4,0.15,Online,Central
PUR087990,C010,P0468,CUST05968,2023-01-02,1.0,20461.6,0.2,Retail Store,West
PUR051457,C010,P0469,CUST07222,2023-01-02,1.0,18124.0,0.0,Online,Central
PUR037842,C007,P0321,CUST03823,2023-01-02,1.0,38409.3,0.1,Marketplace,Central
PUR008743,C007,P0307,CUST01022,2023-01-02,2.0,27087.8,0.15,Marketplace,East
PUR064139,C006,P0260,CUST05414,2023-01-02,2.0,17623.9,0.15,Marketplace,Central
PUR036968,C002,P0059,CUST03395,2023-01-02,2.0,3650.75,0.15,Retail Store,Central
PUR009442,C001,P0042,CUST03357,2023-01-02,1.0,18118.0,0.0,Marketplace,East
PUR072708,C009,P0436,CUST08399,2023-01-02,3.0,31095.0,0.0,Online,West
PUR047769,C010,P0462,CUST01916,2023-01-02,2.0,10192.35,0.15,Marketplace,South
PUR050392,C002,P0082,CUST05242,2023-01-02,3.0,13373.05,0.15,Retail Store,South
PUR099238,C009,P0431,CUST03312,2023-01-02,1.0,32189.4,0.1,Online,South
PUR077316,C010,P0451,CUST07325,2023-01-02,1.0,49052.0,0.0,Online,North
PUR076772,C003,P0102,CUST05041,2023-01-02,3.0,10379.0,0.0,Online,East
PUR098906,C008,P0366,CUST09415,2023-01-02,3.0,35289.45,0.15,Retail Store,North
PUR088587,C001,P0033,CUST08440,2023-01-02,1.0,15582.2,0.15,Retail Store,West
PUR077041,C007,P0336,CUST00243,2023-01-02,3.0,36685.0,0.0,Marketplace,South
PUR009573,C010,P0485,CUST08562,2023-01-02,3.0,4914.4,0.2,Online,South
PUR063360,C008,P0386,CUST00930,2023-01-02,1.0,40237.25,0.05,Online,East
PUR047060,C005,P0204,CUST04299,2023-01-02,2.0,19284.0,0.0,Marketplace,East
PUR079612,C003,P0119,CUST01150,2023-01-02,1.0,19581.6,0.2,Marketplace,South
PUR004670,C002,P0054,CUST07031,2023-01-02,2.0,24796.9,0.05,Retail Store,Central
PUR020762,C008,P0359,CUST04304,2023-01-02,2.0,22748.0,0.2,Marketplace,East
PUR006054,C004,P0168,CUST01440,2023-01-02,2.0,14960.85,0.15,Retail Store,Central
PUR003462,C008,P0371,CUST09517,2023-01-02,1.0,29367.35,0.05,Online,South
PUR060158,C007,P0317,CUST00414,2023-01-02,1.0,21967.0,0.0,Online,West
PUR027368,C008,P0353,CUST01270,2023-01-02,3.0,14470.0,0.0,Marketplace,East
PUR008794,C008,P0400,CUST01650,2023-01-02,1.0,20915.95,0.15,Marketplace,South
PUR097437,C010,P0491,CUST05672,2023-01-02,3.0,12149.55,0.05,Marketplace,South
PUR040577,C010,P0473,CUST02334,2023-01-02,3.0,14756.35,0.05,Online,South
PUR067437,C007,P0346,CUST03026,2023-01-02,3.0,41067.0,0.0,Retail Store,North
PUR076888,C006,P0255,CUST00125,2023-01-02,2.0,33485.75,0.15,Marketplace,West
PUR031920,C007,P0319,CUST06694,2023-01-02,1.0,1293.7,0.15,Retail Store,North
PUR083309,C009,P0421,CUST01036,2023-01-02,2.0,31731.3,0.1,Retail Store,South
PUR067343,C010,P0463,CUST06922,2023-01-02,1.0,6897.75,0.15,Retail Store,West
PUR060650,C001,P0010,CUST06975,2023-01-02,2.0,26410.35,0.15,Marketplace,East
PUR046919,C005,P0217,CUST04056,2023-01-02,1.0,6997.6,0.2,Online,East
PUR072502,C007,P0337,CUST03507,2023-01-02,2.0,40132.0,0.0,Retail Store,Central
PUR050722,C003,P0137,CUST09775,2023-01-02,3.0,42185.5,0.15,Retail Store,North
PUR095011,C004,P0168,CUST06100,2023-01-02,1.0,17601.0,0.0,Online,East
PUR038436,C010,P0493,CUST04769,2023-01-02,2.0,33864.0,0.2,Online,South
PUR035840,C001,P0043,CUST08261,2023-01-02,1.0,40728.0,0.0,Marketplace,West
PUR066227,C007,P0345,CUST06998,2023-01-02,2.0,8877.75,0.05,Marketplace,North
PUR016068,C004,P0186,CUST02208,2023-01-02,2.0,37357.2,0.1,Retail Store,West
PUR006707,C002,P0091,CUST04658,2023-01-02,1.0,22583.2,0.2,Retail Store,West
PUR036208,C009,P0423,CUST02840,2023-01-02,3.0,41377.0,0.0,Online,South
PUR087827,C007,P0347,CUST04186,2023-01-02,2.0,36289.05,0.15,Online,West
PUR004245,C002,P0072,CUST06612,2023-01-02,2.0,31509.5,0.15,Online,East
PUR027832,C009,P0406,CUST04667,2023-01-02,3.0,26430.3,0.1,Marketplace,West
PUR096956,C010,P0462,CUST04610,2023-01-02,1.0,10192.35,0.15,Retail Store,South
PUR027833,C002,P0069,CUST05709,2023-01-02,3.0,14344.8,0.2,Online,West
PUR077610,C008,P0367,CUST06631,2023-01-02,2.0,20326.4,0.2,Marketplace,West
PUR091176,C006,P0293,CUST08937,2023-01-02,3.0,35225.1,0.1,Marketplace,South
PUR002702,C010,P0495,CUST08970,2023-01-02,3.0,23382.35,0.05,Marketplace,North
PUR079989,C001,P0049,CUST07508,2023-01-02,2.0,35931.2,0.15,Marketplace,South
PUR099778,C002,P0096,CUST03544,2023-01-02,2.0,32222.1,0.05,Retail Store,Central
PUR013530,C009,P0425,CUST04834,2023-01-02,1.0,14850.35,0.15,Retail Store,East
PUR047859,C002,P0099,CUST00459,2023-01-02,3.0,45852.0,0.0,Retail Store,Central
PUR033072,C010,P0463,CUST04170,2023-01-02,1.0,7303.5,0.1,Marketplace,West
PUR041152,C009,P0442,CUST08095,2023-01-02,1.0,39672.0,0.2,Online,East
PUR075929,C007,P0319,CUST00299,2023-01-02,3.0,1369.8,0.1,Marketplace,East
PUR044641,C004,P0165,CUST06464,2023-01-02,3.0,39656.7,0.1,Marketplace,West
PUR013329,C001,P0009,CUST00683,2023-01-02,1.0,20589.35,0.05,Marketplace,Central
PUR019614,C006,P0276,CUST00296,2023-01-02,3.0,39183.7,0.05,Retail Store,West
PUR008053,C009,P0447,CUST04840,2023-01-02,3.0,13965.3,0.1,Marketplace,South
PUR075798,C001,P0049,CUST04713,2023-01-02,1.0,35931.2,0.15,Retail Store,East
PUR046077,C006,P0282,CUST03802,2023-01-02,2.0,11271.85,0.15,Retail Store,South
PUR079342,C005,P0241,CUST04848,2023-01-02,3.0,18094.4,0.2,Retail Store,East
PUR039896,C004,P0151,CUST07486,2023-01-02,2.0,1864.9,0.15,Retail Store,Central
PUR050178,C008,P0374,CUST00354,2023-01-02,1.0,43702.0,0.0,Online,North
PUR039066,C007,P0350,CUST04766,2023-01-02,2.0,36938.85,0.05,Marketplace,Central
PUR004536,C004,P0178,CUST07852,2023-01-02,1.0,29224.8,0.2,Retail Store,West
PUR071516,C007,P0332,CUST01636,2023-01-02,2.0,29650.45,0.05,Marketplace,East
PUR090171,C008,P0364,CUST05345,2023-01-02,1.0,35577.0,0.1,Marketplace,East
PUR007479,C009,P0449,CUST09616,2023-01-02,1.0,12485.7,0.1,Online,South
PUR023256,C002,P0061,CUST00180,2023-01-02,3.0,2335.0,0.0,Online,Central
PUR083055,C002,P0069,CUST07127,2023-01-02,1.0,17034.45,0.05,Marketplace,Central
PUR022307,C007,P0302,CUST03920,2023-01-02,3.0,10920.0,0.0,Retail Store,Central
PUR056035,C006,P0279,CUST06129,2023-01-02,3.0,37313.1,0.1,Marketplace,West
PUR094779,C007,P0328,CUST05409,2023-01-02,1.0,6977.0,0.0,Online,North
PUR005746,C007,P0306,CUST03277,2023-01-02,1.0,35621.0,0.0,Online,West
PUR083008,C010,P0498,CUST03123,2023-01-02,1.0,36015.35,0.15,Marketplace,West
PUR049675,C005,P0233,CUST07756,2023-01-02,2.0,20653.0,0.0,Marketplace,North
PUR098493,C006,P0267,CUST09164,2023-01-02,3.0,40692.05,0.15,Marketplace,South
PUR093529,C004,P0166,CUST03068,2023-01-02,3.0,34500.8,0.2,Marketplace,South
PUR045400,C007,P0308,CUST06998,2023-01-02,2.0,21664.8,0.2,Retail Store,West
PUR096442,C001,P0014,CUST07178,2023-01-03,1.0,33583.2,0.2,Retail Store,South
PUR076199,C002,P0095,CUST08046,2023-01-03,1.0,42333.4,0.15,Retail Store,East
PUR040159,C005,P0209,CUST05933,2023-01-03,1.0,37067.0,0.0,Marketplace,South
PUR048243,C010,P0500,CUST00903,2023-01-03,2.0,2513.0,0.0,Marketplace,North
PUR073964,C009,P0438,CUST08075,2023-01-03,3.0,39908.8,0.2,Marketplace,Central
PUR026856,C007,P0315,CUST05232,2023-01-03,1.0,34346.0,0.0,Retail Store,Central
PUR099472,C002,P0066,CUST06514,2023-01-03,1.0,38387.7,0.1,Retail Store,West
PUR061845,C008,P0352,CUST03940,2023-01-03,2.0,42453.0,0.1,Online,South
PUR086891,C005,P0248,CUST06746,2023-01-03,3.0,41246.1,0.1,Online,West
PUR048294,C001,P0027,CUST05864,2023-01-03,2.0,33954.0,0.0,Marketplace,East
PUR006062,C001,P0042,CUST04746,2023-01-03,2.0,15400.3,0.15,Online,South
PUR007949,C005,P0234,CUST09730,2023-01-03,2.0,32177.6,0.15,Marketplace,Central
PUR053547,C009,P0440,CUST02781,2023-01-03,2.0,8943.3,0.1,Retail Store,West
PUR060508,C007,P0310,CUST07636,2023-01-03,2.0,21327.0,0.0,Retail Store,East
PUR027093,C008,P0382,CUST06841,2023-01-03,3.0,23068.85,0.05,Online,West
PUR067355,C010,P0466,CUST08258,2023-01-03,3.0,20375.35,0.15,Online,East
PUR047865,C006,P0294,CUST06248,2023-01-03,1.0,13747.5,0.1,Marketplace,North
PUR078716,C003,P0134,CUST04137,2023-01-03,3.0,29390.45,0.15,Marketplace,West
PUR093685,C009,P0405,CUST09676,2023-01-03,1.0,26555.35,0.05,Online,West
PUR048717,C003,P0138,CUST01851,2023-01-03,2.0,7693.2,0.1,Marketplace,South
PUR032140,C009,P0432,CUST04005,2023-01-03,3.0,36627.35,0.15,Retail Store,East
PUR031238,C007,P0320,CUST03846,2023-01-03,1.0,13116.65,0.05,Marketplace,West
PUR012874,C010,P0474,CUST07621,2023-01-03,3.0,30058.2,0.1,Online,West
PUR073072,C008,P0373,CUST01847,2023-01-03,2.0,17713.8,0.1,Retail Store,East
PUR016636,C002,P0087,CUST09249,2023-01-03,1.0,29640.8,0.2,Online,East
PUR060963,C002,P0082,CUST03523,2023-01-03,3.0,14159.7,0.1,Retail Store,Central
PUR003875,C001,P0010,CUST08870,2023-01-03,1.0,29517.45,0.05,Online,West
PUR090040,C001,P0030,CUST00266,2023-01-03,3.0,9098.15,0.05,Marketplace,West
PUR023532,C006,P0257,CUST04593,2023-01-03,3.0,30146.0,0.0,Online,North
PUR083873,C002,P0074,CUST00606,2023-01-03,3.0,17351.9,0.15,Online,South
PUR080950,C006,P0297,CUST08836,2023-01-03,2.0,39509.1,0.1,Retail Store,East
PUR004297,C001,P0012,CUST09907,2023-01-03,2.0,20972.8,0.2,Retail Store,East
PUR073387,C004,P0168,CUST03002,2023-01-03,2.0,16720.95,0.05,Retail Store,West
PUR031286,C010,P0478,CUST07527,2023-01-03,3.0,34809.3,0.1,Retail Store,West
PUR067054,C009,P0417,CUST03319,2023-01-03,2.0,32285.6,0.2,Online,West
PUR086163,C005,P0202,CUST06985,2023-01-03,2.0,8541.65,0.15,Marketplace,East
PUR083321,C002,P0062,CUST04879,2023-01-03,2.0,11396.2,0.05,Online,Central
PUR029491,C006,P0258,CUST06809,2023-01-03,3.0,6529.35,0.05,Marketplace,North
PUR056654,C008,P0355,CUST07107,2023-01-03,1.0,42166.7,0.05,Retail Store,South
PUR067321,C009,P0449,CUST02388,2023-01-03,1.0,11792.05,0.15,Retail Store,South
PUR013876,C002,P0067,CUST00651,2023-01-03,1.0,46462.6,0.05,Online,West
PUR093288,C005,P0242,CUST05387,2023-01-03,1.0,40901.3,0.05,Retail Store,North
PUR074685,C007,P0303,CUST01379,2023-01-03,2.0,46398.95,0.05,Marketplace,West
PUR065058,C009,P0435,CUST07911,2023-01-03,1.0,35916.75,0.15,Retail Store,East
PUR014080,C006,P0298,CUST04419,2023-01-03,1.0,26217.0,0.1,Online,Central
PUR052799,C002,P0100,CUST02345,2023-01-03,2.0,18562.5,0.1,Online,North
PUR072040,C006,P0291,CUST06517,2023-01-03,3.0,40477.85,0.15,Marketplace,East
PUR023991,C009,P0422,CUST01375,2023-01-03,3.0,9536.4,0.1,Retail Store,South
PUR070280,C005,P0241,CUST01889,2023-01-03,2.0,22618.0,0.0,Retail Store,South
PUR000816,C003,P0125,CUST05952,2023-01-03,3.0,26713.05,0.05,Marketplace,West
PUR001803,C005,P0230,CUST02572,2023-01-03,2.0,32321.85,0.05,Online,North
PUR046199,C001,P0026,CUST06155,2023-01-03,1.0,13740.3,0.1,Marketplace,South
PUR011437,C007,P0338,CUST00206,2023-01-03,2.0,16380.85,0.05,Marketplace,West
PUR017322,C010,P0485,CUST05934,2023-01-03,1.0,5835.85,0.05,Marketplace,West
PUR077275,C001,P0035,CUST00952,2023-01-03,2.0,1108.8,0.1,Retail Store,West
PUR020528,C008,P0389,CUST04706,2023-01-03,3.0,1016.0,0.2,Online,South
PUR045260,C003,P0123,CUST03972,2023-01-03,1.0,16169.55,0.15,Retail Store,Central
PUR011303,C010,P0483,CUST04650,2023-01-03,2.0,34738.2,0.1,Retail Store,North
PUR041054,C001,P0026,CUST02036,2023-01-03,1.0,14503.65,0.05,Marketplace,Central
PUR071229,C010,P0454,CUST01288,2023-01-03,1.0,26175.75,0.15,Marketplace,East
PUR085558,C002,P0052,CUST00143,2023-01-03,2.0,28897.2,0.1,Marketplace,West
PUR052227,C001,P0043,CUST06412,2023-01-03,3.0,38691.6,0.05,Retail Store,West
PUR079985,C008,P0382,CUST03747,2023-01-03,2.0,19426.4,0.2,Marketplace,East
PUR087851,C004,P0162,CUST04583,2023-01-03,3.0,36130.0,0.0,Online,North
PUR097362,C008,P0373,CUST02394,2023-01-03,3.0,18697.9,0.05,Marketplace,South
PUR098151,C010,P0455,CUST06922,2023-01-03,1.0,24399.8,0.05,Retail Store,South
PUR071300,C010,P0466,CUST00814,2023-01-03,2.0,21573.9,0.1,Marketplace,North
PUR011430,C005,P0240,CUST09468,2023-01-03,2.0,3996.0,0.0,Retail Store,West
PUR058390,C003,P0149,CUST07142,2023-01-03,2.0,40041.0,0.1,Online,West
PUR070605,C010,P0455,CUST00251,2023-01-03,2.0,24399.8,0.05,Online,West
PUR087670,C001,P0033,CUST08923,2023-01-03,3.0,15582.2,0.15,Retail Store,West
PUR085681,C007,P0319,CUST00345,2023-01-03,1.0,1522.0,0.0,Retail Store,Central
PUR092014,C002,P0071,CUST07904,2023-01-03,3.0,17240.55,0.15,Marketplace,North
PUR021898,C004,P0174,CUST08946,2023-01-03,1.0,34356.6,0.1,Retail Store,South
PUR051249,C007,P0344,CUST02085,2023-01-03,2.0,40243.25,0.15,Retail Store,West
PUR072052,C008,P0375,CUST08173,2023-01-03,1.0,36781.2,0.1,Online,East
PUR081318,C008,P0376,CUST00116,2023-01-03,1.0,14535.0,0.05,Retail Store,West
PUR069222,C001,P0023,CUST04785,2023-01-03,3.0,19254.0,0.0,Retail Store,South
PUR087643,C007,P0317,CUST05931,2023-01-03,1.0,20868.65,0.05,Marketplace,South
PUR095712,C006,P0258,CUST01113,2023-01-03,3.0,5498.4,0.2,Marketplace,Central
PUR043776,C006,P0271,CUST06577,2023-01-03,1.0,29779.65,0.05,Retail Store,West
PUR096066,C006,P0268,CUST07967,2023-01-03,1.0,19649.6,0.2,Marketplace,East
PUR003510,C001,P0034,CUST07795,2023-01-03,2.0,40436.75,0.05,Online,South
PUR040646,C007,P0339,CUST04033,2023-01-03,2.0,14026.7,0.15,Marketplace,West
PUR005519,C010,P0454,CUST05795,2023-01-03,2.0,26175.75,0.15,Marketplace,East
PUR069860,C010,P0478,CUST01950,2023-01-03,3.0,32875.45,0.15,Retail Store,North
PUR052084,C010,P0493,CUST04140,2023-01-03,1.0,42330.0,0.0,Retail Store,North
PUR024054,C010,P0483,CUST05509,2023-01-03,1.0,36668.1,0.05,Marketplace,Central
PUR011603,C010,P0470,CUST09512,2023-01-03,3.0,30032.0,0.2,Retail Store,South
PUR095684,C007,P0339,CUST00983,2023-01-03,1.0,15676.9,0.05,Online,West
PUR021623,C005,P0207,CUST07154,2023-01-03,3.0,36296.0,0.0,Retail Store,Central
PUR003228,C004,P0184,CUST07429,2023-01-03,2.0,9203.0,0.0,Online,Central
PUR095244,C009,P0412,CUST09738,2023-01-03,1.0,6646.5,0.1,Retail Store,North
PUR036859,C003,P0133,CUST02586,2023-01-03,3.0,39415.5,0.05,Retail Store,Central
PUR020409,C002,P0083,CUST08487,2023-01-03,1.0,25372.8,0.2,Online,Central
PUR001784,C008,P0380,CUST04404,2023-01-03,3.0,23489.0,0.0,Marketplace,East
PUR067986,C001,P0032,CUST09253,2023-01-03,3.0,25258.6,0.15,Online,East
PUR068026,C007,P0316,CUST00798,2023-01-03,2.0,3151.15,0.05,Online,South
PUR015671,C010,P0499,CUST00698,2023-01-03,1.0,40424.3,0.15,Marketplace,Central
PUR037507,C009,P0405,CUST05262,2023-01-03,2.0,27953.0,0.0,Online,Central
PUR095853,C002,P0089,CUST08512,2023-01-03,1.0,19876.0,0.0,Online,Central
PUR030320,C001,P0012,CUST03737,2023-01-03,2.0,24905.2,0.05,Marketplace,Central
PUR077513,C006,P0280,CUST07472,2023-01-03,3.0,14139.75,0.15,Marketplace,East
PUR080237,C006,P0272,CUST00070,2023-01-03,3.0,6294.7,0.05,Online,East
PUR072140,C003,P0115,CUST06587,2023-01-03,1.0,24768.0,0.0,Marketplace,Central
PUR066135,C010,P0465,CUST06777,2023-01-04,2.0,36376.0,0.2,Retail Store,Central
PUR064309,C006,P0263,CUST00504,2023-01-04,1.0,39954.0,0.0,Marketplace,East
PUR072968,C009,P0428,CUST08552,2023-01-04,3.0,9412.05,0.15,Online,East
PUR073183,C006,P0285,CUST07003,2023-01-04,2.0,47177.95,0.05,Online,East
PUR072901,C007,P0341,CUST01706,2023-01-04,3.0,15432.75,0.05,Retail Store,East
PUR090333,C007,P0339,CUST07993,2023-01-04,3.0,13201.6,0.2,Marketplace,Central
PUR051519,C009,P0431,CUST00223,2023-01-04,1.0,28612.8,0.2,Retail Store,East
PUR051539,C004,P0158,CUST06366,2023-01-04,3.0,25371.0,0.1,Marketplace,North
PUR035088,C009,P0407,CUST03612,2023-01-04,1.0,1498.55,0.15,Marketplace,West
PUR075584,C003,P0119,CUST08956,2023-01-04,1.0,23253.15,0.05,Marketplace,West
PUR073578,C006,P0295,CUST06935,2023-01-04,1.0,22350.65,0.05,Marketplace,North
PUR071217,C003,P0129,CUST06933,2023-01-04,2.0,7282.8,0.1,Retail Store,South
PUR024035,C004,P0195,CUST03672,2023-01-04,3.0,8017.2,0.15,Marketplace,Central
PUR070848,C009,P0411,CUST02362,2023-01-04,3.0,19849.6,0.2,Marketplace,South
