product_id,review_count,average_rating,Negative,Neutral,Positive,positive_percentage,neutral_percentage,negative_percentage,review_health_score,product_name,category,review_category
P0263,119,3.59,22,29,68,57.14,24.37,18.49,38.66,Smart Light 263,Home Appliances,Good
P0285,100,3.59,17,28,55,55.0,28.0,17.0,38.0,Smart Light 285,Home Appliances,Good
P0094,85,3.59,13,26,46,54.12,30.59,15.29,38.82,Smart Ring 94,Wearables,Good
P0223,95,3.58,13,34,48,50.53,35.79,13.68,36.84,Smartphone 223,Mobile,Good
P0023,101,3.58,14,34,53,52.48,33.66,13.86,38.61,Air Purifier 23,Home Appliances,Good
P0135,116,3.58,22,28,66,56.9,24.14,18.97,37.93,Smart Watch 135,Watches,Good
P0178,92,3.58,16,19,57,61.96,20.65,17.39,44.57,Fitness Watch 178,Watches,Good
P0375,89,3.58,23,14,52,58.43,15.73,25.84,32.58,Headphones 375,Audio,Good
P0333,108,3.58,16,30,62,57.41,27.78,14.81,42.59,Smart Light 333,Home Appliances,Good
P0354,107,3.57,20,26,61,57.01,24.3,18.69,38.32,Smartphone 354,Mobile,Good
P0068,94,3.57,17,24,53,56.38,25.53,18.09,38.3,Headphones 68,Audio,Good
P0116,92,3.57,14,27,51,55.43,29.35,15.22,40.22,Smart Fan 116,Home Appliances,Good
P0347,93,3.57,18,26,49,52.69,27.96,19.35,33.33,Smartphone 347,Mobile,Good
P0396,104,3.57,19,28,57,54.81,26.92,18.27,36.54,Fitness Watch 396,Watches,Good
P0490,81,3.57,16,19,46,56.79,23.46,19.75,37.04,Smart Light 490,Home Appliances,Good
P0432,110,3.57,21,26,63,57.27,23.64,19.09,38.18,Air Purifier 432,Home Appliances,Good
P0056,111,3.57,19,31,61,54.95,27.93,17.12,37.84,Analog Watch 56,Watches,Good
P0424,95,3.57,19,18,58,61.05,18.95,20.0,41.05,Smart Ring 424,Wearables,Good
P0455,103,3.57,19,28,56,54.37,27.18,18.45,35.92,Fitness Band 455,Wearables,Good
P0245,94,3.57,12,34,48,51.06,36.17,12.77,38.3,Smart Ring 245,Wearables,Good
P0221,114,3.57,25,27,62,54.39,23.68,21.93,32.46,Tablet 221,Mobile,Good
P0462,93,3.56,20,21,52,55.91,22.58,21.51,34.41,Smart Ring 462,Wearables,Good
P0045,102,3.56,20,30,52,50.98,29.41,19.61,31.37,Smart Ring 45,Wearables,Good
P0199,108,3.56,21,26,61,56.48,24.07,19.44,37.04,Smart Ring 199,Wearables,Good
P0125,101,3.56,24,21,56,55.45,20.79,23.76,31.68,Air Purifier 125,Home Appliances,Good
P0173,98,3.56,21,23,54,55.1,23.47,21.43,33.67,Smartphone 173,Mobile,Good
P0228,90,3.56,16,26,48,53.33,28.89,17.78,35.56,Fitness Watch 228,Watches,Good
P0339,114,3.56,22,26,66,57.89,22.81,19.3,38.6,Wireless Earbuds 339,Audio,Good
P0096,115,3.56,24,25,66,57.39,21.74,20.87,36.52,Smart Watch 96,Watches,Good
P0363,95,3.56,18,26,51,53.68,27.37,18.95,34.74,Tablet 363,Mobile,Good
P0271,107,3.56,15,34,58,54.21,31.78,14.02,40.19,Tablet 271,Mobile,Good
P0243,85,3.56,14,24,47,55.29,28.24,16.47,38.82,Bluetooth Speaker 243,Audio,Good
P0277,103,3.55,19,31,53,51.46,30.1,18.45,33.01,Smartphone 277,Mobile,Good
P0012,96,3.55,18,26,52,54.17,27.08,18.75,35.42,Fitness Band 12,Wearables,Good
P0244,98,3.55,21,20,57,58.16,20.41,21.43,36.73,Air Purifier 244,Home Appliances,Good
P0111,110,3.55,20,27,63,57.27,24.55,18.18,39.09,Smartphone 111,Mobile,Good
P0270,103,3.55,14,31,58,56.31,30.1,13.59,42.72,Smart Watch 270,Watches,Good
P0192,86,3.55,17,21,48,55.81,24.42,19.77,36.05,Bluetooth Speaker 192,Audio,Good
P0342,103,3.55,19,27,57,55.34,26.21,18.45,36.89,Smartphone 342,Mobile,Good
P0369,101,3.55,18,29,54,53.47,28.71,17.82,35.64,Air Purifier 369,Home Appliances,Good
P0324,119,3.55,20,34,65,54.62,28.57,16.81,37.82,Air Purifier 324,Home Appliances,Good
P0003,100,3.54,22,25,53,53.0,25.0,22.0,31.0,Smart Light 3,Home Appliances,Good
P0095,99,3.54,20,22,57,57.58,22.22,20.2,37.37,Analog Watch 95,Watches,Good
P0427,83,3.54,12,31,40,48.19,37.35,14.46,33.73,Analog Watch 427,Watches,Good
P0059,107,3.54,21,29,57,53.27,27.1,19.63,33.64,Air Purifier 59,Home Appliances,Good
P0405,125,3.54,24,30,71,56.8,24.0,19.2,37.6,Air Purifier 405,Home Appliances,Good
P0365,112,3.54,20,31,61,54.46,27.68,17.86,36.61,Smart Ring 365,Wearables,Good
P0121,98,3.54,18,25,55,56.12,25.51,18.37,37.76,Fitness Band 121,Wearables,Good
P0224,85,3.54,12,27,46,54.12,31.76,14.12,40.0,Air Purifier 224,Home Appliances,Good
P0110,111,3.54,21,33,57,51.35,29.73,18.92,32.43,Smart Ring 110,Wearables,Good
P0123,110,3.53,19,32,59,53.64,29.09,17.27,36.36,Smart Watch 123,Watches,Good
P0491,100,3.53,18,27,55,55.0,27.0,18.0,37.0,Tablet 491,Mobile,Good
P0001,97,3.53,19,30,48,49.48,30.93,19.59,29.9,Smart Watch 1,Watches,Mixed
P0200,91,3.53,17,22,52,57.14,24.18,18.68,38.46,Bluetooth Speaker 200,Audio,Good
P0417,89,3.53,16,26,47,52.81,29.21,17.98,34.83,Smart Light 417,Home Appliances,Good
P0038,94,3.53,17,25,52,55.32,26.6,18.09,37.23,Tablet 38,Mobile,Good
P0066,88,3.53,18,21,49,55.68,23.86,20.45,35.23,Smart Fan 66,Home Appliances,Good
P0332,93,3.53,17,28,48,51.61,30.11,18.28,33.33,Smart Watch 332,Watches,Good
P0492,105,3.53,21,24,60,57.14,22.86,20.0,37.14,Smart Ring 492,Wearables,Good
P0166,109,3.53,22,32,55,50.46,29.36,20.18,30.28,Smart Ring 166,Wearables,Good
P0025,95,3.52,19,27,49,51.58,28.42,20.0,31.58,Smart Watch 25,Watches,Good
P0049,94,3.52,24,14,56,59.57,14.89,25.53,34.04,Smart Fan 49,Home Appliances,Good
P0093,122,3.52,23,34,65,53.28,27.87,18.85,34.43,Tablet 93,Mobile,Good
P0370,94,3.52,21,23,50,53.19,24.47,22.34,30.85,Tablet 370,Mobile,Good
P0034,93,3.52,17,25,51,54.84,26.88,18.28,36.56,Bluetooth Speaker 34,Audio,Good
P0099,117,3.52,22,29,66,56.41,24.79,18.8,37.61,Bluetooth Speaker 99,Audio,Good
P0128,80,3.52,13,26,41,51.25,32.5,16.25,35.0,Smart Light 128,Home Appliances,Good
P0312,125,3.52,28,28,69,55.2,22.4,22.4,32.8,Smart Watch 312,Watches,Good
P0280,116,3.52,21,36,59,50.86,31.03,18.1,32.76,Smartphone 280,Mobile,Good
P0130,96,3.52,19,24,53,55.21,25.0,19.79,35.42,Fitness Band 130,Wearables,Good
P0203,95,3.52,20,22,53,55.79,23.16,21.05,34.74,Smart Light 203,Home Appliances,Good
P0131,102,3.52,24,21,57,55.88,20.59,23.53,32.35,Smartphone 131,Mobile,Good
P0132,122,3.52,25,26,71,58.2,21.31,20.49,37.7,Fitness Band 132,Wearables,Good
P0208,91,3.52,15,24,52,57.14,26.37,16.48,40.66,Fitness Watch 208,Watches,Good
P0002,110,3.51,24,27,59,53.64,24.55,21.82,31.82,Smart Watch 2,Watches,Good
P0165,98,3.51,19,27,52,53.06,27.55,19.39,33.67,Bluetooth Speaker 165,Audio,Good
P0169,95,3.51,23,23,49,51.58,24.21,24.21,27.37,Analog Watch 169,Watches,Mixed
P0464,80,3.51,17,18,45,56.25,22.5,21.25,35.0,Smart Light 464,Home Appliances,Good
P0196,96,3.51,20,19,57,59.38,19.79,20.83,38.54,Smart Ring 196,Wearables,Good
P0043,94,3.51,17,28,49,52.13,29.79,18.09,34.04,Tablet 43,Mobile,Good
P0350,90,3.51,18,23,49,54.44,25.56,20.0,34.44,Analog Watch 350,Watches,Good
P0360,88,3.51,16,23,49,55.68,26.14,18.18,37.5,Analog Watch 360,Watches,Good
P0251,108,3.51,20,32,56,51.85,29.63,18.52,33.33,Fitness Band 251,Wearables,Good
P0029,105,3.51,21,26,58,55.24,24.76,20.0,35.24,Smart Light 29,Home Appliances,Good
P0295,114,3.51,17,36,61,53.51,31.58,14.91,38.6,Smart Ring 295,Wearables,Good
P0331,104,3.51,15,39,50,48.08,37.5,14.42,33.65,Smart Ring 331,Wearables,Good
P0072,110,3.51,21,28,61,55.45,25.45,19.09,36.36,Smart Light 72,Home Appliances,Good
P0286,107,3.51,22,25,60,56.07,23.36,20.56,35.51,Fitness Band 286,Wearables,Good
P0398,75,3.51,15,20,40,53.33,26.67,20.0,33.33,Wireless Earbuds 398,Audio,Good
P0230,93,3.51,18,24,51,54.84,25.81,19.35,35.48,Smart Watch 230,Watches,Good
P0371,97,3.51,20,24,53,54.64,24.74,20.62,34.02,Wireless Earbuds 371,Audio,Good
P0378,103,3.5,17,32,54,52.43,31.07,16.5,35.92,Tablet 378,Mobile,Good
P0182,108,3.5,23,26,59,54.63,24.07,21.3,33.33,Fitness Band 182,Wearables,Good
P0246,105,3.5,18,29,58,55.24,27.62,17.14,38.1,Fitness Watch 246,Watches,Good
P0231,107,3.5,21,29,57,53.27,27.1,19.63,33.64,Smartphone 231,Mobile,Good
P0057,109,3.5,20,29,60,55.05,26.61,18.35,36.7,Headphones 57,Audio,Good
P0050,101,3.5,21,28,52,51.49,27.72,20.79,30.69,Analog Watch 50,Watches,Good
P0013,78,3.5,20,12,46,58.97,15.38,25.64,33.33,Smart Ring 13,Wearables,Good
P0356,98,3.5,21,26,51,52.04,26.53,21.43,30.61,Air Purifier 356,Home Appliances,Good
P0102,101,3.5,18,28,55,54.46,27.72,17.82,36.63,Smart Light 102,Home Appliances,Good
P0069,105,3.5,25,22,58,55.24,20.95,23.81,31.43,Headphones 69,Audio,Good
P0336,104,3.5,21,26,57,54.81,25.0,20.19,34.62,Tablet 336,Mobile,Good
P0070,119,3.5,19,37,63,52.94,31.09,15.97,36.97,Smart Watch 70,Watches,Good
P0092,112,3.5,26,28,58,51.79,25.0,23.21,28.57,Fitness Band 92,Wearables,Mixed
P0291,101,3.49,20,28,53,52.48,27.72,19.8,32.67,Wireless Earbuds 291,Audio,Good
P0167,86,3.49,13,28,45,52.33,32.56,15.12,37.21,Fitness Watch 167,Watches,Good
P0162,95,3.49,17,27,51,53.68,28.42,17.89,35.79,Smart Light 162,Home Appliances,Good
P0195,93,3.49,22,21,50,53.76,22.58,23.66,30.11,Fitness Band 195,Wearables,Good
P0448,102,3.49,17,35,50,49.02,34.31,16.67,32.35,Smart Fan 448,Home Appliances,Good
P0383,104,3.49,22,26,56,53.85,25.0,21.15,32.69,Smart Ring 383,Wearables,Good
P0330,108,3.49,23,23,62,57.41,21.3,21.3,36.11,Smart Watch 330,Watches,Good
P0287,103,3.49,19,36,48,46.6,34.95,18.45,28.16,Analog Watch 287,Watches,Mixed
P0114,103,3.49,18,28,57,55.34,27.18,17.48,37.86,Smart Light 114,Home Appliances,Good
P0266,104,3.49,20,34,50,48.08,32.69,19.23,28.85,Headphones 266,Audio,Mixed
P0127,91,3.48,22,20,49,53.85,21.98,24.18,29.67,Smartphone 127,Mobile,Mixed
P0120,99,3.48,15,32,52,52.53,32.32,15.15,37.37,Smart Light 120,Home Appliances,Good
P0392,99,3.48,22,22,55,55.56,22.22,22.22,33.33,Wireless Earbuds 392,Audio,Good
P0198,97,3.48,23,23,51,52.58,23.71,23.71,28.87,Smart Ring 198,Wearables,Mixed
P0142,120,3.48,23,33,64,53.33,27.5,19.17,34.17,Smart Fan 142,Home Appliances,Good
P0138,107,3.48,19,36,52,48.6,33.64,17.76,30.84,Smart Fan 138,Home Appliances,Good
P0458,92,3.48,18,26,48,52.17,28.26,19.57,32.61,Headphones 458,Audio,Good
P0170,103,3.48,20,27,56,54.37,26.21,19.42,34.95,Tablet 170,Mobile,Good
P0175,94,3.48,18,25,51,54.26,26.6,19.15,35.11,Fitness Band 175,Wearables,Good
P0151,80,3.48,13,26,41,51.25,32.5,16.25,35.0,Smart Ring 151,Wearables,Good
P0463,102,3.48,21,32,49,48.04,31.37,20.59,27.45,Air Purifier 463,Home Appliances,Mixed
P0275,88,3.48,20,23,45,51.14,26.14,22.73,28.41,Tablet 275,Mobile,Mixed
P0211,110,3.48,23,30,57,51.82,27.27,20.91,30.91,Air Purifier 211,Home Appliances,Good
P0030,108,3.48,22,29,57,52.78,26.85,20.37,32.41,Tablet 30,Mobile,Good
P0484,106,3.48,26,21,59,55.66,19.81,24.53,31.13,Bluetooth Speaker 484,Audio,Good
P0367,96,3.48,17,29,50,52.08,30.21,17.71,34.38,Smart Fan 367,Home Appliances,Good
P0315,111,3.48,26,29,56,50.45,26.13,23.42,27.03,Bluetooth Speaker 315,Audio,Mixed
P0359,95,3.48,20,25,50,52.63,26.32,21.05,31.58,Smart Light 359,Home Appliances,Good
P0161,100,3.47,20,25,55,55.0,25.0,20.0,35.0,Smartphone 161,Mobile,Good
P0014,107,3.47,26,24,57,53.27,22.43,24.3,28.97,Fitness Band 14,Wearables,Mixed
P0305,113,3.47,22,34,57,50.44,30.09,19.47,30.97,Fitness Band 305,Wearables,Good
P0185,92,3.47,23,20,49,53.26,21.74,25.0,28.26,Smart Ring 185,Wearables,Mixed
P0144,100,3.47,24,21,55,55.0,21.0,24.0,31.0,Smart Fan 144,Home Appliances,Good
P0414,92,3.47,19,29,44,47.83,31.52,20.65,27.17,Wireless Earbuds 414,Audio,Mixed
P0278,88,3.47,18,27,43,48.86,30.68,20.45,28.41,Tablet 278,Mobile,Mixed
P0071,83,3.47,17,20,46,55.42,24.1,20.48,34.94,Smart Watch 71,Watches,Good
P0015,96,3.47,13,36,47,48.96,37.5,13.54,35.42,Smart Ring 15,Wearables,Good
P0149,100,3.47,19,26,55,55.0,26.0,19.0,36.0,Fitness Watch 149,Watches,Good
P0117,112,3.47,27,22,63,56.25,19.64,24.11,32.14,Smartphone 117,Mobile,Good
P0358,96,3.47,22,27,47,48.96,28.12,22.92,26.04,Bluetooth Speaker 358,Audio,Mixed
P0391,97,3.47,21,27,49,50.52,27.84,21.65,28.87,Smart Light 391,Home Appliances,Mixed
P0400,90,3.47,18,25,47,52.22,27.78,20.0,32.22,Analog Watch 400,Watches,Good
P0242,110,3.47,25,26,59,53.64,23.64,22.73,30.91,Smart Light 242,Home Appliances,Good
P0259,92,3.47,18,27,47,51.09,29.35,19.57,31.52,Smart Fan 259,Home Appliances,Good
P0247,88,3.47,20,18,50,56.82,20.45,22.73,34.09,Bluetooth Speaker 247,Audio,Good
P0474,104,3.47,21,29,54,51.92,27.88,20.19,31.73,Bluetooth Speaker 474,Audio,Good
P0309,118,3.47,27,25,66,55.93,21.19,22.88,33.05,Fitness Band 309,Wearables,Good
P0304,106,3.47,20,32,54,50.94,30.19,18.87,32.08,Bluetooth Speaker 304,Audio,Good
P0078,86,3.47,19,24,43,50.0,27.91,22.09,27.91,Smart Ring 78,Wearables,Mixed
P0158,107,3.46,20,37,50,46.73,34.58,18.69,28.04,Smartphone 158,Mobile,Mixed
P0044,91,3.46,20,24,47,51.65,26.37,21.98,29.67,Fitness Band 44,Wearables,Mixed
P0035,101,3.46,21,29,51,50.5,28.71,20.79,29.7,Smartphone 35,Mobile,Mixed
P0152,92,3.46,19,25,48,52.17,27.17,20.65,31.52,Wireless Earbuds 152,Audio,Good
P0019,101,3.46,24,25,52,51.49,24.75,23.76,27.72,Fitness Watch 19,Watches,Mixed
P0340,91,3.46,21,20,50,54.95,21.98,23.08,31.87,Fitness Band 340,Wearables,Good
P0387,103,3.46,21,25,57,55.34,24.27,20.39,34.95,Fitness Band 387,Wearables,Good
P0010,96,3.46,23,24,49,51.04,25.0,23.96,27.08,Smart Light 10,Home Appliances,Mixed
P0022,105,3.46,22,33,50,47.62,31.43,20.95,26.67,Analog Watch 22,Watches,Mixed
P0241,96,3.46,19,27,50,52.08,28.12,19.79,32.29,Wireless Earbuds 241,Audio,Good
P0389,103,3.46,22,27,54,52.43,26.21,21.36,31.07,Fitness Watch 389,Watches,Good
P0450,90,3.46,16,28,46,51.11,31.11,17.78,33.33,Fitness Band 450,Wearables,Good
P0268,112,3.46,22,30,60,53.57,26.79,19.64,33.93,Fitness Band 268,Wearables,Good
P0227,101,3.46,25,29,47,46.53,28.71,24.75,21.78,Smart Ring 227,Wearables,Mixed
P0229,87,3.46,14,31,42,48.28,35.63,16.09,32.18,Smart Light 229,Home Appliances,Good
P0061,112,3.46,24,33,55,49.11,29.46,21.43,27.68,Wireless Earbuds 61,Audio,Mixed
P0307,112,3.45,20,35,57,50.89,31.25,17.86,33.04,Smartphone 307,Mobile,Good
P0009,107,3.45,21,33,53,49.53,30.84,19.63,29.91,Wireless Earbuds 9,Audio,Mixed
P0222,104,3.45,17,38,49,47.12,36.54,16.35,30.77,Air Purifier 222,Home Appliances,Good
P0311,82,3.45,20,16,46,56.1,19.51,24.39,31.71,Smart Light 311,Home Appliances,Good
P0352,106,3.45,19,32,55,51.89,30.19,17.92,33.96,Smart Ring 352,Wearables,Good
P0443,104,3.45,18,36,50,48.08,34.62,17.31,30.77,Wireless Earbuds 443,Audio,Good
P0431,88,3.45,18,25,45,51.14,28.41,20.45,30.68,Bluetooth Speaker 431,Audio,Good
P0171,108,3.45,20,37,51,47.22,34.26,18.52,28.7,Smart Watch 171,Watches,Mixed
P0439,93,3.45,19,23,51,54.84,24.73,20.43,34.41,Smartphone 439,Mobile,Good
P0129,94,3.45,18,31,45,47.87,32.98,19.15,28.72,Air Purifier 129,Home Appliances,Mixed
P0497,77,3.45,21,12,44,57.14,15.58,27.27,29.87,Smart Ring 497,Wearables,Mixed
P0349,108,3.45,21,36,51,47.22,33.33,19.44,27.78,Smart Fan 349,Home Appliances,Mixed
P0293,113,3.45,29,23,61,53.98,20.35,25.66,28.32,Smart Fan 293,Home Appliances,Mixed
P0366,101,3.45,25,25,51,50.5,24.75,24.75,25.74,Air Purifier 366,Home Appliances,Mixed
P0225,97,3.45,25,21,51,52.58,21.65,25.77,26.8,Smart Fan 225,Home Appliances,Mixed
P0233,97,3.45,24,18,55,56.7,18.56,24.74,31.96,Air Purifier 233,Home Appliances,Good
P0420,108,3.45,20,34,54,50.0,31.48,18.52,31.48,Smart Ring 420,Wearables,Good
P0026,106,3.44,21,31,54,50.94,29.25,19.81,31.13,Headphones 26,Audio,Good
P0467,89,3.44,23,24,42,47.19,26.97,25.84,21.35,Air Purifier 467,Home Appliances,Mixed
P0008,95,3.44,17,35,43,45.26,36.84,17.89,27.37,Headphones 8,Audio,Mixed
P0279,108,3.44,26,27,55,50.93,25.0,24.07,26.85,Tablet 279,Mobile,Mixed
P0249,91,3.44,15,34,42,46.15,37.36,16.48,29.67,Smart Light 249,Home Appliances,Mixed
P0250,87,3.44,19,21,47,54.02,24.14,21.84,32.18,Fitness Band 250,Wearables,Good
P0236,97,3.44,24,23,50,51.55,23.71,24.74,26.8,Fitness Band 236,Wearables,Mixed
P0126,102,3.44,22,27,53,51.96,26.47,21.57,30.39,Tablet 126,Mobile,Good
P0064,94,3.44,25,24,45,47.87,25.53,26.6,21.28,Fitness Band 64,Wearables,Mixed
P0404,94,3.44,21,23,50,53.19,24.47,22.34,30.85,Bluetooth Speaker 404,Audio,Good
P0174,106,3.44,25,31,50,47.17,29.25,23.58,23.58,Tablet 174,Mobile,Mixed
P0086,117,3.44,25,30,62,52.99,25.64,21.37,31.62,Analog Watch 86,Watches,Good
P0188,114,3.44,24,31,59,51.75,27.19,21.05,30.7,Headphones 188,Audio,Good
P0202,101,3.44,23,29,49,48.51,28.71,22.77,25.74,Fitness Watch 202,Watches,Mixed
P0040,90,3.44,21,22,47,52.22,24.44,23.33,28.89,Analog Watch 40,Watches,Mixed
P0140,114,3.44,26,29,59,51.75,25.44,22.81,28.95,Smartphone 140,Mobile,Mixed
P0154,94,3.44,23,24,47,50.0,25.53,24.47,25.53,Smart Fan 154,Home Appliances,Mixed
P0496,98,3.44,23,24,51,52.04,24.49,23.47,28.57,Fitness Band 496,Wearables,Mixed
P0020,113,3.43,20,38,55,48.67,33.63,17.7,30.97,Air Purifier 20,Home Appliances,Good
P0033,104,3.43,23,25,56,53.85,24.04,22.12,31.73,Smart Watch 33,Watches,Good
P0489,100,3.43,24,29,47,47.0,29.0,24.0,23.0,Headphones 489,Audio,Mixed
P0482,116,3.43,28,29,59,50.86,25.0,24.14,26.72,Smartphone 482,Mobile,Mixed
P0329,104,3.43,23,30,51,49.04,28.85,22.12,26.92,Wireless Earbuds 329,Audio,Mixed
P0290,106,3.43,23,34,49,46.23,32.08,21.7,24.53,Fitness Band 290,Wearables,Mixed
P0184,95,3.43,18,27,50,52.63,28.42,18.95,33.68,Smart Ring 184,Wearables,Good
P0493,95,3.43,21,26,48,50.53,27.37,22.11,28.42,Air Purifier 493,Home Appliances,Mixed
P0103,101,3.43,25,23,53,52.48,22.77,24.75,27.72,Fitness Band 103,Wearables,Mixed
P0353,101,3.43,21,30,50,49.5,29.7,20.79,28.71,Analog Watch 353,Watches,Mixed
P0220,100,3.43,18,30,52,52.0,30.0,18.0,34.0,Smart Ring 220,Wearables,Good
P0210,93,3.43,23,20,50,53.76,21.51,24.73,29.03,Tablet 210,Mobile,Mixed
P0276,115,3.43,23,33,59,51.3,28.7,20.0,31.3,Fitness Watch 276,Watches,Good
