customer_id,company_id,age_group,gender,location,income_segment,customer_segment,registration_date,loyalty_level,total_orders,total_quantity,total_spend,average_discount,customer_value
CUST00044,C002,36-45,Male,India,High,Frequent Buyer,2024-09-30,Loyal,9.0,20.0,274401.1,0.12222222222222223,2469609.9
CUST00045,C003,56+,Other,Singapore,Low,Premium Loyal,2024-12-14,New,17.0,31.0,331769.05,0.11470588235294119,5640073.85
CUST00046,C003,18-25,Female,UK,Premium,High Value,2026-02-12,New,12.0,26.0,166141.95,0.12083333333333335,1993703.4000000001
CUST00047,C005,18-25,Female,Germany,Medium,High Value,2024-02-02,Loyal,13.0,24.0,272648.2,0.13076923076923078,3544426.6
CUST00048,C009,56+,Other,UK,Medium,High Value,2024-07-22,Regular,12.0,25.0,354876.35,0.0625,4258516.199999999
CUST00049,C007,26-35,Other,Japan,Premium,High Value,2020-04-11,Loyal,13.0,26.0,366674.1,0.11153846153846153,4766763.3
CUST00050,C003,46-55,Male,South Korea,Medium,Premium Loyal,2021-03-18,VIP,18.0,32.0,351477.8,0.09444444444444444,6326600.399999999
CUST00051,C006,26-35,Male,India,Medium,Regular Buyer,2023-06-04,Loyal,6.0,11.0,145784.6,0.10833333333333334,874707.6000000001
CUST00052,C005,36-45,Female,Singapore,High,Frequent Buyer,2020-10-11,New,9.0,19.0,167463.55,0.1,1507171.95
CUST00053,C005,56+,Female,India,Low,Premium Loyal,2022-01-01,VIP,16.0,25.0,417261.25,0.078125,6676180.0
CUST00054,C006,46-55,Other,USA,Premium,Regular Buyer,2023-07-08,Regular,5.0,12.0,86947.75,0.14,434738.75
CUST00055,C005,46-55,Male,Germany,High,Regular Buyer,2020-06-30,New,6.0,10.0,130883.29999999999,0.09999999999999999,785299.7999999999
CUST00056,C006,18-25,Other,Canada,High,High Value,2023-07-09,Loyal,13.0,28.0,267087.95,0.1,3472143.35
CUST00057,C007,56+,Male,Germany,Premium,High Value,2023-04-26,Regular,12.0,25.0,383128.25,0.05416666666666667,4597539.0
CUST00058,C010,36-45,Female,India,High,Regular Buyer,2026-05-20,Regular,4.0,8.0,99662.20000000001,0.1625,398648.80000000005
CUST00059,C007,56+,Other,Japan,Premium,High Value,2026-07-03,VIP,10.0,16.0,253457.75,0.095,2534577.5
CUST00060,C004,46-55,Other,UK,Low,Premium Loyal,2025-09-24,Loyal,16.0,34.0,273796.4,0.084375,4380742.4
CUST00061,C002,36-45,Male,Germany,Medium,High Value,2022-08-20,New,12.0,26.0,336922.85,0.08750000000000001,4043074.1999999997
CUST00062,C004,56+,Male,South Korea,Premium,Frequent Buyer,2025-04-30,Regular,8.0,14.0,205079.25,0.1125,1640634.0
CUST00063,C007,46-55,Male,UK,Low,High Value,2025-07-17,VIP,10.0,16.0,258052.94999999998,0.12,2580529.5
CUST00064,C004,56+,Female,India,Medium,High Value,2021-12-21,VIP,14.0,28.0,297023.85,0.1,4158333.8999999994
CUST00065,C003,56+,Other,Japan,Premium,High Value,2025-03-18,VIP,11.0,21.0,218938.5,0.06363636363636363,2408323.5
CUST00066,C009,26-35,Other,South Korea,Premium,High Value,2024-12-31,Regular,10.0,20.0,229237.05000000002,0.11000000000000001,2292370.5
CUST00067,C005,46-55,Other,Germany,High,Regular Buyer,2025-11-05,New,6.0,11.0,124850.84999999999,0.09166666666666667,749105.1
CUST00068,C005,36-45,Female,Japan,Low,High Value,2022-08-18,Regular,13.0,26.0,272246.6,0.10384615384615385,3539205.8
CUST00069,C004,26-35,Other,Germany,Low,Regular Buyer,2024-04-17,VIP,5.0,9.0,89978.35,0.09,449891.75
CUST00070,C006,46-55,Female,India,Medium,High Value,2026-01-31,VIP,11.0,20.0,204001.0,0.10454545454545454,2244011.0
CUST00071,C010,56+,Female,South Korea,Low,High Value,2020-03-21,Loyal,12.0,18.0,359122.10000000003,0.09583333333333334,4309465.2
CUST00072,C007,56+,Other,Germany,Premium,High Value,2024-09-12,Loyal,12.0,28.0,317720.45,0.09999999999999999,3812645.4000000004
CUST00073,C007,18-25,Female,Japan,Premium,Regular Buyer,2025-06-12,VIP,6.0,11.0,89030.55,0.16666666666666666,534183.3
CUST00074,C003,18-25,Female,India,Low,High Value,2025-12-27,Regular,14.0,30.0,234292.8,0.08571428571428572,3280099.1999999997
CUST00075,C008,18-25,Female,Singapore,High,High Value,2022-01-14,VIP,11.0,25.0,269656.2,0.08636363636363636,2966218.2
CUST00076,C006,46-55,Female,Singapore,High,Frequent Buyer,2023-10-14,VIP,9.0,20.0,229804.1,0.05,2068236.9000000001
CUST00077,C001,18-25,Female,Germany,Low,High Value,2026-01-18,New,12.0,21.0,364477.25,0.08750000000000001,4373727.0
CUST00078,C004,18-25,Other,UK,Medium,High Value,2022-03-27,VIP,10.0,18.0,251666.9,0.06,2516669.0
CUST00079,C002,26-35,Female,Canada,High,High Value,2026-04-29,New,10.0,19.0,247206.55,0.1,2472065.5
CUST00080,C003,18-25,Other,India,High,High Value,2023-06-28,VIP,11.0,21.0,199475.15,0.12727272727272726,2194226.65
CUST00081,C007,18-25,Other,Germany,Low,High Value,2022-03-23,New,12.0,24.0,310086.3,0.10416666666666667,3721035.5999999996
CUST00082,C010,36-45,Other,Singapore,High,Frequent Buyer,2020-06-17,Loyal,9.0,19.0,259232.25,0.11666666666666667,2333090.25
CUST00083,C001,46-55,Male,Singapore,High,Regular Buyer,2024-09-16,Regular,4.0,11.0,104030.05,0.0625,416120.2
CUST00084,C007,56+,Other,Canada,Premium,High Value,2021-12-22,VIP,14.0,28.0,304880.1,0.09642857142857143,4268321.399999999
CUST00085,C010,36-45,Male,USA,High,Regular Buyer,2023-01-04,Regular,6.0,12.0,106962.6,0.13333333333333333,641775.6000000001
CUST00086,C008,56+,Other,Singapore,High,High Value,2026-05-23,VIP,14.0,31.0,344255.35,0.13214285714285715,4819574.899999999
CUST00087,C006,46-55,Male,Japan,High,Frequent Buyer,2022-01-14,Loyal,8.0,17.0,214918.35,0.0625,1719346.8
CUST00088,C010,56+,Male,Germany,Low,High Value,2023-02-05,VIP,13.0,28.0,385657.95,0.08846153846153845,5013553.350000001
CUST00089,C008,26-35,Other,South Korea,Premium,High Value,2026-03-24,New,12.0,21.0,281429.3,0.11666666666666668,3377151.5999999996
CUST00090,C002,26-35,Female,Germany,High,High Value,2023-04-20,Loyal,11.0,21.0,329168.05,0.08181818181818182,3620848.55
CUST00091,C008,56+,Female,Singapore,High,Premium Loyal,2026-03-17,VIP,15.0,27.0,448830.05,0.08,6732450.75
CUST00092,C005,36-45,Male,USA,Medium,Frequent Buyer,2023-06-09,New,9.0,21.0,202489.45,0.06666666666666667,1822405.05
CUST00093,C009,26-35,Male,South Korea,High,High Value,2022-01-28,Loyal,10.0,21.0,273624.45,0.125,2736244.5
CUST00094,C002,36-45,Male,Japan,Medium,Premium Loyal,2022-03-06,New,17.0,30.0,468313.45,0.10588235294117647,7961328.65
CUST00095,C009,36-45,Male,India,High,High Value,2021-06-02,VIP,12.0,25.0,300962.5,0.05416666666666667,3611550.0
CUST00096,C002,56+,Female,South Korea,Premium,Frequent Buyer,2020-02-20,Loyal,8.0,17.0,186907.15,0.07500000000000001,1495257.2
CUST00097,C003,36-45,Female,USA,Low,Frequent Buyer,2020-07-29,VIP,8.0,14.0,121777.75,0.06875,974222.0
CUST00098,C002,18-25,Male,UK,High,Regular Buyer,2026-06-21,Regular,7.0,16.0,159714.75,0.12142857142857143,1118003.25
CUST00099,C002,46-55,Other,Germany,Premium,High Value,2026-04-04,VIP,10.0,23.0,306861.05,0.08,3068610.5
CUST00100,C005,36-45,Other,India,Low,High Value,2024-10-22,Regular,12.0,25.0,330543.45,0.08750000000000001,3966521.4000000004
CUST00101,C005,26-35,Male,UK,Low,Regular Buyer,2020-11-28,New,7.0,15.0,158744.65,0.05714285714285714,1111212.55
CUST00102,C007,56+,Female,Canada,Low,High Value,2025-01-19,Loyal,14.0,24.0,294461.25,0.1464285714285714,4122457.5
CUST00103,C005,18-25,Other,Germany,High,Frequent Buyer,2025-02-02,Regular,9.0,16.0,125828.55,0.1111111111111111,1132456.95
CUST00104,C007,56+,Male,UK,High,High Value,2021-04-15,New,10.0,24.0,264088.25,0.11499999999999999,2640882.5
CUST00105,C001,36-45,Other,Canada,Premium,Regular Buyer,2021-11-10,VIP,7.0,14.0,195208.55,0.05714285714285715,1366459.8499999999
CUST00106,C005,36-45,Other,South Korea,Premium,Premium Loyal,2024-07-06,New,17.0,29.0,409911.9,0.07058823529411766,6968502.300000001
CUST00107,C007,56+,Female,India,Low,High Value,2023-08-13,New,11.0,27.0,206864.05,0.09545454545454546,2275504.55
CUST00108,C005,18-25,Male,South Korea,Premium,High Value,2026-06-18,Regular,12.0,21.0,289806.95,0.09999999999999999,3477683.4000000004
CUST00109,C010,46-55,Male,South Korea,High,High Value,2024-11-20,Loyal,10.0,22.0,313246.15,0.095,3132461.5
CUST00110,C006,26-35,Female,Singapore,Premium,Regular Buyer,2021-03-04,VIP,7.0,15.0,145541.0,0.13571428571428573,1018787.0
CUST00111,C009,46-55,Male,Japan,High,Regular Buyer,2020-05-30,New,7.0,12.0,188612.65,0.08571428571428572,1320288.55
CUST00112,C007,18-25,Other,South Korea,Premium,High Value,2025-10-08,Regular,13.0,24.0,349753.65,0.06923076923076923,4546797.45
CUST00113,C009,56+,Female,South Korea,Low,High Value,2024-01-21,Loyal,14.0,35.0,397547.9,0.11785714285714287,5565670.600000001
CUST00114,C009,36-45,Female,South Korea,Low,Regular Buyer,2021-06-20,Regular,7.0,15.0,176209.45,0.10714285714285714,1233466.1500000001
CUST00115,C003,56+,Male,Singapore,Low,Premium Loyal,2023-06-26,New,19.0,39.0,439002.7,0.08947368421052632,8341051.3
CUST00116,C008,26-35,Female,Canada,High,High Value,2021-04-26,VIP,12.0,22.0,307630.6,0.08750000000000001,3691567.1999999997
CUST00117,C008,46-55,Other,UK,Premium,Regular Buyer,2022-09-25,Regular,3.0,7.0,30828.2,0.13333333333333333,92484.6
CUST00118,C002,46-55,Female,Canada,Low,High Value,2023-02-05,Loyal,10.0,22.0,270349.85,0.11500000000000002,2703498.5
CUST00119,C010,46-55,Male,South Korea,Premium,Frequent Buyer,2026-07-03,Loyal,8.0,15.0,187143.65,0.11875000000000001,1497149.2
CUST00120,C009,46-55,Female,Japan,Medium,High Value,2026-02-03,VIP,11.0,22.0,304607.8,0.10454545454545455,3350685.8
CUST00121,C004,18-25,Female,South Korea,Premium,High Value,2024-08-09,Regular,11.0,26.0,203549.65,0.04090909090909091,2239046.15
CUST00122,C008,26-35,Other,Japan,Low,High Value,2020-05-31,New,12.0,25.0,261457.1,0.08333333333333333,3137485.2
CUST00123,C009,18-25,Other,UK,Premium,High Value,2025-02-14,New,10.0,21.0,267345.4,0.09,2673454.0
CUST00124,C008,36-45,Other,Singapore,Low,Frequent Buyer,2022-12-21,VIP,9.0,16.0,278587.05,0.06666666666666667,2507283.4499999997
CUST00125,C006,56+,Male,USA,Medium,High Value,2025-06-21,Regular,11.0,22.0,302864.45,0.09090909090909091,3331508.95
CUST00126,C002,18-25,Other,USA,Premium,Premium Loyal,2024-11-12,Loyal,16.0,28.0,381021.65,0.1125,6096346.4
CUST00127,C001,36-45,Male,Canada,High,High Value,2020-07-07,VIP,14.0,32.0,427476.9,0.07857142857142858,5984676.600000001
CUST00128,C003,56+,Female,UK,Medium,High Value,2022-09-27,New,12.0,27.0,248104.6,0.12916666666666668,2977255.2
CUST00129,C010,56+,Other,Germany,Premium,High Value,2024-04-15,Regular,10.0,19.0,247433.75,0.06000000000000001,2474337.5
CUST00130,C004,36-45,Female,Canada,Low,Regular Buyer,2025-03-03,Loyal,7.0,16.0,177785.55,0.07142857142857142,1244498.8499999999
CUST00131,C009,18-25,Female,Japan,High,Frequent Buyer,2021-10-09,Loyal,8.0,16.0,179045.75,0.10625,1432366.0
CUST00132,C008,26-35,Female,South Korea,Low,Premium Loyal,2023-05-22,VIP,15.0,32.0,331410.6,0.09000000000000001,4971159.0
CUST00133,C010,56+,Female,Canada,Low,High Value,2024-01-10,Loyal,14.0,23.0,254321.15,0.10714285714285714,3560496.1
CUST00134,C001,18-25,Other,South Korea,High,Frequent Buyer,2026-05-07,Loyal,9.0,19.0,230572.4,0.061111111111111116,2075151.5999999999
CUST00135,C004,56+,Female,UK,Low,High Value,2022-02-17,Loyal,10.0,17.0,127989.85,0.11000000000000001,1279898.5
CUST00136,C008,56+,Female,UK,Low,High Value,2020-05-16,Loyal,13.0,26.0,387997.15,0.07692307692307693,5043962.95
CUST00137,C007,26-35,Male,Japan,High,Premium Loyal,2021-12-20,Loyal,17.0,34.0,487068.05,0.08823529411764706,8280156.85
CUST00138,C008,36-45,Male,South Korea,Low,Frequent Buyer,2023-04-23,Regular,9.0,15.0,214021.3,0.14444444444444446,1926191.7
CUST00139,C007,36-45,Male,Singapore,Low,High Value,2026-04-01,New,10.0,20.0,235588.45,0.07,2355884.5
CUST00140,C008,36-45,Other,Singapore,High,Regular Buyer,2024-02-18,Regular,7.0,15.0,150792.5,0.042857142857142864,1055547.5
CUST00141,C008,56+,Other,Japan,Medium,High Value,2020-04-12,VIP,12.0,24.0,309074.7,0.09583333333333333,3708896.4000000004
CUST00142,C005,18-25,Male,India,Low,Frequent Buyer,2024-07-30,VIP,9.0,18.0,178088.9,0.06666666666666668,1602800.0999999999
CUST00143,C002,26-35,Other,UK,Premium,Regular Buyer,2021-02-02,Loyal,4.0,10.0,94999.3,0.1375,379997.2
CUST00144,C009,56+,Other,UK,Premium,High Value,2024-09-12,VIP,12.0,25.0,192738.55,0.1125,2312862.5999999996
CUST00145,C010,36-45,Male,Japan,Medium,Frequent Buyer,2024-07-29,VIP,8.0,16.0,192420.55,0.09375,1539364.4
CUST00146,C004,18-25,Other,Japan,High,Premium Loyal,2024-01-25,VIP,20.0,43.0,387654.5,0.1075,7753090.0
CUST00147,C005,18-25,Female,USA,Medium,Premium Loyal,2022-02-16,New,19.0,33.0,465046.7,0.09736842105263159,8835887.3
CUST00148,C001,26-35,Male,Germany,Low,Frequent Buyer,2023-09-28,Regular,9.0,18.0,196105.75,0.061111111111111116,1764951.75
CUST00149,C010,26-35,Female,UK,Low,High Value,2022-06-03,Regular,12.0,23.0,241947.7,0.09999999999999999,2903372.4000000004
CUST00150,C003,36-45,Male,USA,Low,High Value,2026-01-21,New,11.0,22.0,224824.5,0.07272727272727274,2473069.5
CUST00151,C006,56+,Female,India,Medium,Premium Loyal,2022-09-01,New,19.0,33.0,535798.0,0.09210526315789473,10180162.0
CUST00152,C003,56+,Male,USA,Premium,Regular Buyer,2024-09-20,Loyal,7.0,16.0,83742.55,0.10714285714285714,586197.85
CUST00153,C009,46-55,Other,Germany,Low,High Value,2021-03-22,Loyal,14.0,23.0,260680.8,0.08928571428571429,3649531.1999999997
CUST00154,C008,18-25,Female,Singapore,Premium,High Value,2020-05-07,VIP,12.0,18.0,302163.05,0.09999999999999999,3625956.5999999996
CUST00155,C008,18-25,Female,UK,Low,High Value,2020-10-28,Loyal,10.0,21.0,224951.55,0.10500000000000001,2249515.5
CUST00156,C010,56+,Other,Japan,Premium,High Value,2026-07-25,Loyal,12.0,21.0,310947.1,0.09583333333333333,3731365.1999999997
CUST00157,C008,56+,Female,USA,Low,High Value,2025-09-01,Regular,12.0,24.0,363538.4,0.14583333333333334,4362460.800000001
CUST00158,C007,26-35,Female,Japan,Premium,Regular Buyer,2025-01-23,VIP,7.0,11.0,143238.05,0.12142857142857144,1002666.3499999999
CUST00159,C002,46-55,Female,Canada,High,Premium Loyal,2023-07-04,VIP,15.0,23.0,390453.2,0.10666666666666667,5856798.0
CUST00160,C002,18-25,Male,Singapore,Low,Premium Loyal,2021-01-08,Regular,15.0,32.0,366958.6,0.11666666666666667,5504379.0
CUST00161,C009,56+,Other,Japan,Low,Premium Loyal,2020-09-02,Loyal,18.0,36.0,504800.05,0.09444444444444446,9086400.9
CUST00162,C007,36-45,Other,Canada,High,Frequent Buyer,2020-07-29,Regular,8.0,16.0,160095.75,0.1,1280766.0
CUST00163,C003,26-35,Male,Japan,High,High Value,2025-05-29,Loyal,11.0,24.0,269891.85,0.09545454545454546,2968810.3499999996
CUST00164,C010,46-55,Other,India,High,Regular Buyer,2022-07-15,Regular,6.0,14.0,165193.2,0.11666666666666665,991159.2000000001
CUST00165,C005,36-45,Female,India,Medium,High Value,2023-06-19,VIP,10.0,20.0,215982.9,0.11499999999999999,2159829.0
CUST00166,C002,18-25,Male,Germany,Premium,Premium Loyal,2021-08-04,VIP,15.0,26.0,394714.05,0.12333333333333334,5920710.75
CUST00167,C006,36-45,Female,Japan,Low,Regular Buyer,2021-10-06,Regular,7.0,15.0,181780.7,0.09999999999999999,1272464.9000000001
CUST00168,C003,18-25,Female,South Korea,Premium,Premium Loyal,2020-07-22,VIP,15.0,31.0,194696.6,0.08000000000000002,2920449.0
CUST00169,C007,26-35,Other,USA,High,High Value,2023-01-23,New,13.0,23.0,326142.85,0.08846153846153847,4239857.05
CUST00170,C005,56+,Other,Canada,Low,Premium Loyal,2025-06-16,VIP,17.0,29.0,418793.5,0.09705882352941175,7119489.5
CUST00171,C010,18-25,Male,Canada,Medium,Regular Buyer,2020-08-12,Loyal,6.0,9.0,83104.9,0.10000000000000002,498629.39999999997
CUST00172,C005,18-25,Male,South Korea,Premium,Frequent Buyer,2023-09-05,Regular,9.0,16.0,269333.05,0.08888888888888889,2423997.4499999997
CUST00173,C007,26-35,Other,Japan,Low,Frequent Buyer,2025-12-21,New,9.0,16.0,152452.35,0.1,1372071.1500000001
CUST00174,C007,46-55,Male,Japan,Premium,High Value,2020-03-17,VIP,12.0,24.0,286695.1,0.09166666666666667,3440341.1999999997
CUST00175,C007,18-25,Female,India,High,Frequent Buyer,2023-03-31,VIP,9.0,16.0,254195.0,0.07777777777777778,2287755.0
CUST00176,C006,46-55,Male,Germany,Premium,High Value,2020-12-26,VIP,11.0,21.0,228636.05,0.09545454545454546,2514996.55
CUST00177,C009,46-55,Female,Japan,Medium,Frequent Buyer,2020-11-18,Regular,8.0,15.0,238790.2,0.0625,1910321.6
CUST00178,C002,18-25,Other,Germany,High,High Value,2025-09-21,Regular,11.0,22.0,310318.35,0.09545454545454546,3413501.8499999996
CUST00179,C004,26-35,Female,Germany,Medium,High Value,2021-02-25,Regular,12.0,27.0,238951.80000000002,0.125,2867421.6
CUST00180,C002,46-55,Female,South Korea,High,Premium Loyal,2021-12-26,Regular,15.0,36.0,339225.1,0.09666666666666668,5088376.5
CUST00181,C008,46-55,Female,Canada,High,Premium Loyal,2020-10-06,New,18.0,38.0,515057.5,0.09444444444444446,9271035.0
CUST00182,C006,18-25,Female,South Korea,Premium,Regular Buyer,2025-09-09,New,2.0,5.0,40147.2,0.1,80294.4
CUST00183,C006,18-25,Other,USA,Premium,Regular Buyer,2023-03-21,New,7.0,17.0,153057.5,0.07857142857142858,1071402.5
CUST00184,C008,26-35,Female,South Korea,Medium,Regular Buyer,2026-05-30,VIP,6.0,13.0,114777.20000000001,0.05833333333333333,688663.2000000001
CUST00185,C002,18-25,Other,UK,Low,Frequent Buyer,2023-11-07,VIP,8.0,20.0,175115.4,0.1,1400923.2
CUST00186,C008,56+,Other,UK,High,Frequent Buyer,2025-11-16,Loyal,8.0,13.0,139267.7,0.09375,1114141.6
CUST00187,C007,36-45,Other,India,High,Frequent Buyer,2024-08-01,Loyal,8.0,13.0,171771.2,0.08125,1374169.6
CUST00188,C002,46-55,Female,Canada,Medium,High Value,2026-04-04,New,11.0,20.0,245172.8,0.1,2696900.8
CUST00189,C010,36-45,Female,Singapore,Medium,High Value,2021-08-02,New,10.0,21.0,264404.45,0.145,2644044.5
CUST00190,C005,46-55,Other,Japan,Medium,High Value,2026-04-08,New,11.0,27.0,293932.15,0.13636363636363635,3233253.6500000004
CUST00191,C007,36-45,Male,Japan,High,High Value,2025-09-13,Regular,11.0,19.0,233797.59999999998,0.1,2571773.5999999996
CUST00192,C006,26-35,Male,UK,Medium,Regular Buyer,2025-06-14,Loyal,5.0,10.0,137985.1,0.16999999999999998,689925.5
CUST00193,C002,56+,Other,India,High,High Value,2025-09-10,Regular,11.0,18.0,224735.05,0.11363636363636363,2472085.55
CUST00194,C010,26-35,Male,UK,Medium,Frequent Buyer,2024-03-23,New,9.0,16.0,268074.6,0.14444444444444446,2412671.4
CUST00195,C007,26-35,Female,Canada,Premium,High Value,2024-02-01,Regular,11.0,25.0,282332.05,0.13636363636363635,3105652.55
CUST00196,C005,26-35,Female,South Korea,Premium,Regular Buyer,2025-04-05,VIP,7.0,12.0,171775.75,0.1142857142857143,1202430.25
CUST00197,C009,46-55,Male,Germany,Medium,High Value,2025-11-30,New,10.0,17.0,322036.35,0.10500000000000001,3220363.5
CUST00198,C008,56+,Male,USA,High,High Value,2024-02-29,Regular,14.0,27.0,282199.39999999997,0.10357142857142858,3950791.5999999996
CUST00199,C005,56+,Male,Singapore,Low,Regular Buyer,2025-01-14,VIP,7.0,13.0,174245.94999999998,0.10714285714285714,1219721.65
CUST00200,C006,46-55,Male,Singapore,High,High Value,2020-04-19,VIP,12.0,24.0,276045.3,0.08750000000000001,3312543.5999999996
CUST00201,C002,26-35,Male,Japan,Low,Frequent Buyer,2024-03-15,Regular,8.0,16.0,212732.15,0.08750000000000001,1701857.2
CUST00202,C003,36-45,Female,UK,Premium,High Value,2020-06-05,New,12.0,25.0,252940.1,0.1125,3035281.2
CUST00203,C002,36-45,Male,UK,Premium,Frequent Buyer,2020-03-18,Loyal,9.0,22.0,186047.1,0.1277777777777778,1674423.9000000001
CUST00204,C004,18-25,Male,Germany,Premium,High Value,2023-05-18,VIP,12.0,27.0,359062.7,0.08750000000000001,4308752.4
CUST00205,C002,46-55,Other,India,Medium,High Value,2021-03-30,Loyal,10.0,21.0,262193.35,0.095,2621933.5
