product_id,product_name,category,main_problem,main_problem_count
P0266,Headphones 266,Audio,battery,30
P0267,Smartphone 267,Mobile,battery,25
P0268,Fitness Band 268,Wearables,battery,24
P0269,Smartphone 269,Mobile,battery,31
P0270,Smart Watch 270,Watches,battery,26
P0271,Tablet 271,Mobile,battery,24
P0272,Tablet 272,Mobile,battery,30
P0273,Smart Ring 273,Wearables,battery,35
P0274,Smart Watch 274,Watches,battery,23
P0275,Tablet 275,Mobile,battery,36
P0276,Fitness Watch 276,Watches,battery,38
P0277,Smartphone 277,Mobile,battery,33
P0278,Tablet 278,Mobile,battery,22
P0279,Tablet 279,Mobile,battery,23
P0280,Smartphone 280,Mobile,quality,22
P0281,Smart Ring 281,Wearables,battery,25
P0282,Smartphone 282,Mobile,quality,21
P0283,Headphones 283,Audio,battery,29
P0284,Wireless Earbuds 284,Audio,battery,26
P0285,Smart Light 285,Home Appliances,quality,23
P0286,Fitness Band 286,Wearables,battery,25
P0287,Analog Watch 287,Watches,quality,24
P0288,Smart Ring 288,Wearables,battery,26
P0289,Smart Ring 289,Wearables,battery,28
P0290,Fitness Band 290,Wearables,battery,19
P0291,Wireless Earbuds 291,Audio,quality,26
P0292,Smart Fan 292,Home Appliances,battery,26
P0293,Smart Fan 293,Home Appliances,battery,33
P0294,Smart Ring 294,Wearables,battery,31
P0295,Smart Ring 295,Wearables,battery,29
P0296,Headphones 296,Audio,battery,31
P0297,Smartphone 297,Mobile,quality,29
P0298,Smartphone 298,Mobile,battery,28
P0299,Smart Ring 299,Wearables,battery,28
P0300,Smart Watch 300,Watches,battery,28
P0301,Bluetooth Speaker 301,Audio,battery,23
P0302,Bluetooth Speaker 302,Audio,battery,29
P0303,Fitness Watch 303,Watches,battery,24
P0304,Bluetooth Speaker 304,Audio,battery,29
P0305,Fitness Band 305,Wearables,battery,33
P0306,Fitness Band 306,Wearables,quality,28
P0307,Smartphone 307,Mobile,quality,23
P0308,Smart Watch 308,Watches,battery,36
P0309,Fitness Band 309,Wearables,quality,22
P0310,Fitness Band 310,Wearables,quality,24
P0311,Smart Light 311,Home Appliances,quality,24
P0312,Smart Watch 312,Watches,battery,28
P0313,Smart Watch 313,Watches,battery,29
P0314,Smart Light 314,Home Appliances,battery,25
P0315,Bluetooth Speaker 315,Audio,battery,31
P0316,Wireless Earbuds 316,Audio,battery,22
P0317,Smart Light 317,Home Appliances,battery,28
P0318,Bluetooth Speaker 318,Audio,battery,31
P0319,Smart Ring 319,Wearables,battery,29
P0320,Smart Ring 320,Wearables,battery,27
P0321,Smart Ring 321,Wearables,battery,24
P0322,Smart Watch 322,Watches,battery,25
P0323,Smart Watch 323,Watches,battery,30
P0324,Air Purifier 324,Home Appliances,battery,24
P0325,Tablet 325,Mobile,battery,25
P0326,Smart Watch 326,Watches,battery,34
P0327,Smart Fan 327,Home Appliances,quality,20
P0328,Smartphone 328,Mobile,battery,27
P0329,Wireless Earbuds 329,Audio,battery,27
P0330,Smart Watch 330,Watches,battery,29
P0331,Smart Ring 331,Wearables,battery,18
P0332,Smart Watch 332,Watches,battery,28
P0333,Smart Light 333,Home Appliances,quality,28
P0334,Fitness Band 334,Wearables,performance,23
P0335,Headphones 335,Audio,battery,22
P0336,Tablet 336,Mobile,battery,22
P0337,Analog Watch 337,Watches,battery,30
P0338,Wireless Earbuds 338,Audio,battery,31
P0339,Wireless Earbuds 339,Audio,battery,21
P0340,Fitness Band 340,Wearables,battery,23
P0341,Smart Watch 341,Watches,battery,39
P0342,Smartphone 342,Mobile,battery,23
P0343,Tablet 343,Mobile,battery,32
P0344,Smartphone 344,Mobile,battery,23
P0345,Tablet 345,Mobile,battery,22
P0346,Smart Ring 346,Wearables,quality,22
P0347,Smartphone 347,Mobile,battery,26
P0348,Analog Watch 348,Watches,battery,35
P0349,Smart Fan 349,Home Appliances,battery,24
P0350,Analog Watch 350,Watches,quality,29
P0351,Tablet 351,Mobile,battery,25
P0352,Smart Ring 352,Wearables,battery,21
P0353,Analog Watch 353,Watches,battery,27
P0354,Smartphone 354,Mobile,battery,23
P0355,Analog Watch 355,Watches,battery,20
P0356,Air Purifier 356,Home Appliances,quality,23
P0357,Tablet 357,Mobile,battery,22
P0358,Bluetooth Speaker 358,Audio,battery,26
P0359,Smart Light 359,Home Appliances,battery,23
P0360,Analog Watch 360,Watches,battery,19
P0361,Air Purifier 361,Home Appliances,battery,22
P0362,Bluetooth Speaker 362,Audio,battery,16
P0363,Tablet 363,Mobile,battery,35
P0364,Bluetooth Speaker 364,Audio,quality,20
P0365,Smart Ring 365,Wearables,battery,29
P0366,Air Purifier 366,Home Appliances,battery,25
P0367,Smart Fan 367,Home Appliances,battery,24
P0368,Headphones 368,Audio,battery,24
P0369,Air Purifier 369,Home Appliances,battery,21
P0370,Tablet 370,Mobile,quality,23
P0371,Wireless Earbuds 371,Audio,performance,22
P0372,Smart Watch 372,Watches,battery,33
P0373,Smartphone 373,Mobile,battery,29
P0374,Headphones 374,Audio,quality,27
P0375,Headphones 375,Audio,battery,28
P0376,Smart Fan 376,Home Appliances,battery,25
P0377,Smart Ring 377,Wearables,battery,23
P0378,Tablet 378,Mobile,performance,22
P0379,Bluetooth Speaker 379,Audio,quality,23
P0380,Fitness Band 380,Wearables,battery,20
P0381,Bluetooth Speaker 381,Audio,performance,20
P0382,Smart Watch 382,Watches,battery,26
P0383,Smart Ring 383,Wearables,battery,28
P0384,Bluetooth Speaker 384,Audio,battery,21
P0385,Tablet 385,Mobile,battery,29
P0386,Smart Fan 386,Home Appliances,battery,21
P0387,Fitness Band 387,Wearables,battery,31
P0388,Smart Fan 388,Home Appliances,battery,20
P0389,Fitness Watch 389,Watches,quality,24
P0390,Smart Light 390,Home Appliances,battery,31
P0391,Smart Light 391,Home Appliances,battery,28
P0392,Wireless Earbuds 392,Audio,battery,31
P0393,Analog Watch 393,Watches,quality,26
P0394,Fitness Watch 394,Watches,battery,30
P0395,Analog Watch 395,Watches,battery,29
P0396,Fitness Watch 396,Watches,battery,23
P0397,Fitness Band 397,Wearables,battery,28
P0398,Wireless Earbuds 398,Audio,battery,29
P0399,Analog Watch 399,Watches,quality,20
P0400,Analog Watch 400,Watches,quality,19
P0401,Headphones 401,Audio,performance,17
P0402,Wireless Earbuds 402,Audio,battery,24
P0403,Smart Watch 403,Watches,quality,19
P0404,Bluetooth Speaker 404,Audio,battery,19
P0405,Air Purifier 405,Home Appliances,quality,25
P0406,Fitness Band 406,Wearables,quality,28
P0407,Fitness Band 407,Wearables,battery,24
P0408,Smartphone 408,Mobile,battery,28
P0409,Analog Watch 409,Watches,battery,27
P0410,Analog Watch 410,Watches,battery,20
P0411,Smart Fan 411,Home Appliances,battery,38
P0412,Air Purifier 412,Home Appliances,battery,30
P0413,Smart Watch 413,Watches,battery,24
P0414,Wireless Earbuds 414,Audio,performance,23
P0415,Fitness Band 415,Wearables,battery,25
P0416,Smart Ring 416,Wearables,battery,22
P0417,Smart Light 417,Home Appliances,battery,24
P0418,Smart Fan 418,Home Appliances,battery,22
P0419,Fitness Band 419,Wearables,battery,33
P0420,Smart Ring 420,Wearables,quality,25
P0421,Air Purifier 421,Home Appliances,battery,23
P0422,Tablet 422,Mobile,battery,24
P0423,Air Purifier 423,Home Appliances,battery,16
P0424,Smart Ring 424,Wearables,battery,27
P0425,Fitness Watch 425,Watches,quality,18
P0426,Headphones 426,Audio,battery,31
P0427,Analog Watch 427,Watches,battery,25
P0428,Wireless Earbuds 428,Audio,quality,25
P0429,Smart Ring 429,Wearables,battery,25
P0430,Smart Light 430,Home Appliances,battery,26
P0431,Bluetooth Speaker 431,Audio,battery,20
P0432,Air Purifier 432,Home Appliances,quality,21
P0433,Smart Fan 433,Home Appliances,battery,26
P0434,Analog Watch 434,Watches,quality,23
P0435,Bluetooth Speaker 435,Audio,battery,25
P0436,Wireless Earbuds 436,Audio,quality,23
P0437,Tablet 437,Mobile,quality,26
P0438,Fitness Band 438,Wearables,quality,19
P0439,Smartphone 439,Mobile,battery,28
P0440,Fitness Band 440,Wearables,battery,24
P0441,Smartphone 441,Mobile,battery,22
P0442,Smartphone 442,Mobile,battery,24
P0443,Wireless Earbuds 443,Audio,battery,19
P0444,Fitness Band 444,Wearables,battery,17
P0445,Bluetooth Speaker 445,Audio,battery,28
P0446,Tablet 446,Mobile,battery,22
P0447,Smartphone 447,Mobile,battery,21
P0448,Smart Fan 448,Home Appliances,battery,24
P0449,Bluetooth Speaker 449,Audio,quality,20
P0450,Fitness Band 450,Wearables,battery,24
P0451,Bluetooth Speaker 451,Audio,battery,29
P0452,Bluetooth Speaker 452,Audio,battery,25
P0453,Smartphone 453,Mobile,quality,28
P0454,Smart Fan 454,Home Appliances,battery,21
P0455,Fitness Band 455,Wearables,battery,29
P0456,Bluetooth Speaker 456,Audio,battery,23
P0457,Air Purifier 457,Home Appliances,quality,26
P0458,Headphones 458,Audio,battery,25
P0459,Smart Watch 459,Watches,battery,28
P0460,Headphones 460,Audio,battery,25
P0461,Headphones 461,Audio,battery,26
P0462,Smart Ring 462,Wearables,battery,24
P0463,Air Purifier 463,Home Appliances,battery,26
P0464,Smart Light 464,Home Appliances,battery,20
P0465,Fitness Band 465,Wearables,quality,24
P0466,Smart Fan 466,Home Appliances,battery,29
P0467,Air Purifier 467,Home Appliances,battery,19
P0468,Fitness Band 468,Wearables,battery,34
P0469,Smart Ring 469,Wearables,quality,22
P0470,Smart Light 470,Home Appliances,battery,29
P0471,Bluetooth Speaker 471,Audio,battery,25
P0472,Smartphone 472,Mobile,quality,19
P0473,Analog Watch 473,Watches,battery,38
P0474,Bluetooth Speaker 474,Audio,performance,24
P0475,Fitness Watch 475,Watches,battery,22
P0476,Wireless Earbuds 476,Audio,battery,23
P0477,Fitness Watch 477,Watches,battery,37
P0478,Smart Fan 478,Home Appliances,battery,22
P0479,Fitness Watch 479,Watches,quality,29
P0480,Headphones 480,Audio,battery,26
P0481,Bluetooth Speaker 481,Audio,battery,34
P0482,Smartphone 482,Mobile,battery,20
P0483,Smartphone 483,Mobile,battery,23
P0484,Bluetooth Speaker 484,Audio,battery,35
P0485,Smart Watch 485,Watches,quality,26
P0486,Tablet 486,Mobile,battery,17
P0487,Air Purifier 487,Home Appliances,battery,19
P0488,Smart Light 488,Home Appliances,battery,26
P0489,Headphones 489,Audio,battery,20
P0490,Smart Light 490,Home Appliances,battery,26
P0491,Tablet 491,Mobile,quality,24
P0492,Smart Ring 492,Wearables,battery,33
P0493,Air Purifier 493,Home Appliances,quality,20
P0494,Fitness Watch 494,Watches,quality,17
P0495,Tablet 495,Mobile,battery,25
P0496,Fitness Band 496,Wearables,battery,34
P0497,Smart Ring 497,Wearables,battery,27
P0498,Tablet 498,Mobile,quality,27
P0499,Tablet 499,Mobile,battery,30
P0500,Wireless Earbuds 500,Audio,battery,28
