product_id,complaint_category,complaint_count,product_name,category,subcategory,demand_problem_score,demand_problem_category,product_pain_score
P0032,battery,31,Smartphone 32,Mobile,Smartphone,70.5,High Demand + High Problem,77.5
P0250,battery,31,Fitness Band 250,Wearables,Fitness Band,66.68,High Demand + High Problem,77.5
P0199,battery,31,Smart Ring 199,Wearables,Smart Ring,64.24,High Demand + High Problem,77.5
P0318,battery,31,Bluetooth Speaker 318,Audio,Bluetooth Speaker,63.38,Moderate,77.5
P0294,battery,31,Smart Ring 294,Wearables,Smart Ring,58.98,Moderate,77.5
P0092,battery,31,Fitness Band 92,Wearables,Fitness Band,58.71,Moderate,77.5
P0017,battery,31,Bluetooth Speaker 17,Audio,Bluetooth Speaker,58.19,Moderate,77.5
P0214,battery,31,Fitness Band 214,Wearables,Fitness Band,56.44,Moderate,77.5
P0188,battery,31,Headphones 188,Audio,Headphones,54.98,Moderate,77.5
P0109,battery,31,Smart Fan 109,Home Appliances,Smart Fan,54.68,Moderate,77.5
P0095,battery,31,Analog Watch 95,Watches,Analog Watch,54.25,Moderate,77.5
P0296,battery,31,Headphones 296,Audio,Headphones,51.28,Low Demand + High Problem,77.5
P0296,quality,31,Headphones 296,Audio,Headphones,51.28,Low Demand + High Problem,77.5
P0145,battery,31,Fitness Band 145,Wearables,Fitness Band,47.62,Low Demand + High Problem,77.5
P0164,battery,31,Smart Fan 164,Home Appliances,Smart Fan,46.5,Low Demand + High Problem,77.5
P0201,battery,31,Fitness Band 201,Wearables,Fitness Band,43.73,Low Demand + High Problem,77.5
P0107,quality,31,Analog Watch 107,Watches,Analog Watch,43.39,Low Demand + High Problem,77.5
P0093,battery,31,Tablet 93,Mobile,Tablet,41.47,Low Demand + High Problem,77.5
P0387,battery,31,Fitness Band 387,Wearables,Fitness Band,39.05,Low Demand + High Problem,77.5
P0426,battery,31,Headphones 426,Audio,Headphones,38.77,Moderate,77.5
P0112,battery,31,Smart Light 112,Home Appliances,Smart Light,36.83,Low Demand + High Problem,77.5
P0390,battery,31,Smart Light 390,Home Appliances,Smart Light,34.44,Low Demand + High Problem,77.5
P0315,battery,31,Bluetooth Speaker 315,Audio,Bluetooth Speaker,34.01,Low Demand + High Problem,77.5
P0392,battery,31,Wireless Earbuds 392,Audio,Wireless Earbuds,31.69,Low Demand + High Problem,77.5
P0099,quality,30,Bluetooth Speaker 99,Audio,Bluetooth Speaker,77.04,High Demand + High Problem,75.0
P0110,battery,30,Smart Ring 110,Wearables,Smart Ring,70.92,High Demand + High Problem,75.0
P0111,battery,30,Smartphone 111,Mobile,Smartphone,67.48,High Demand + High Problem,75.0
P0139,battery,30,Analog Watch 139,Watches,Analog Watch,66.4,Moderate,75.0
P0117,battery,30,Smartphone 117,Mobile,Smartphone,66.12,High Demand + High Problem,75.0
P0191,battery,30,Headphones 191,Audio,Headphones,63.82,Moderate,75.0
P0394,battery,30,Fitness Watch 394,Watches,Fitness Watch,62.27,High Demand + High Problem,75.0
P0121,battery,30,Fitness Band 121,Wearables,Fitness Band,61.96,Moderate,75.0
P0056,quality,30,Analog Watch 56,Watches,Analog Watch,61.72,Moderate,75.0
P0266,battery,30,Headphones 266,Audio,Headphones,61.02,Moderate,75.0
P0323,battery,30,Smart Watch 323,Watches,Smart Watch,56.94,Moderate,75.0
P0005,battery,30,Air Purifier 5,Home Appliances,Air Purifier,56.0,Moderate,75.0
P0108,battery,30,Wireless Earbuds 108,Audio,Wireless Earbuds,54.05,Moderate,75.0
P0063,battery,30,Fitness Band 63,Wearables,Fitness Band,53.45,Moderate,75.0
P0337,battery,30,Analog Watch 337,Watches,Analog Watch,51.99,Low Demand + High Problem,75.0
P0412,battery,30,Air Purifier 412,Home Appliances,Air Purifier,51.55,Moderate,75.0
P0499,battery,30,Tablet 499,Mobile,Tablet,50.57,Low Demand + High Problem,75.0
P0091,quality,30,Tablet 91,Mobile,Tablet,48.54,Low Demand + High Problem,75.0
P0029,battery,30,Smart Light 29,Home Appliances,Smart Light,47.31,Low Demand + High Problem,75.0
P0179,battery,30,Fitness Band 179,Wearables,Fitness Band,45.59,Low Demand + High Problem,75.0
P0272,battery,30,Tablet 272,Mobile,Tablet,43.57,Low Demand + High Problem,75.0
P0138,battery,30,Smart Fan 138,Home Appliances,Smart Fan,41.05,Low Demand + High Problem,75.0
P0003,quality,30,Smart Light 3,Home Appliances,Smart Light,40.9,Low Demand + High Problem,75.0
P0244,battery,30,Air Purifier 244,Home Appliances,Air Purifier,32.1,Low Demand + High Problem,75.0
P0105,quality,29,Fitness Watch 105,Watches,Fitness Watch,74.12,High Demand + High Problem,72.5
P0466,battery,29,Smart Fan 466,Home Appliances,Smart Fan,73.63,High Demand + High Problem,72.5
P0297,quality,29,Smartphone 297,Mobile,Smartphone,73.51,High Demand + High Problem,72.5
P0283,battery,29,Headphones 283,Audio,Headphones,72.42,High Demand + High Problem,72.5
P0110,performance,29,Smart Ring 110,Wearables,Smart Ring,70.92,High Demand + High Problem,72.5
P0039,battery,29,Bluetooth Speaker 39,Audio,Bluetooth Speaker,70.91,High Demand + High Problem,72.5
P0304,battery,29,Bluetooth Speaker 304,Audio,Bluetooth Speaker,70.79,High Demand + High Problem,72.5
P0192,battery,29,Bluetooth Speaker 192,Audio,Bluetooth Speaker,69.68,High Demand + High Problem,72.5
P0479,quality,29,Fitness Watch 479,Watches,Fitness Watch,69.04,High Demand + High Problem,72.5
P0455,battery,29,Fitness Band 455,Wearables,Fitness Band,67.7,High Demand + High Problem,72.5
P0470,battery,29,Smart Light 470,Home Appliances,Smart Light,67.01,High Demand + High Problem,72.5
P0365,battery,29,Smart Ring 365,Wearables,Smart Ring,65.13,High Demand + High Problem,72.5
P0398,battery,29,Wireless Earbuds 398,Audio,Wireless Earbuds,64.63,High Demand + High Problem,72.5
P0451,battery,29,Bluetooth Speaker 451,Audio,Bluetooth Speaker,63.56,Moderate,72.5
P0373,battery,29,Smartphone 373,Mobile,Smartphone,63.2,High Demand + High Problem,72.5
P0125,battery,29,Air Purifier 125,Home Appliances,Air Purifier,61.54,Moderate,72.5
P0302,battery,29,Bluetooth Speaker 302,Audio,Bluetooth Speaker,58.13,Moderate,72.5
P0080,battery,29,Wireless Earbuds 80,Audio,Wireless Earbuds,56.98,Moderate,72.5
P0040,battery,29,Analog Watch 40,Watches,Analog Watch,55.87,Moderate,72.5
P0044,quality,29,Fitness Band 44,Wearables,Fitness Band,52.63,Moderate,72.5
P0083,battery,29,Air Purifier 83,Home Appliances,Air Purifier,52.12,Low Demand + High Problem,72.5
P0319,battery,29,Smart Ring 319,Wearables,Smart Ring,52.07,Moderate,72.5
P0065,battery,29,Smart Ring 65,Wearables,Smart Ring,51.44,Moderate,72.5
P0045,battery,29,Smart Ring 45,Wearables,Smart Ring,51.43,Low Demand + High Problem,72.5
P0042,battery,29,Smart Watch 42,Watches,Smart Watch,50.48,Low Demand + High Problem,72.5
P0038,battery,29,Tablet 38,Mobile,Tablet,47.36,Low Demand + High Problem,72.5
P0067,quality,29,Smart Fan 67,Home Appliances,Smart Fan,47.01,Low Demand + High Problem,72.5
P0395,battery,29,Analog Watch 395,Watches,Analog Watch,46.98,Low Demand + High Problem,72.5
P0136,battery,29,Tablet 136,Mobile,Tablet,45.22,Low Demand + High Problem,72.5
P0350,quality,29,Analog Watch 350,Watches,Analog Watch,44.92,Low Demand + High Problem,72.5
P0259,battery,29,Smart Fan 259,Home Appliances,Smart Fan,42.44,Moderate,72.5
P0330,battery,29,Smart Watch 330,Watches,Smart Watch,42.22,Low Demand + High Problem,72.5
P0385,battery,29,Tablet 385,Mobile,Tablet,39.25,Low Demand + High Problem,72.5
P0313,battery,29,Smart Watch 313,Watches,Smart Watch,37.79,Low Demand + High Problem,72.5
P0037,quality,29,Analog Watch 37,Watches,Analog Watch,37.3,Low Demand + High Problem,72.5
P0002,battery,29,Smart Watch 2,Watches,Smart Watch,35.34,Low Demand + High Problem,72.5
P0046,battery,29,Bluetooth Speaker 46,Audio,Bluetooth Speaker,34.94,Low Demand + High Problem,72.5
P0295,battery,29,Smart Ring 295,Wearables,Smart Ring,31.13,Low Demand + High Problem,72.5
P0075,battery,28,Fitness Watch 75,Watches,Fitness Watch,78.79,High Demand + High Problem,70.0
P0123,battery,28,Smart Watch 123,Watches,Smart Watch,75.47,High Demand + High Problem,70.0
P0312,battery,28,Smart Watch 312,Watches,Smart Watch,74.89,High Demand + High Problem,70.0
P0297,battery,28,Smartphone 297,Mobile,Smartphone,73.51,High Demand + High Problem,70.0
P0375,battery,28,Headphones 375,Audio,Headphones,72.77,High Demand + High Problem,70.0
P0001,battery,28,Smart Watch 1,Watches,Smart Watch,72.08,Moderate,70.0
P0383,battery,28,Smart Ring 383,Wearables,Smart Ring,68.97,High Demand + High Problem,70.0
P0139,quality,28,Analog Watch 139,Watches,Analog Watch,66.4,Moderate,70.0
P0258,battery,28,Smart Watch 258,Watches,Smart Watch,65.83,High Demand + High Problem,70.0
P0078,quality,28,Smart Ring 78,Wearables,Smart Ring,62.24,Moderate,70.0
P0056,battery,28,Analog Watch 56,Watches,Analog Watch,61.72,Moderate,70.0
P0266,quality,28,Headphones 266,Audio,Headphones,61.02,Moderate,70.0
P0088,battery,28,Air Purifier 88,Home Appliances,Air Purifier,59.64,Moderate,70.0
P0076,battery,28,Smart Fan 76,Home Appliances,Smart Fan,58.56,Moderate,70.0
P0218,battery,28,Tablet 218,Mobile,Tablet,58.21,Moderate,70.0
P0174,battery,28,Tablet 174,Mobile,Tablet,56.89,Moderate,70.0
P0147,quality,28,Fitness Band 147,Wearables,Fitness Band,56.82,Moderate,70.0
P0332,battery,28,Smart Watch 332,Watches,Smart Watch,55.9,Moderate,70.0
P0173,battery,28,Smartphone 173,Mobile,Smartphone,55.5,Moderate,70.0
P0317,battery,28,Smart Light 317,Home Appliances,Smart Light,54.92,Moderate,70.0
P0439,battery,28,Smartphone 439,Mobile,Smartphone,54.06,Moderate,70.0
P0085,performance,28,Fitness Band 85,Wearables,Fitness Band,53.82,Low Demand + High Problem,70.0
P0306,quality,28,Fitness Band 306,Wearables,Fitness Band,53.54,Moderate,70.0
P0119,battery,28,Wireless Earbuds 119,Audio,Wireless Earbuds,53.42,Moderate,70.0
P0391,battery,28,Smart Light 391,Home Appliances,Smart Light,53.23,Moderate,70.0
P0406,quality,28,Fitness Band 406,Wearables,Fitness Band,52.74,Moderate,70.0
P0453,quality,28,Smartphone 453,Mobile,Smartphone,51.37,Low Demand + High Problem,70.0
P0289,battery,28,Smart Ring 289,Wearables,Smart Ring,50.73,Moderate,70.0
P0106,battery,28,Bluetooth Speaker 106,Audio,Bluetooth Speaker,50.07,Low Demand + High Problem,70.0
P0114,battery,28,Smart Light 114,Home Appliances,Smart Light,49.0,Low Demand + High Problem,70.0
P0087,battery,28,Tablet 87,Mobile,Tablet,48.74,Low Demand + High Problem,70.0
P0079,battery,28,Smartphone 79,Mobile,Smartphone,47.1,Low Demand + High Problem,70.0
P0408,battery,28,Smartphone 408,Mobile,Smartphone,46.53,Low Demand + High Problem,70.0
P0459,battery,28,Smart Watch 459,Watches,Smart Watch,45.57,Low Demand + High Problem,70.0
P0500,battery,28,Wireless Earbuds 500,Audio,Wireless Earbuds,44.74,Moderate,70.0
P0333,quality,28,Smart Light 333,Home Appliances,Smart Light,44.55,Low Demand + High Problem,70.0
P0330,performance,28,Smart Watch 330,Watches,Smart Watch,42.22,Low Demand + High Problem,70.0
P0397,battery,28,Fitness Band 397,Wearables,Fitness Band,40.2,Low Demand + High Problem,70.0
P0184,quality,28,Smart Ring 184,Wearables,Smart Ring,39.8,Low Demand + High Problem,70.0
P0300,battery,28,Smart Watch 300,Watches,Smart Watch,38.11,Low Demand + High Problem,70.0
P0054,quality,28,Wireless Earbuds 54,Audio,Wireless Earbuds,35.48,Low Demand + High Problem,70.0
P0299,battery,28,Smart Ring 299,Wearables,Smart Ring,35.47,Moderate,70.0
P0445,battery,28,Bluetooth Speaker 445,Audio,Bluetooth Speaker,33.29,Moderate,70.0
P0298,battery,28,Smartphone 298,Mobile,Smartphone,29.63,Low Demand + High Problem,70.0
P0242,quality,27,Smart Light 242,Home Appliances,Smart Light,76.46,High Demand + High Problem,67.5
P0047,battery,27,Smart Fan 47,Home Appliances,Smart Fan,76.37,High Demand + High Problem,67.5
P0165,battery,27,Bluetooth Speaker 165,Audio,Bluetooth Speaker,75.94,High Demand + High Problem,67.5
P0094,performance,27,Smart Ring 94,Wearables,Smart Ring,75.53,High Demand + High Problem,67.5
P0374,quality,27,Headphones 374,Audio,Headphones,73.48,High Demand + High Problem,67.5
P0039,quality,27,Bluetooth Speaker 39,Audio,Bluetooth Speaker,70.91,High Demand + High Problem,67.5
P0149,battery,27,Fitness Watch 149,Watches,Fitness Watch,70.89,High Demand + High Problem,67.5
P0202,battery,27,Fitness Watch 202,Watches,Fitness Watch,70.42,High Demand + High Problem,67.5
P0479,battery,27,Fitness Watch 479,Watches,Fitness Watch,69.04,High Demand + High Problem,67.5
P0497,battery,27,Smart Ring 497,Wearables,Smart Ring,68.43,High Demand + High Problem,67.5
P0033,battery,27,Smart Watch 33,Watches,Smart Watch,67.78,High Demand + High Problem,67.5
P0058,battery,27,Bluetooth Speaker 58,Audio,Bluetooth Speaker,67.21,High Demand + High Problem,67.5
P0043,battery,27,Tablet 43,Mobile,Tablet,66.77,High Demand + High Problem,67.5
P0222,quality,27,Air Purifier 222,Home Appliances,Air Purifier,65.63,High Demand + High Problem,67.5
P0329,battery,27,Wireless Earbuds 329,Audio,Wireless Earbuds,62.56,High Demand + High Problem,67.5
P0234,battery,27,Air Purifier 234,Home Appliances,Air Purifier,62.11,High Demand + High Problem,67.5
P0409,battery,27,Analog Watch 409,Watches,Analog Watch,61.53,Moderate,67.5
P0353,battery,27,Analog Watch 353,Watches,Analog Watch,60.67,Moderate,67.5
P0059,quality,27,Air Purifier 59,Home Appliances,Air Purifier,59.83,Moderate,67.5
P0328,battery,27,Smartphone 328,Mobile,Smartphone,58.98,Moderate,67.5
P0221,battery,27,Tablet 221,Mobile,Tablet,58.08,Moderate,67.5
P0147,battery,27,Fitness Band 147,Wearables,Fitness Band,56.82,Moderate,67.5
P0172,battery,27,Air Purifier 172,Home Appliances,Air Purifier,56.26,Moderate,67.5
P0049,battery,27,Smart Fan 49,Home Appliances,Smart Fan,55.75,Moderate,67.5
P0036,battery,27,Smart Watch 36,Watches,Smart Watch,54.59,Moderate,67.5
P0252,battery,27,Smartphone 252,Mobile,Smartphone,54.1,Moderate,67.5
P0424,battery,27,Smart Ring 424,Wearables,Smart Ring,53.26,Moderate,67.5
P0406,battery,27,Fitness Band 406,Wearables,Fitness Band,52.74,Moderate,67.5
P0132,battery,27,Fitness Band 132,Wearables,Fitness Band,52.05,Moderate,67.5
P0120,battery,27,Smart Light 120,Home Appliances,Smart Light,49.98,Moderate,67.5
P0320,battery,27,Smart Ring 320,Wearables,Smart Ring,49.19,Low Demand + High Problem,67.5
P0168,battery,27,Smart Ring 168,Wearables,Smart Ring,48.47,Low Demand + High Problem,67.5
P0213,quality,27,Wireless Earbuds 213,Audio,Wireless Earbuds,48.11,Low Demand + High Problem,67.5
P0022,battery,27,Analog Watch 22,Watches,Analog Watch,47.84,Low Demand + High Problem,67.5
P0072,battery,27,Smart Light 72,Home Appliances,Smart Light,46.94,Low Demand + High Problem,67.5
P0459,quality,27,Smart Watch 459,Watches,Smart Watch,45.57,Low Demand + High Problem,67.5
P0201,quality,27,Fitness Band 201,Wearables,Fitness Band,43.73,Low Demand + High Problem,67.5
P0241,battery,27,Wireless Earbuds 241,Audio,Wireless Earbuds,43.72,Low Demand + High Problem,67.5
P0066,battery,27,Smart Fan 66,Home Appliances,Smart Fan,42.32,Low Demand + High Problem,67.5
P0260,battery,27,Headphones 260,Audio,Headphones,40.65,Low Demand + High Problem,67.5
P0185,quality,27,Smart Ring 185,Wearables,Smart Ring,39.75,Low Demand + High Problem,67.5
P0151,battery,27,Smart Ring 151,Wearables,Smart Ring,39.55,Moderate,67.5
P0167,battery,27,Fitness Watch 167,Watches,Fitness Watch,38.98,Moderate,67.5
P0257,battery,27,Analog Watch 257,Watches,Analog Watch,38.02,Low Demand + High Problem,67.5
P0126,battery,27,Tablet 126,Mobile,Tablet,37.28,Low Demand + High Problem,67.5
P0208,battery,27,Fitness Watch 208,Watches,Fitness Watch,34.67,Low Demand + High Problem,67.5
P0315,quality,27,Bluetooth Speaker 315,Audio,Bluetooth Speaker,34.01,Low Demand + High Problem,67.5
P0498,quality,27,Tablet 498,Mobile,Tablet,32.26,Moderate,67.5
P0347,battery,26,Smartphone 347,Mobile,Smartphone,78.35,High Demand + High Problem,65.0
P0237,battery,26,Tablet 237,Mobile,Tablet,74.81,High Demand + High Problem,65.0
P0055,battery,26,Smart Watch 55,Watches,Smart Watch,74.59,High Demand + High Problem,65.0
P0485,battery,26,Smart Watch 485,Watches,Smart Watch,73.94,High Demand + High Problem,65.0
P0485,quality,26,Smart Watch 485,Watches,Smart Watch,73.94,High Demand + High Problem,65.0
P0291,quality,26,Wireless Earbuds 291,Audio,Wireless Earbuds,73.57,High Demand + High Problem,65.0
P0057,quality,26,Headphones 57,Audio,Headphones,69.4,High Demand + High Problem,65.0
P0248,battery,26,Headphones 248,Audio,Headphones,67.87,Moderate,65.0
P0288,battery,26,Smart Ring 288,Wearables,Smart Ring,67.62,High Demand + High Problem,65.0
P0028,battery,26,Fitness Band 28,Wearables,Fitness Band,67.1,High Demand + High Problem,65.0
P0156,battery,26,Wireless Earbuds 156,Audio,Wireless Earbuds,66.39,High Demand + High Problem,65.0
P0127,quality,26,Smartphone 127,Mobile,Smartphone,65.78,High Demand + High Problem,65.0
P0488,battery,26,Smart Light 488,Home Appliances,Smart Light,63.84,Moderate,65.0
P0183,battery,26,Wireless Earbuds 183,Audio,Wireless Earbuds,63.35,Moderate,65.0
P0012,battery,26,Fitness Band 12,Wearables,Fitness Band,63.02,High Demand + High Problem,65.0
P0463,battery,26,Air Purifier 463,Home Appliances,Air Purifier,62.98,Moderate,65.0
P0125,quality,26,Air Purifier 125,Home Appliances,Air Purifier,61.54,Moderate,65.0
P0358,battery,26,Bluetooth Speaker 358,Audio,Bluetooth Speaker,61.14,Moderate,65.0
P0061,battery,26,Wireless Earbuds 61,Audio,Wireless Earbuds,60.52,Moderate,65.0
P0433,battery,26,Smart Fan 433,Home Appliances,Smart Fan,60.2,Moderate,65.0
P0270,battery,26,Smart Watch 270,Watches,Smart Watch,59.26,Moderate,65.0
P0133,quality,26,Wireless Earbuds 133,Audio,Wireless Earbuds,57.5,Moderate,65.0
P0085,battery,26,Fitness Band 85,Wearables,Fitness Band,53.82,Low Demand + High Problem,65.0
P0382,battery,26,Smart Watch 382,Watches,Smart Watch,53.78,Moderate,65.0
P0041,battery,26,Headphones 41,Audio,Headphones,52.99,Low Demand + High Problem,65.0
P0437,quality,26,Tablet 437,Mobile,Tablet,51.82,Moderate,65.0
P0160,battery,26,Smart Fan 160,Home Appliances,Smart Fan,51.52,Low Demand + High Problem,65.0
P0453,battery,26,Smartphone 453,Mobile,Smartphone,51.37,Low Demand + High Problem,65.0
P0106,quality,26,Bluetooth Speaker 106,Audio,Bluetooth Speaker,50.07,Low Demand + High Problem,65.0
P0284,battery,26,Wireless Earbuds 284,Audio,Wireless Earbuds,48.29,Low Demand + High Problem,65.0
P0162,battery,26,Smart Light 162,Home Appliances,Smart Light,47.1,Low Demand + High Problem,65.0
P0226,quality,26,Bluetooth Speaker 226,Audio,Bluetooth Speaker,45.76,Low Demand + High Problem,65.0
P0292,battery,26,Smart Fan 292,Home Appliances,Smart Fan,45.15,Low Demand + High Problem,65.0
P0333,battery,26,Smart Light 333,Home Appliances,Smart Light,44.55,Low Demand + High Problem,65.0
P0457,quality,26,Air Purifier 457,Home Appliances,Air Purifier,43.58,Low Demand + High Problem,65.0
P0073,battery,26,Smartphone 73,Mobile,Smartphone,43.14,Low Demand + High Problem,65.0
P0141,quality,26,Wireless Earbuds 141,Audio,Wireless Earbuds,42.92,Low Demand + High Problem,65.0
P0430,battery,26,Smart Light 430,Home Appliances,Smart Light,41.98,Moderate,65.0
P0190,quality,26,Smart Light 190,Home Appliances,Smart Light,41.53,Low Demand + High Problem,65.0
P0490,battery,26,Smart Light 490,Home Appliances,Smart Light,41.09,Moderate,65.0
P0461,battery,26,Headphones 461,Audio,Headphones,40.5,Low Demand + High Problem,65.0
P0101,battery,26,Bluetooth Speaker 101,Audio,Bluetooth Speaker,40.33,Low Demand + High Problem,65.0
P0184,battery,26,Smart Ring 184,Wearables,Smart Ring,39.8,Low Demand + High Problem,65.0
P0018,battery,26,Smart Ring 18,Wearables,Smart Ring,38.46,Low Demand + High Problem,65.0
P0393,battery,26,Analog Watch 393,Watches,Analog Watch,38.29,Low Demand + High Problem,65.0
P0393,quality,26,Analog Watch 393,Watches,Analog Watch,38.29,Low Demand + High Problem,65.0
P0240,battery,26,Tablet 240,Mobile,Tablet,36.9,Moderate,65.0
P0480,battery,26,Headphones 480,Audio,Headphones,32.56,Low Demand + High Problem,65.0
P0206,battery,26,Smartphone 206,Mobile,Smartphone,31.62,Moderate,65.0
P0228,battery,26,Fitness Watch 228,Watches,Fitness Watch,30.7,Low Demand + High Problem,65.0
P0075,quality,25,Fitness Watch 75,Watches,Fitness Watch,78.79,High Demand + High Problem,62.5
P0010,battery,25,Smart Light 10,Home Appliances,Smart Light,78.49,High Demand + High Problem,62.5
P0094,battery,25,Smart Ring 94,Wearables,Smart Ring,75.53,High Demand + High Problem,62.5
P0055,quality,25,Smart Watch 55,Watches,Smart Watch,74.59,High Demand + High Problem,62.5
P0291,performance,25,Wireless Earbuds 291,Audio,Wireless Earbuds,73.57,High Demand + High Problem,62.5
P0225,battery,25,Smart Fan 225,Home Appliances,Smart Fan,72.85,High Demand + High Problem,62.5
P0471,battery,25,Bluetooth Speaker 471,Audio,Bluetooth Speaker,72.23,High Demand + High Problem,62.5
P0008,battery,25,Headphones 8,Audio,Headphones,71.78,High Demand + High Problem,62.5
P0203,battery,25,Smart Light 203,Home Appliances,Smart Light,71.18,Moderate,62.5
P0142,battery,25,Smart Fan 142,Home Appliances,Smart Fan,70.25,High Demand + High Problem,62.5
P0281,battery,25,Smart Ring 281,Wearables,Smart Ring,70.25,High Demand + High Problem,62.5
P0009,battery,25,Wireless Earbuds 9,Audio,Wireless Earbuds,69.97,High Demand + High Problem,62.5
P0216,battery,25,Headphones 216,Audio,Headphones,69.4,Moderate,62.5
