product_id,product_name,category,complaint_category,complaint_count,problem_percentage
P0179,Fitness Band 179,Wearables,battery,30,30.612244897959183
P0394,Fitness Watch 394,Watches,battery,30,31.25
P0110,Smart Ring 110,Wearables,battery,30,22.727272727272727
P0111,Smartphone 111,Mobile,battery,30,26.31578947368421
P0266,Headphones 266,Audio,battery,30,24.390243902439025
P0412,Air Purifier 412,Home Appliances,battery,30,29.126213592233007
P0003,Smart Light 3,Home Appliances,quality,30,29.7029702970297
P0499,Tablet 499,Mobile,battery,30,27.522935779816514
P0244,Air Purifier 244,Home Appliances,battery,30,29.411764705882355
P0029,Smart Light 29,Home Appliances,battery,30,28.846153846153843
P0138,Smart Fan 138,Home Appliances,battery,30,29.411764705882355
P0272,Tablet 272,Mobile,battery,30,27.027027027027028
P0108,Wireless Earbuds 108,Audio,battery,30,29.7029702970297
P0139,Analog Watch 139,Watches,battery,30,24.390243902439025
P0191,Headphones 191,Audio,battery,30,27.522935779816514
P0091,Tablet 91,Mobile,quality,30,28.30188679245283
P0323,Smart Watch 323,Watches,battery,30,30.927835051546392
P0063,Fitness Band 63,Wearables,battery,30,28.037383177570092
P0117,Smartphone 117,Mobile,battery,30,28.30188679245283
P0121,Fitness Band 121,Wearables,battery,30,29.411764705882355
P0350,Analog Watch 350,Watches,quality,29,24.786324786324787
P0002,Smart Watch 2,Watches,battery,29,26.36363636363636
P0083,Air Purifier 83,Home Appliances,battery,29,24.786324786324787
P0080,Wireless Earbuds 80,Audio,battery,29,29.292929292929294
P0479,Fitness Watch 479,Watches,quality,29,24.786324786324787
P0330,Smart Watch 330,Watches,battery,29,25.663716814159294
P0105,Fitness Watch 105,Watches,quality,29,27.102803738317753
P0470,Smart Light 470,Home Appliances,battery,29,27.884615384615387
P0466,Smart Fan 466,Home Appliances,battery,29,29.292929292929294
P0395,Analog Watch 395,Watches,battery,29,28.999999999999996
P0385,Tablet 385,Mobile,battery,29,30.208333333333332
P0297,Smartphone 297,Mobile,quality,29,26.851851851851855
P0295,Smart Ring 295,Wearables,battery,29,30.526315789473685
P0192,Bluetooth Speaker 192,Audio,battery,29,25.663716814159294
P0302,Bluetooth Speaker 302,Audio,battery,29,28.71287128712871
P0319,Smart Ring 319,Wearables,battery,29,27.358490566037734
P0365,Smart Ring 365,Wearables,battery,29,28.155339805825243
P0065,Smart Ring 65,Wearables,battery,29,28.999999999999996
P0067,Smart Fan 67,Home Appliances,quality,29,27.884615384615387
P0313,Smart Watch 313,Watches,battery,29,26.126126126126124
P0373,Smartphone 373,Mobile,battery,29,29.591836734693878
P0304,Bluetooth Speaker 304,Audio,battery,29,29.896907216494846
P0042,Smart Watch 42,Watches,battery,29,25.892857142857146
P0044,Fitness Band 44,Wearables,quality,29,27.102803738317753
P0455,Fitness Band 455,Wearables,battery,29,30.851063829787233
P0283,Headphones 283,Audio,battery,29,28.431372549019606
P0046,Bluetooth Speaker 46,Audio,battery,29,26.36363636363636
P0398,Wireless Earbuds 398,Audio,battery,29,29.292929292929294
P0045,Smart Ring 45,Wearables,battery,29,25.892857142857146
P0110,Smart Ring 110,Wearables,performance,29,21.96969696969697
P0038,Tablet 38,Mobile,battery,29,26.126126126126124
P0037,Analog Watch 37,Watches,quality,29,26.36363636363636
P0451,Bluetooth Speaker 451,Audio,battery,29,25.892857142857146
P0259,Smart Fan 259,Home Appliances,battery,29,32.22222222222222
P0040,Analog Watch 40,Watches,battery,29,32.58426966292135
P0039,Bluetooth Speaker 39,Audio,battery,29,28.155339805825243
P0125,Air Purifier 125,Home Appliances,battery,29,24.166666666666668
P0136,Tablet 136,Mobile,battery,29,26.851851851851855
P0075,Fitness Watch 75,Watches,battery,28,26.666666666666668
P0076,Smart Fan 76,Home Appliances,battery,28,27.722772277227726
P0375,Headphones 375,Audio,battery,28,29.47368421052631
P0001,Smart Watch 1,Watches,battery,28,30.76923076923077
P0333,Smart Light 333,Home Appliances,quality,28,24.561403508771928
P0056,Analog Watch 56,Watches,battery,28,22.400000000000002
P0147,Fitness Band 147,Wearables,quality,28,26.923076923076923
P0123,Smart Watch 123,Watches,battery,28,25.225225225225223
P0173,Smartphone 173,Mobile,battery,28,29.78723404255319
P0439,Smartphone 439,Mobile,battery,28,28.28282828282828
P0445,Bluetooth Speaker 445,Audio,battery,28,30.76923076923077
P0078,Smart Ring 78,Wearables,quality,28,28.000000000000004
P0266,Headphones 266,Audio,quality,28,22.76422764227642
P0306,Fitness Band 306,Wearables,quality,28,26.666666666666668
P0119,Wireless Earbuds 119,Audio,battery,28,26.923076923076923
P0184,Smart Ring 184,Wearables,quality,28,24.561403508771928
P0317,Smart Light 317,Home Appliances,battery,28,28.000000000000004
P0397,Fitness Band 397,Wearables,battery,28,23.931623931623932
P0500,Wireless Earbuds 500,Audio,battery,28,30.434782608695656
P0289,Smart Ring 289,Wearables,battery,28,28.28282828282828
P0079,Smartphone 79,Mobile,battery,28,26.41509433962264
P0174,Tablet 174,Mobile,battery,28,29.47368421052631
P0312,Smart Watch 312,Watches,battery,28,27.184466019417474
P0459,Smart Watch 459,Watches,battery,28,23.140495867768596
P0106,Bluetooth Speaker 106,Audio,battery,28,24.561403508771928
P0391,Smart Light 391,Home Appliances,battery,28,27.184466019417474
P0406,Fitness Band 406,Wearables,quality,28,26.923076923076923
P0408,Smartphone 408,Mobile,battery,28,24.778761061946902
P0297,Smartphone 297,Mobile,battery,28,25.925925925925924
P0300,Smart Watch 300,Watches,battery,28,28.865979381443296
P0299,Smart Ring 299,Wearables,battery,28,31.11111111111111
P0298,Smartphone 298,Mobile,battery,28,28.000000000000004
P0088,Air Purifier 88,Home Appliances,battery,28,29.78723404255319
P0087,Tablet 87,Mobile,battery,28,24.347826086956523
P0054,Wireless Earbuds 54,Audio,quality,28,28.865979381443296
P0383,Smart Ring 383,Wearables,battery,28,27.722772277227726
P0114,Smart Light 114,Home Appliances,battery,28,25.925925925925924
P0453,Smartphone 453,Mobile,quality,28,24.137931034482758
P0218,Tablet 218,Mobile,battery,28,27.722772277227726
P0139,Analog Watch 139,Watches,quality,28,22.76422764227642
P0085,Fitness Band 85,Wearables,performance,28,22.58064516129032
P0330,Smart Watch 330,Watches,performance,28,24.778761061946902
P0332,Smart Watch 332,Watches,battery,28,28.28282828282828
P0258,Smart Watch 258,Watches,battery,28,30.107526881720432
P0406,Fitness Band 406,Wearables,battery,27,25.961538461538463
P0039,Bluetooth Speaker 39,Audio,quality,27,26.21359223300971
P0320,Smart Ring 320,Wearables,battery,27,24.107142857142858
P0066,Smart Fan 66,Home Appliances,battery,27,24.770642201834864
P0147,Fitness Band 147,Wearables,battery,27,25.961538461538463
P0059,Air Purifier 59,Home Appliances,quality,27,25.0
P0151,Smart Ring 151,Wearables,battery,27,30.681818181818183
P0374,Headphones 374,Audio,quality,27,25.233644859813083
P0072,Smart Light 72,Home Appliances,battery,27,26.732673267326735
P0126,Tablet 126,Mobile,battery,27,26.21359223300971
P0058,Bluetooth Speaker 58,Audio,battery,27,24.770642201834864
P0185,Smart Ring 185,Wearables,quality,27,24.107142857142858
P0036,Smart Watch 36,Watches,battery,27,26.21359223300971
P0172,Air Purifier 172,Home Appliances,battery,27,28.125
P0132,Fitness Band 132,Wearables,battery,27,27.835051546391753
P0234,Air Purifier 234,Home Appliances,battery,27,28.421052631578945
P0241,Wireless Earbuds 241,Audio,battery,27,28.723404255319153
P0424,Smart Ring 424,Wearables,battery,27,27.55102040816326
P0033,Smart Watch 33,Watches,battery,27,23.684210526315788
P0242,Smart Light 242,Home Appliances,quality,27,25.471698113207548
P0094,Smart Ring 94,Wearables,performance,27,23.275862068965516
P0252,Smartphone 252,Mobile,battery,27,27.55102040816326
P0120,Smart Light 120,Home Appliances,battery,27,28.421052631578945
P0353,Analog Watch 353,Watches,battery,27,30.681818181818183
P0409,Analog Watch 409,Watches,battery,27,25.961538461538463
P0043,Tablet 43,Mobile,battery,27,25.0
P0202,Fitness Watch 202,Watches,battery,27,27.27272727272727
P0149,Fitness Watch 149,Watches,battery,27,25.71428571428571
P0201,Fitness Band 201,Wearables,quality,27,24.107142857142858
P0208,Fitness Watch 208,Watches,battery,27,28.421052631578945
P0047,Smart Fan 47,Home Appliances,battery,27,27.27272727272727
P0022,Analog Watch 22,Watches,battery,27,25.0
P0315,Bluetooth Speaker 315,Audio,quality,27,25.233644859813083
P0479,Fitness Watch 479,Watches,battery,27,23.076923076923077
P0459,Smart Watch 459,Watches,quality,27,22.31404958677686
P0213,Wireless Earbuds 213,Audio,quality,27,25.233644859813083
P0222,Air Purifier 222,Home Appliances,quality,27,24.770642201834864
P0329,Wireless Earbuds 329,Audio,battery,27,28.421052631578945
P0221,Tablet 221,Mobile,battery,27,29.347826086956523
P0257,Analog Watch 257,Watches,battery,27,26.732673267326735
P0328,Smartphone 328,Mobile,battery,27,23.684210526315788
P0260,Headphones 260,Audio,battery,27,27.0
P0165,Bluetooth Speaker 165,Audio,battery,27,25.471698113207548
P0049,Smart Fan 49,Home Appliances,battery,27,25.961538461538463
P0168,Smart Ring 168,Wearables,battery,27,28.125
P0497,Smart Ring 497,Wearables,battery,27,27.27272727272727
P0498,Tablet 498,Mobile,quality,27,31.76470588235294
P0167,Fitness Watch 167,Watches,battery,27,30.0
P0485,Smart Watch 485,Watches,quality,26,21.138211382113823
P0347,Smartphone 347,Mobile,battery,26,21.487603305785125
P0485,Smart Watch 485,Watches,battery,26,21.138211382113823
P0156,Wireless Earbuds 156,Audio,battery,26,27.659574468085108
P0490,Smart Light 490,Home Appliances,battery,26,28.26086956521739
P0106,Bluetooth Speaker 106,Audio,quality,26,22.807017543859647
P0288,Smart Ring 288,Wearables,battery,26,25.742574257425744
P0393,Analog Watch 393,Watches,quality,26,23.008849557522122
P0488,Smart Light 488,Home Appliances,battery,26,24.299065420560748
P0333,Smart Light 333,Home Appliances,battery,26,22.807017543859647
P0125,Air Purifier 125,Home Appliances,quality,26,21.666666666666668
P0437,Tablet 437,Mobile,quality,26,24.528301886792452
P0028,Fitness Band 28,Wearables,battery,26,24.528301886792452
P0228,Fitness Watch 228,Watches,battery,26,26.53061224489796
P0237,Tablet 237,Mobile,battery,26,26.53061224489796
P0240,Tablet 240,Mobile,battery,26,29.213483146067414
P0133,Wireless Earbuds 133,Audio,quality,26,24.761904761904763
P0127,Smartphone 127,Mobile,quality,26,25.24271844660194
P0433,Smart Fan 433,Home Appliances,battery,26,27.368421052631582
P0248,Headphones 248,Audio,battery,26,29.213483146067414
P0226,Bluetooth Speaker 226,Audio,quality,26,24.761904761904763
P0190,Smart Light 190,Home Appliances,quality,26,27.083333333333332
P0184,Smart Ring 184,Wearables,battery,26,22.807017543859647
P0057,Headphones 57,Audio,quality,26,26.804123711340207
P0073,Smartphone 73,Mobile,battery,26,25.49019607843137
P0160,Smart Fan 160,Home Appliances,battery,26,22.22222222222222
P0162,Smart Light 162,Home Appliances,battery,26,23.853211009174313
P0393,Analog Watch 393,Watches,battery,26,23.008849557522122
P0463,Air Purifier 463,Home Appliances,battery,26,24.074074074074073
P0457,Air Purifier 457,Home Appliances,quality,26,25.49019607843137
P0480,Headphones 480,Audio,battery,26,27.659574468085108
P0012,Fitness Band 12,Wearables,battery,26,25.0
P0101,Bluetooth Speaker 101,Audio,battery,26,27.956989247311824
P0292,Smart Fan 292,Home Appliances,battery,26,19.696969696969695
P0061,Wireless Earbuds 61,Audio,battery,26,24.761904761904763
P0453,Smartphone 453,Mobile,battery,26,22.413793103448278
P0085,Fitness Band 85,Wearables,battery,26,20.967741935483872
P0041,Headphones 41,Audio,battery,26,22.413793103448278
P0291,Wireless Earbuds 291,Audio,quality,26,23.636363636363637
P0284,Wireless Earbuds 284,Audio,battery,26,26.262626262626267
P0430,Smart Light 430,Home Appliances,battery,26,29.88505747126437
P0206,Smartphone 206,Mobile,battery,26,32.098765432098766
P0141,Wireless Earbuds 141,Audio,quality,26,24.299065420560748
P0358,Bluetooth Speaker 358,Audio,battery,26,28.57142857142857
P0055,Smart Watch 55,Watches,battery,26,24.299065420560748
P0382,Smart Watch 382,Watches,battery,26,29.88505747126437
P0270,Smart Watch 270,Watches,battery,26,27.083333333333332
P0461,Headphones 461,Audio,battery,26,27.659574468085108
P0183,Wireless Earbuds 183,Audio,battery,26,25.24271844660194
P0018,Smart Ring 18,Wearables,battery,26,21.487603305785125
P0376,Smart Fan 376,Home Appliances,battery,25,28.40909090909091
P0350,Analog Watch 350,Watches,battery,25,21.367521367521366
P0071,Smart Watch 71,Watches,quality,25,28.735632183908045
P0428,Wireless Earbuds 428,Audio,quality,25,27.77777777777778
P0429,Smart Ring 429,Wearables,battery,25,26.041666666666668
P0120,Smart Light 120,Home Appliances,quality,25,26.31578947368421
P0055,Smart Watch 55,Watches,quality,25,23.364485981308412
P0094,Smart Ring 94,Wearables,battery,25,21.551724137931032
P0351,Tablet 351,Mobile,battery,25,26.595744680851062
P0255,Bluetooth Speaker 255,Audio,battery,25,27.173913043478258
P0253,Bluetooth Speaker 253,Audio,battery,25,21.929824561403507
P0035,Smartphone 35,Mobile,quality,25,22.123893805309734
P0127,Smartphone 127,Mobile,battery,25,24.271844660194176
P0435,Bluetooth Speaker 435,Audio,battery,25,23.809523809523807
P0029,Smart Light 29,Home Appliances,quality,25,24.03846153846154
P0169,Analog Watch 169,Watches,quality,25,29.069767441860467
P0077,Fitness Watch 77,Watches,performance,25,26.31578947368421
P0030,Tablet 30,Mobile,battery,25,26.881720430107524
P0495,Tablet 495,Mobile,battery,25,23.809523809523807
P0225,Smart Fan 225,Home Appliances,battery,25,23.58490566037736
P0075,Fitness Watch 75,Watches,quality,25,23.809523809523807
P0305,Fitness Band 305,Wearables,quality,25,21.73913043478261
P0080,Wireless Earbuds 80,Audio,quality,25,25.252525252525253
P0427,Analog Watch 427,Watches,battery,25,31.25
P0221,Tablet 221,Mobile,quality,25,27.173913043478258
P0026,Headphones 26,Audio,battery,25,24.03846153846154
P0261,Analog Watch 261,Watches,battery,25,23.809523809523807
P0267,Smartphone 267,Mobile,battery,25,26.881720430107524
P0216,Headphones 216,Audio,battery,25,29.411764705882355
P0452,Bluetooth Speaker 452,Audio,battery,25,27.173913043478258
P0405,Air Purifier 405,Home Appliances,quality,25,26.31578947368421
P0461,Headphones 461,Audio,performance,25,26.595744680851062
P0322,Smart Watch 322,Watches,battery,25,23.58490566037736
P0142,Smart Fan 142,Home Appliances,battery,25,20.32520325203252
P0325,Tablet 325,Mobile,battery,25,29.069767441860467
P0102,Smart Light 102,Home Appliances,battery,25,25.252525252525253
P0366,Air Purifier 366,Home Appliances,battery,25,27.472527472527474
P0070,Smart Watch 70,Watches,battery,25,23.809523809523807
P0328,Smartphone 328,Mobile,performance,25,21.929824561403507
P0415,Fitness Band 415,Wearables,battery,25,25.773195876288657
P0420,Smart Ring 420,Wearables,quality,25,26.31578947368421
P0265,Smart Fan 265,Home Appliances,battery,25,26.31578947368421
P0182,Fitness Band 182,Wearables,battery,25,25.773195876288657
P0314,Smart Light 314,Home Appliances,battery,25,24.03846153846154
P0200,Bluetooth Speaker 200,Audio,battery,25,21.551724137931032
P0458,Headphones 458,Audio,battery,25,28.735632183908045
P0203,Smart Light 203,Home Appliances,battery,25,27.77777777777778
P0471,Bluetooth Speaker 471,Audio,battery,25,26.31578947368421
P0010,Smart Light 10,Home Appliances,battery,25,22.727272727272727
P0291,Wireless Earbuds 291,Audio,performance,25,22.727272727272727
P0460,Headphones 460,Audio,battery,25,29.761904761904763
P0008,Headphones 8,Audio,battery,25,24.509803921568626
P0286,Fitness Band 286,Wearables,battery,25,24.509803921568626
P0281,Smart Ring 281,Wearables,battery,25,26.595744680851062
P0003,Smart Light 3,Home Appliances,battery,25,24.752475247524753
P0009,Wireless Earbuds 9,Audio,battery,25,20.66115702479339
P0162,Smart Light 162,Home Appliances,quality,25,22.93577981651376
P0343,Tablet 343,Mobile,quality,25,21.929824561403507
P0005,Air Purifier 5,Home Appliances,quality,25,22.52252252252252
P0166,Smart Ring 166,Wearables,battery,25,27.472527472527474
P0499,Tablet 499,Mobile,quality,25,22.93577981651376
P0495,Tablet 495,Mobile,quality,25,23.809523809523807
P0164,Smart Fan 164,Home Appliances,quality,24,23.52941176470588
P0009,Wireless Earbuds 9,Audio,quality,24,19.834710743801654
P0008,Headphones 8,Audio,quality,24,23.52941176470588
P0074,Smart Watch 74,Watches,quality,24,21.62162162162162
P0491,Tablet 491,Mobile,quality,24,22.641509433962266
P0006,Headphones 6,Audio,quality,24,22.641509433962266
P0158,Smartphone 158,Mobile,battery,24,25.806451612903224
P0287,Analog Watch 287,Watches,quality,24,24.489795918367346
P0050,Analog Watch 50,Watches,battery,24,25.53191489361702
P0465,Fitness Band 465,Wearables,quality,24,21.238938053097346
P0016,Air Purifier 16,Home Appliances,battery,24,26.373626373626376
P0100,Bluetooth Speaker 100,Audio,battery,24,25.0
P0053,Tablet 53,Mobile,battery,24,23.076923076923077
P0389,Fitness Watch 389,Watches,quality,24,24.742268041237114
P0104,Smartphone 104,Mobile,battery,24,22.429906542056074
P0181,Smart Light 181,Home Appliances,battery,24,19.834710743801654
P0153,Fitness Band 153,Wearables,battery,24,27.586206896551722
P0009,Wireless Earbuds 9,Audio,software,24,19.834710743801654
P0311,Smart Light 311,Home Appliances,quality,24,26.666666666666668
P0462,Smart Ring 462,Wearables,battery,24,23.762376237623762
P0144,Smart Fan 144,Home Appliances,quality,24,22.22222222222222
P0144,Smart Fan 144,Home Appliances,battery,24,22.22222222222222
P0397,Fitness Band 397,Wearables,quality,24,20.51282051282051
P0402,Wireless Earbuds 402,Audio,battery,24,23.762376237623762
P0271,Tablet 271,Mobile,battery,24,22.857142857142858
P0407,Fitness Band 407,Wearables,battery,24,24.242424242424242
P0321,Smart Ring 321,Wearables,battery,24,22.22222222222222
P0365,Smart Ring 365,Wearables,quality,24,23.300970873786408
P0310,Fitness Band 310,Wearables,quality,24,22.018348623853214
P0368,Headphones 368,Audio,battery,24,27.586206896551722
P0367,Smart Fan 367,Home Appliances,battery,24,24.0
P0098,Analog Watch 98,Watches,quality,24,25.53191489361702
P0197,Fitness Band 197,Wearables,quality,24,25.263157894736842
P0196,Smart Ring 196,Wearables,battery,24,26.96629213483146
P0324,Air Purifier 324,Home Appliances,battery,24,23.52941176470588
P0413,Smart Watch 413,Watches,battery,24,26.373626373626376
P0268,Fitness Band 268,Wearables,battery,24,26.666666666666668
P0417,Smart Light 417,Home Appliances,battery,24,24.489795918367346
P0082,Fitness Watch 82,Watches,battery,24,25.0
P0084,Fitness Band 84,Wearables,quality,24,20.168067226890756
P0135,Smart Watch 135,Watches,battery,24,23.762376237623762
P0222,Air Purifier 222,Home Appliances,battery,24,22.018348623853214
P0025,Smart Watch 25,Watches,battery,24,23.076923076923077
P0450,Fitness Band 450,Wearables,battery,24,27.27272727272727
P0448,Smart Fan 448,Home Appliances,battery,24,24.489795918367346
P0023,Air Purifier 23,Home Appliances,battery,24,22.641509433962266
P0115,Air Purifier 115,Home Appliances,performance,24,21.428571428571427
P0183,Wireless Earbuds 183,Audio,quality,24,23.300970873786408
P0303,Fitness Watch 303,Watches,battery,24,24.489795918367346
P0055,Smart Watch 55,Watches,performance,24,22.429906542056074
P0422,Tablet 422,Mobile,battery,24,25.0
P0349,Smart Fan 349,Home Appliances,battery,24,27.27272727272727
P0081,Headphones 81,Audio,battery,24,28.235294117647058
P0433,Smart Fan 433,Home Appliances,performance,24,25.263157894736842
P0135,Smart Watch 135,Watches,quality,24,23.762376237623762
P0440,Fitness Band 440,Wearables,battery,24,24.242424242424242
P0437,Tablet 437,Mobile,battery,24,22.641509433962266
P0237,Tablet 237,Mobile,quality,24,24.489795918367346
P0130,Fitness Band 130,Wearables,battery,24,29.268292682926827
P0129,Air Purifier 129,Home Appliances,quality,24,26.373626373626376
P0442,Smartphone 442,Mobile,battery,24,24.242424242424242
P0227,Smart Ring 227,Wearables,battery,24,24.0
P0226,Bluetooth Speaker 226,Audio,battery,24,22.857142857142858
P0374,Headphones 374,Audio,battery,24,22.429906542056074
P0096,Smart Watch 96,Watches,battery,24,26.373626373626376
P0013,Smart Ring 13,Wearables,quality,24,22.641509433962266
P0474,Bluetooth Speaker 474,Audio,performance,24,20.168067226890756
P0073,Smartphone 73,Mobile,quality,24,23.52941176470588
P0490,Smart Light 490,Home Appliances,quality,23,25.0
P0347,Smartphone 347,Mobile,quality,23,19.00826446280992
P0002,Smart Watch 2,Watches,quality,23,20.909090909090907
P0340,Fitness Band 340,Wearables,battery,23,20.535714285714285
P0340,Fitness Band 340,Wearables,quality,23,20.535714285714285
P0341,Smart Watch 341,Watches,quality,23,18.69918699186992
P0342,Smartphone 342,Mobile,battery,23,25.842696629213485
P0344,Smartphone 344,Mobile,battery,23,22.54901960784314
P0072,Smart Light 72,Home Appliances,quality,23,22.772277227722775
P0157,Smartphone 157,Mobile,battery,23,22.772277227722775
P0474,Bluetooth Speaker 474,Audio,battery,23,19.327731092436977
P0307,Smartphone 307,Mobile,quality,23,22.330097087378643
P0310,Fitness Band 310,Wearables,battery,23,21.100917431192663
P0377,Smart Ring 377,Wearables,battery,23,29.11392405063291
P0057,Headphones 57,Audio,battery,23,23.711340206185564
P0379,Bluetooth Speaker 379,Audio,quality,23,23.711340206185564
P0301,Bluetooth Speaker 301,Audio,battery,23,21.904761904761905
P0186,Smart Ring 186,Wearables,battery,23,24.210526315789473
P0097,Fitness Watch 97,Watches,quality,23,20.175438596491226
P0383,Smart Ring 383,Wearables,quality,23,22.772277227722775
P0368,Headphones 368,Audio,quality,23,26.436781609195403
P0370,Tablet 370,Mobile,quality,23,22.115384615384613
P0313,Smart Watch 313,Watches,performance,23,20.72072072072072
P0177,Wireless Earbuds 177,Audio,battery,23,23.711340206185564
P0476,Wireless Earbuds 476,Audio,battery,23,26.136363636363637
P0292,Smart Fan 292,Home Appliances,delivery,23,17.424242424242426
P0293,Smart Fan 293,Home Appliances,quality,23,22.115384615384613
P0191,Headphones 191,Audio,quality,23,21.100917431192663
P0146,Air Purifier 146,Home Appliances,performance,23,20.535714285714285
P0285,Smart Light 285,Home Appliances,quality,23,22.772277227722775
P0391,Smart Light 391,Home Appliances,quality,23,22.330097087378643
P0050,Analog Watch 50,Watches,quality,23,24.46808510638298
P0396,Fitness Watch 396,Watches,battery,23,23.0
P0103,Fitness Band 103,Wearables,quality,23,20.909090909090907
P0107,Analog Watch 107,Watches,battery,23,20.0
P0107,Analog Watch 107,Watches,performance,23,20.0
P0108,Wireless Earbuds 108,Audio,performance,23,22.772277227722775
P0274,Smart Watch 274,Watches,battery,23,22.772277227722775
P0279,Tablet 279,Mobile,battery,23,20.175438596491226
