product_id,product_name,category,subcategory,price,rating,total_sales,return_rate,complaint_count,negative_percentage,average_rating,demand_score,problem_score,negative_review_score,demand_problem_score,demand_problem_category
P0032,Smartphone 32,Mobile,Smartphone,29716,4.4,80673,0.148,108,26.26,3.38,81.35,81.82,26.26,70.5,High Demand + High Problem
P0205,Tablet 205,Mobile,Tablet,23859,4.8,95089,0.048,85,24.0,3.36,95.89,64.39,24.0,70.49,Moderate
P0263,Smart Light 263,Home Appliances,Smart Light,39954,3.7,91633,0.038,95,18.49,3.59,92.4,71.97,18.49,70.47,High Demand + High Problem
P0196,Smart Ring 196,Wearables,Smart Ring,33773,3.3,94031,0.057,89,20.83,3.51,94.82,67.42,20.83,70.43,Moderate
P0202,Fitness Watch 202,Watches,Fitness Watch,10049,4.2,87299,0.077,99,22.77,3.44,88.03,75.0,22.77,70.42,High Demand + High Problem
P0142,Smart Fan 142,Home Appliances,Smart Fan,37944,4.0,74489,0.1,123,19.17,3.48,75.11,93.18,19.17,70.25,High Demand + High Problem
P0281,Smart Ring 281,Wearables,Smart Ring,28724,4.3,91389,0.139,94,19.3,3.33,92.15,71.21,19.3,70.25,High Demand + High Problem
P0009,Wireless Earbuds 9,Audio,Wireless Earbuds,21673,3.3,74841,0.133,121,19.63,3.45,75.47,91.67,19.63,69.97,High Demand + High Problem
P0007,Tablet 7,Mobile,Tablet,14730,4.4,90093,0.101,86,31.0,3.3,90.85,65.15,31.0,69.88,Moderate
P0217,Fitness Watch 217,Watches,Fitness Watch,8747,3.5,90425,0.08,102,8.86,3.72,91.18,77.27,8.86,69.85,High Demand + High Problem
P0153,Fitness Band 153,Wearables,Fitness Band,40141,3.5,91312,0.118,87,26.36,3.33,92.08,65.91,26.36,69.77,Moderate
P0192,Bluetooth Speaker 192,Audio,Bluetooth Speaker,24127,3.7,78817,0.134,113,19.77,3.55,79.48,85.61,19.77,69.68,High Demand + High Problem
P0342,Smartphone 342,Mobile,Smartphone,22206,3.5,92865,0.138,89,18.45,3.55,93.64,67.42,18.45,69.43,Moderate
P0216,Headphones 216,Audio,Headphones,18497,3.7,95249,0.09,85,18.18,3.61,96.05,64.39,18.18,69.4,Moderate
P0057,Headphones 57,Audio,Headphones,29562,3.9,88170,0.105,97,18.35,3.5,88.91,73.48,18.35,69.4,High Demand + High Problem
P0103,Fitness Band 103,Wearables,Fitness Band,5840,3.8,77514,0.052,110,24.75,3.43,78.16,83.33,24.75,69.29,High Demand + High Problem
P0479,Fitness Watch 479,Watches,Fitness Watch,17888,4.6,75852,0.045,117,17.98,3.61,76.49,88.64,17.98,69.04,High Demand + High Problem
P0383,Smart Ring 383,Wearables,Smart Ring,31393,4.0,83651,0.092,101,21.15,3.49,84.35,76.52,21.15,68.97,High Demand + High Problem
P0344,Smartphone 344,Mobile,Smartphone,47345,4.4,80940,0.12,102,25.0,3.37,81.62,77.27,25.0,68.77,High Demand + High Problem
P0331,Smart Ring 331,Wearables,Smart Ring,5914,3.3,85170,0.072,102,14.42,3.51,85.88,77.27,14.42,68.58,High Demand + High Problem
P0497,Smart Ring 497,Wearables,Smart Ring,49268,3.3,80934,0.05,99,27.27,3.45,81.61,75.0,27.27,68.43,High Demand + High Problem
P0051,Air Purifier 51,Home Appliances,Air Purifier,31450,4.9,78547,0.054,106,22.62,3.31,79.21,80.3,22.62,68.27,High Demand + High Problem
P0115,Air Purifier 115,Home Appliances,Air Purifier,24768,4.4,71864,0.136,112,29.63,3.35,72.47,84.85,29.63,68.23,High Demand + High Problem
P0405,Air Purifier 405,Home Appliances,Air Purifier,27953,3.3,86348,0.054,95,19.2,3.54,87.07,71.97,19.2,68.21,High Demand + High Problem
P0311,Smart Light 311,Home Appliances,Smart Light,40900,4.3,86752,0.114,90,24.39,3.45,87.48,68.18,24.39,68.11,Moderate
P0161,Smartphone 161,Mobile,Smartphone,20736,3.6,84248,0.121,97,20.0,3.47,84.95,73.48,20.0,67.95,High Demand + High Problem
P0248,Headphones 248,Audio,Headphones,45829,3.3,85682,0.116,89,26.97,3.21,86.4,67.42,26.97,67.87,Moderate
P0033,Smart Watch 33,Watches,Smart Watch,18332,3.4,73012,0.032,114,22.12,3.43,73.62,86.36,22.12,67.78,High Demand + High Problem
P0455,Fitness Band 455,Wearables,Fitness Band,25684,3.8,86134,0.136,94,18.45,3.57,86.86,71.21,18.45,67.7,High Demand + High Problem
P0262,Headphones 262,Audio,Headphones,1443,3.8,81789,0.063,97,24.0,3.4,82.47,73.48,24.0,67.63,High Demand + High Problem
P0288,Smart Ring 288,Wearables,Smart Ring,47579,3.9,81260,0.029,101,19.82,3.6,81.94,76.52,19.82,67.62,High Demand + High Problem
P0428,Wireless Earbuds 428,Audio,Wireless Earbuds,11073,4.2,82468,0.096,90,31.18,3.37,83.16,68.18,31.18,67.52,Moderate
P0111,Smartphone 111,Mobile,Smartphone,45226,3.2,74084,0.056,114,18.18,3.55,74.7,86.36,18.18,67.48,High Demand + High Problem
P0163,Smart Ring 163,Wearables,Smart Ring,16765,3.5,88084,0.022,86,22.22,3.32,88.82,65.15,22.22,67.22,Moderate
P0058,Bluetooth Speaker 58,Audio,Bluetooth Speaker,36004,3.9,74475,0.103,109,22.58,3.35,75.1,82.58,22.58,67.21,High Demand + High Problem
P0028,Fitness Band 28,Wearables,Fitness Band,45250,3.9,75168,0.044,106,24.44,3.34,75.8,80.3,24.44,67.1,High Demand + High Problem
P0470,Smart Light 470,Home Appliances,Smart Light,37540,3.8,73233,0.078,104,31.03,3.13,73.85,78.79,31.03,67.01,High Demand + High Problem
P0341,Smart Watch 341,Watches,Smart Watch,16245,3.2,63150,0.01,123,28.3,3.2,63.68,93.18,28.3,66.93,Moderate
P0043,Tablet 43,Mobile,Tablet,40728,3.4,76074,0.037,108,18.09,3.51,76.71,81.82,18.09,66.77,High Demand + High Problem
P0334,Fitness Band 334,Wearables,Fitness Band,43420,3.9,72679,0.077,108,25.44,3.38,73.29,81.82,25.44,66.7,High Demand + High Problem
P0250,Fitness Band 250,Wearables,Fitness Band,16057,4.7,74789,0.077,107,21.84,3.44,75.42,81.06,21.84,66.68,High Demand + High Problem
P0477,Fitness Watch 477,Watches,Fitness Watch,19644,4.2,76906,0.059,99,26.61,3.33,77.55,75.0,26.61,66.47,High Demand + High Problem
P0139,Analog Watch 139,Watches,Analog Watch,7937,4.2,69176,0.021,123,11.96,3.66,69.76,93.18,11.96,66.4,Moderate
P0156,Wireless Earbuds 156,Audio,Wireless Earbuds,40627,3.6,84540,0.077,94,15.53,3.59,85.25,71.21,15.53,66.39,High Demand + High Problem
P0154,Smart Fan 154,Home Appliances,Smart Fan,45326,4.8,80531,0.05,94,24.47,3.44,81.21,71.21,24.47,66.36,High Demand + High Problem
P0014,Fitness Band 14,Wearables,Fitness Band,41979,4.3,80318,0.038,94,24.3,3.47,80.99,71.21,24.3,66.23,High Demand + High Problem
P0376,Smart Fan 376,Home Appliances,Smart Fan,15300,4.4,82237,0.066,88,27.88,3.25,82.93,66.67,27.88,66.23,Moderate
P0117,Smartphone 117,Mobile,Smartphone,9252,3.5,73141,0.039,106,24.11,3.47,73.75,80.3,24.11,66.12,High Demand + High Problem
P0370,Tablet 370,Mobile,Tablet,9889,4.1,75037,0.014,104,22.34,3.52,75.67,78.79,22.34,66.09,High Demand + High Problem
P0404,Bluetooth Speaker 404,Audio,Bluetooth Speaker,25887,4.2,90214,0.133,78,22.34,3.44,90.97,59.09,22.34,66.09,Moderate
P0258,Smart Watch 258,Watches,Smart Watch,6873,3.4,78886,0.12,93,26.85,3.37,79.55,70.45,26.85,65.83,High Demand + High Problem
P0127,Smartphone 127,Mobile,Smartphone,37462,4.8,74120,0.056,103,24.18,3.48,74.74,78.03,24.18,65.78,High Demand + High Problem
P0222,Air Purifier 222,Home Appliances,Air Purifier,34636,4.2,73742,0.075,109,16.35,3.45,74.36,82.58,16.35,65.63,High Demand + High Problem
P0255,Bluetooth Speaker 255,Audio,Bluetooth Speaker,39395,3.3,81583,0.051,92,21.1,3.4,82.27,69.7,21.1,65.63,Moderate
P0224,Air Purifier 224,Home Appliances,Air Purifier,19814,4.5,84585,0.147,92,14.12,3.54,85.29,69.7,14.12,65.6,Moderate
P0186,Smart Ring 186,Wearables,Smart Ring,41508,4.0,82703,0.086,95,14.29,3.6,83.4,71.97,14.29,65.58,High Demand + High Problem
P0193,Fitness Band 193,Wearables,Fitness Band,8044,4.7,95855,0.061,70,15.85,3.3,96.66,53.03,15.85,65.23,Moderate
P0365,Smart Ring 365,Wearables,Smart Ring,27928,4.3,75476,0.095,103,17.86,3.54,76.11,78.03,17.86,65.13,High Demand + High Problem
P0209,Wireless Earbuds 209,Audio,Wireless Earbuds,37067,3.5,86075,0.141,84,18.87,3.59,86.8,63.64,18.87,65.11,Moderate
P0077,Fitness Watch 77,Watches,Fitness Watch,42251,3.5,74272,0.143,95,28.85,3.28,74.89,71.97,28.85,64.66,High Demand + High Problem
P0398,Wireless Earbuds 398,Audio,Wireless Earbuds,1835,4.7,75755,0.104,99,20.0,3.51,76.39,75.0,20.0,64.63,High Demand + High Problem
P0020,Air Purifier 20,Home Appliances,Air Purifier,36339,4.8,75347,0.091,101,17.7,3.43,75.98,76.52,17.7,64.51,High Demand + High Problem
P0052,Bluetooth Speaker 52,Audio,Bluetooth Speaker,32108,4.5,84079,0.049,86,17.71,3.66,84.78,65.15,17.71,64.5,Moderate
P0199,Smart Ring 199,Wearables,Smart Ring,18401,4.5,76321,0.091,97,19.44,3.56,76.96,73.48,19.44,64.24,High Demand + High Problem
P0308,Smart Watch 308,Watches,Smart Watch,27081,4.3,66173,0.117,111,23.33,3.42,66.73,84.09,23.33,64.13,Moderate
P0026,Headphones 26,Audio,Headphones,15267,4.2,71566,0.019,104,19.81,3.44,72.17,78.79,19.81,64.01,High Demand + High Problem
P0440,Fitness Band 440,Wearables,Fitness Band,9937,4.6,72029,0.051,99,25.25,3.59,72.63,75.0,25.25,63.98,High Demand + High Problem
P0488,Smart Light 488,Home Appliances,Smart Light,12455,3.4,68422,0.074,107,22.11,3.38,69.0,81.06,22.11,63.84,Moderate
P0191,Headphones 191,Audio,Headphones,34733,4.7,65691,0.013,109,25.56,3.34,66.24,82.58,25.56,63.82,Moderate
P0340,Fitness Band 340,Wearables,Fitness Band,37903,4.6,65017,0.086,112,23.08,3.46,65.56,84.85,23.08,63.82,Moderate
P0380,Fitness Band 380,Wearables,Fitness Band,23489,3.6,70575,0.099,103,22.34,3.3,71.17,78.03,22.34,63.8,High Demand + High Problem
P0451,Bluetooth Speaker 451,Audio,Bluetooth Speaker,49052,3.4,66183,0.081,112,19.15,3.67,66.74,84.85,19.15,63.56,Moderate
P0318,Bluetooth Speaker 318,Audio,Bluetooth Speaker,4009,3.3,61460,0.131,115,25.0,3.38,61.98,87.12,25.0,63.38,Moderate
P0336,Tablet 336,Mobile,Tablet,36685,3.8,74641,0.08,96,20.19,3.5,75.27,72.73,20.19,63.36,High Demand + High Problem
P0183,Wireless Earbuds 183,Audio,Wireless Earbuds,22145,3.6,68512,0.135,103,24.74,3.23,69.09,78.03,24.74,63.35,Moderate
P0268,Fitness Band 268,Wearables,Fitness Band,24562,4.6,78333,0.099,90,19.64,3.46,78.99,68.18,19.64,63.34,Moderate
P0373,Smartphone 373,Mobile,Smartphone,19682,3.3,75507,0.119,98,14.74,3.68,76.14,74.24,14.74,63.2,High Demand + High Problem
P0012,Fitness Band 12,Wearables,Fitness Band,26216,4.9,69852,0.045,104,18.75,3.55,70.44,78.79,18.75,63.02,High Demand + High Problem
P0463,Air Purifier 463,Home Appliances,Air Purifier,8115,4.1,66607,0.106,108,20.59,3.48,67.17,81.82,20.59,62.98,Moderate
P0211,Air Purifier 211,Home Appliances,Air Purifier,3381,3.9,65430,0.036,109,20.91,3.48,65.98,82.58,20.91,62.77,Moderate
P0454,Smart Fan 454,Home Appliances,Smart Fan,30795,3.3,85503,0.055,75,20.35,3.3,86.22,56.82,20.35,62.76,Moderate
P0261,Analog Watch 261,Watches,Analog Watch,17495,4.4,65485,0.093,105,26.0,3.38,66.03,79.55,26.0,62.76,Moderate
P0232,Smart Ring 232,Wearables,Smart Ring,4072,4.8,88494,0.063,76,12.0,3.63,89.24,57.58,12.0,62.71,Moderate
P0329,Wireless Earbuds 329,Audio,Wireless Earbuds,27502,4.1,72605,0.045,95,22.12,3.43,73.21,71.97,22.12,62.56,High Demand + High Problem
P0170,Tablet 170,Mobile,Tablet,6414,3.3,79464,0.149,85,19.42,3.48,80.13,64.39,19.42,62.48,Moderate
P0394,Fitness Watch 394,Watches,Fitness Watch,8588,3.8,72233,0.045,96,20.2,3.42,72.84,72.73,20.2,62.27,High Demand + High Problem
P0078,Smart Ring 78,Wearables,Smart Ring,40735,4.3,68994,0.063,100,22.09,3.47,69.57,75.76,22.09,62.24,Moderate
P0326,Smart Watch 326,Watches,Smart Watch,30462,3.9,70744,0.06,102,15.05,3.61,71.34,77.27,15.05,62.16,High Demand + High Problem
P0363,Tablet 363,Mobile,Tablet,1810,4.3,68993,0.119,102,18.95,3.56,69.57,77.27,18.95,62.14,Moderate
P0234,Air Purifier 234,Home Appliances,Air Purifier,37856,3.9,69967,0.029,95,25.84,3.3,70.55,71.97,25.84,62.11,High Demand + High Problem
P0121,Fitness Band 121,Wearables,Fitness Band,48660,4.7,68847,0.052,102,18.37,3.54,69.42,77.27,18.37,61.96,Moderate
P0056,Analog Watch 56,Watches,Analog Watch,20569,4.7,55421,0.085,125,17.12,3.57,55.89,94.7,17.12,61.72,Moderate
P0460,Headphones 460,Audio,Headphones,12798,3.9,74372,0.099,84,28.42,3.38,75.0,63.64,28.42,61.7,Moderate
P0125,Air Purifier 125,Home Appliances,Air Purifier,28119,4.0,55024,0.112,120,23.76,3.56,55.49,90.91,23.76,61.54,Moderate
P0409,Analog Watch 409,Watches,Analog Watch,30110,4.0,65833,0.073,104,20.43,3.6,66.38,78.79,20.43,61.53,Moderate
P0220,Smart Ring 220,Wearables,Smart Ring,6118,3.4,72281,0.136,94,18.0,3.43,72.89,71.21,18.0,61.32,High Demand + High Problem
P0358,Bluetooth Speaker 358,Audio,Bluetooth Speaker,44743,4.3,71468,0.068,91,22.92,3.47,72.07,68.94,22.92,61.14,Moderate
P0239,Tablet 239,Mobile,Tablet,31540,4.9,62037,0.117,104,26.67,3.3,62.56,78.79,26.67,61.06,Moderate
P0266,Headphones 266,Audio,Headphones,20092,3.3,54127,0.104,123,19.23,3.49,54.58,93.18,19.23,61.02,Moderate
P0486,Tablet 486,Mobile,Tablet,33266,4.7,75803,0.132,84,20.88,3.6,76.44,63.64,20.88,60.85,Moderate
P0285,Smart Light 285,Home Appliances,Smart Light,49661,4.0,67452,0.026,101,17.0,3.59,68.02,76.52,17.0,60.79,Moderate
P0265,Smart Fan 265,Home Appliances,Smart Fan,8463,3.5,72016,0.035,95,14.56,3.61,72.62,71.97,14.56,60.78,High Demand + High Problem
P0372,Smart Watch 372,Watches,Smart Watch,25409,4.0,62704,0.092,112,13.16,3.84,63.23,84.85,13.16,60.78,Moderate
P0353,Analog Watch 353,Watches,Analog Watch,14470,3.9,73128,0.111,88,20.79,3.43,73.74,66.67,20.79,60.67,Moderate
P0271,Tablet 271,Mobile,Tablet,31347,4.2,66097,0.031,105,14.02,3.56,66.65,79.55,14.02,60.64,Moderate
P0061,Wireless Earbuds 61,Audio,Wireless Earbuds,2335,3.6,62570,0.104,105,21.43,3.46,63.09,79.55,21.43,60.52,Moderate
P0171,Smart Watch 171,Watches,Smart Watch,22490,3.7,79486,0.11,78,18.52,3.45,80.15,59.09,18.52,60.45,Moderate
P0212,Smartphone 212,Mobile,Smartphone,22957,4.9,71711,0.083,89,21.05,3.42,72.31,67.42,21.05,60.35,Moderate
P0415,Fitness Band 415,Wearables,Fitness Band,30524,4.2,66586,0.029,97,21.57,3.62,67.14,73.48,21.57,60.25,Moderate
P0433,Smart Fan 433,Home Appliances,Smart Fan,36404,3.2,68246,0.125,95,20.22,3.4,68.82,71.97,20.22,60.2,Moderate
P0050,Analog Watch 50,Watches,Analog Watch,15341,4.8,68389,0.075,94,20.79,3.5,68.96,71.21,20.79,60.12,Moderate
P0360,Analog Watch 360,Watches,Analog Watch,47812,4.2,68240,0.122,96,18.18,3.51,68.81,72.73,18.18,60.06,Moderate
P0059,Air Purifier 59,Home Appliances,Air Purifier,4295,3.8,60098,0.056,108,19.63,3.54,60.6,81.82,19.63,59.83,Moderate
P0487,Air Purifier 487,Home Appliances,Air Purifier,38792,4.1,55966,0.077,107,29.79,3.32,56.43,81.06,29.79,59.72,Moderate
P0407,Fitness Band 407,Wearables,Fitness Band,1763,3.5,62010,0.129,99,26.37,3.41,62.53,75.0,26.37,59.66,Moderate
P0088,Air Purifier 88,Home Appliances,Air Purifier,13293,4.3,65838,0.098,94,24.21,3.38,66.39,71.21,24.21,59.64,Moderate
P0140,Smartphone 140,Mobile,Smartphone,6005,3.4,67340,0.037,92,22.81,3.44,67.9,69.7,22.81,59.51,Moderate
P0354,Smartphone 354,Mobile,Smartphone,7285,4.2,64849,0.032,99,18.69,3.57,65.39,75.0,18.69,59.41,Moderate
P0264,Tablet 264,Mobile,Tablet,49160,4.0,75981,0.119,76,23.6,3.38,76.62,57.58,23.6,59.35,Moderate
P0270,Smart Watch 270,Watches,Smart Watch,7462,4.1,68499,0.088,96,13.59,3.55,69.07,72.73,13.59,59.26,Moderate
P0155,Tablet 155,Mobile,Tablet,13715,4.8,58249,0.075,111,16.96,3.65,58.74,84.09,16.96,59.26,Moderate
P0450,Fitness Band 450,Wearables,Fitness Band,3402,4.1,71236,0.076,88,17.78,3.46,71.83,66.67,17.78,59.21,Moderate
P0227,Smart Ring 227,Wearables,Smart Ring,35860,3.6,60875,0.058,100,24.75,3.46,61.39,75.76,24.75,59.09,Moderate
P0427,Analog Watch 427,Watches,Analog Watch,19291,3.4,77044,0.128,80,14.46,3.54,77.69,60.61,14.46,59.06,Moderate
P0328,Smartphone 328,Mobile,Smartphone,6977,4.8,52436,0.082,114,24.79,3.33,52.88,86.36,24.79,58.98,Moderate
P0294,Smart Ring 294,Wearables,Smart Ring,15275,4.6,65343,0.048,94,22.03,3.43,65.89,71.21,22.03,58.98,Moderate
