product_id,complaint_category,complaint_count
P0391,quality,23
P0050,quality,23
P0396,battery,23
P0103,quality,23
P0107,battery,23
P0107,performance,23
P0108,performance,23
P0274,battery,23
P0279,battery,23
P0356,quality,23
P0456,battery,23
P0041,quality,23
P0415,quality,23
P0044,battery,23
P0271,performance,23
P0272,quality,23
P0141,battery,23
P0414,performance,23
P0414,quality,23
P0215,battery,23
P0217,quality,23
P0359,battery,23
P0084,performance,23
P0086,battery,23
P0081,quality,23
P0262,battery,23
P0116,battery,23
P0419,quality,23
P0264,battery,23
P0113,quality,23
P0114,quality,23
P0115,battery,23
P0023,quality,23
P0024,battery,23
P0451,quality,23
P0025,quality,23
P0354,battery,23
P0068,battery,23
P0069,battery,23
P0330,quality,23
P0334,performance,23
P0034,battery,23
P0035,battery,23
P0254,battery,23
P0256,battery,23
P0421,battery,23
P0421,quality,23
P0037,battery,23
P0434,quality,23
P0246,battery,23
P0131,battery,23
P0436,quality,23
P0031,battery,23
P0133,battery,23
P0028,performance,23
P0171,battery,23
P0175,battery,23
P0483,battery,23
P0483,quality,23
P0165,quality,23
P0500,quality,23
P0409,quality,22
P0335,battery,22
P0280,quality,22
P0279,performance,22
P0278,battery,22
P0420,battery,22
P0405,battery,22
P0416,battery,22
P0418,battery,22
P0336,battery,22
P0478,battery,22
P0475,battery,22
P0474,quality,22
P0356,performance,22
P0345,battery,22
P0345,quality,22
P0070,quality,22
P0085,quality,22
P0469,quality,22
P0013,battery,22
P0257,quality,22
P0069,performance,22
P0014,quality,22
P0027,quality,22
P0441,battery,22
P0370,battery,22
P0309,quality,22
P0309,battery,22
P0121,quality,22
P0213,battery,22
P0140,battery,22
P0371,performance,22
P0316,battery,22
P0033,quality,22
P0286,quality,22
P0122,battery,22
P0197,battery,22
P0021,battery,22
P0142,quality,22
P0145,quality,22
P0361,battery,22
P0197,performance,22
P0018,quality,22
P0357,battery,22
P0463,quality,22
P0398,quality,22
P0253,quality,22
P0118,performance,22
P0118,quality,22
P0059,battery,22
P0230,quality,22
P0446,battery,22
P0230,performance,22
P0300,quality,22
P0346,quality,22
P0390,quality,22
P0030,quality,22
P0155,battery,22
P0160,performance,22
P0006,performance,22
P0338,quality,22
P0113,battery,22
P0110,quality,22
P0491,battery,22
P0292,quality,22
P0134,performance,22
P0372,quality,22
P0223,quality,22
P0134,battery,22
P0378,performance,22
P0379,battery,22
P0056,performance,22
P0244,quality,22
P0307,battery,22
P0434,battery,22
P0028,quality,22
P0445,quality,22
P0389,battery,22
P0163,quality,21
P0492,quality,21
P0337,quality,21
P0149,quality,21
P0465,software,21
P0468,quality,21
P0470,quality,21
P0326,quality,21
P0083,quality,21
P0082,quality,21
P0328,quality,21
P0181,quality,21
P0151,quality,21
P0193,battery,21
P0349,quality,21
P0188,quality,21
P0356,battery,21
P0475,quality,21
P0188,performance,21
P0352,battery,21
P0344,quality,21
P0344,performance,21
P0332,quality,21
P0045,quality,21
P0038,quality,21
P0417,quality,21
P0143,battery,21
P0087,quality,21
P0321,quality,21
P0359,quality,21
P0066,quality,21
P0202,quality,21
P0254,performance,21
P0432,quality,21
P0282,quality,21
P0447,battery,21
P0026,performance,21
P0218,quality,21
P0369,battery,21
P0371,battery,21
P0086,performance,21
P0320,quality,21
P0220,battery,21
P0314,quality,21
P0311,battery,21
P0086,quality,21
P0250,performance,21
P0454,battery,21
P0124,quality,21
P0212,quality,21
P0211,performance,21
P0250,quality,21
P0287,battery,21
P0394,performance,21
P0392,quality,21
P0288,quality,21
P0256,performance,21
P0146,battery,21
P0462,performance,21
P0361,quality,21
P0064,battery,21
P0064,quality,21
P0209,quality,21
P0021,quality,21
P0207,battery,21
P0205,battery,21
P0126,performance,21
P0386,battery,21
P0233,battery,21
P0231,battery,21
P0301,quality,21
P0223,battery,21
P0306,battery,21
P0058,quality,21
P0095,quality,21
P0436,battery,21
P0033,performance,21
P0123,quality,21
P0243,quality,21
P0022,performance,21
P0240,quality,21
P0103,battery,21
P0384,battery,21
P0235,quality,21
P0236,battery,21
P0128,battery,21
P0100,quality,21
P0099,performance,21
P0276,quality,21
P0274,quality,21
P0275,quality,21
P0340,performance,21
P0078,battery,21
P0339,battery,21
P0152,quality,21
P0179,quality,21
P0177,quality,21
P0010,performance,21
P0483,performance,21
P0496,performance,20
P0165,performance,20
P0485,performance,20
P0180,battery,20
P0180,quality,20
P0339,performance,20
P0077,battery,20
P0488,quality,20
P0489,battery,20
P0007,performance,20
P0007,quality,20
P0168,performance,20
P0172,quality,20
P0129,battery,20
P0292,performance,20
P0294,quality,20
P0098,battery,20
P0381,performance,20
P0437,performance,20
P0228,quality,20
P0376,quality,20
P0380,battery,20
P0303,quality,20
P0131,quality,20
P0234,performance,20
P0136,comfort,20
P0374,performance,20
P0308,quality,20
P0388,battery,20
P0052,battery,20
P0053,performance,20
P0243,battery,20
P0245,battery,20
P0448,delivery,20
P0449,quality,20
P0219,quality,20
P0093,quality,20
P0369,quality,20
P0366,quality,20
P0091,battery,20
P0317,quality,20
P0138,quality,20
P0214,quality,20
P0246,quality,20
P0285,battery,20
P0049,quality,20
P0431,battery,20
P0431,quality,20
P0142,comfort,20
P0459,software,20
P0363,quality,20
P0364,quality,20
P0063,quality,20
P0145,performance,20
P0201,performance,20
P0464,battery,20
P0254,quality,20
P0399,quality,20
P0282,performance,20
P0104,quality,20
P0119,quality,20
P0422,quality,20
P0261,quality,20
P0469,battery,20
P0323,quality,20
P0327,quality,20
P0192,quality,20
P0195,performance,20
P0354,delivery,20
P0354,quality,20
P0355,battery,20
P0346,battery,20
P0334,quality,20
P0181,price,20
P0479,performance,20
P0482,battery,20
P0416,performance,20
P0265,quality,20
P0115,quality,20
P0410,battery,20
P0043,performance,20
P0160,quality,20
P0496,quality,20
P0493,quality,20
P0005,performance,19
P0004,battery,19
P0166,quality,19
P0493,battery,19
P0345,performance,19
P0348,quality,19
P0070,price,19
P0071,battery,19
P0336,price,19
P0481,performance,19
P0408,quality,19
P0042,software,19
P0043,quality,19
P0410,quality,19
P0269,performance,19
P0269,quality,19
P0273,performance,19
P0152,battery,19
P0472,quality,19
P0015,battery,19
P0189,battery,19
P0355,quality,19
P0404,battery,19
P0404,quality,19
P0045,performance,19
P0278,quality,19
P0282,battery,19
P0414,battery,19
P0041,performance,19
P0415,performance,19
P0068,quality,19
P0079,quality,19
P0191,performance,19
P0467,battery,19
P0468,performance,19
P0192,performance,19
P0325,quality,19
P0326,performance,19
P0327,battery,19
P0327,performance,19
P0329,quality,19
P0195,quality,19
P0146,quality,19
P0199,quality,19
P0035,software,19
P0260,quality,19
P0263,quality,19
P0416,quality,19
P0266,performance,19
P0114,price,19
P0411,quality,19
P0403,quality,19
P0322,software,19
P0360,battery,19
P0067,battery,19
P0360,quality,19
P0432,battery,19
P0397,performance,19
P0400,quality,19
P0048,quality,19
P0284,performance,19
P0284,quality,19
P0255,quality,19
P0203,quality,19
P0458,quality,19
P0207,quality,19
P0364,battery,19
P0319,quality,19
P0312,quality,19
P0090,quality,19
P0316,performance,19
P0316,quality,19
P0316,software,19
P0318,comfort,19
P0088,quality,19
P0089,quality,19
P0139,performance,19
P0140,performance,19
P0249,quality,19
P0105,battery,19
P0393,performance,19
P0102,quality,19
P0428,battery,19
P0212,battery,19
P0136,quality,19
P0455,quality,19
P0024,performance,19
P0434,performance,19
P0435,quality,19
P0031,quality,19
P0247,battery,19
P0248,quality,19
P0094,quality,19
P0369,price,19
P0061,quality,19
P0310,performance,19
P0224,performance,19
P0226,performance,19
P0133,performance,19
P0441,quality,19
P0060,battery,19
P0443,battery,19
P0242,delivery,19
P0290,battery,19
P0290,quality,19
P0387,performance,19
P0388,quality,19
P0229,delivery,19
P0230,battery,19
P0384,quality,19
P0235,performance,19
P0291,battery,19
P0438,quality,19
P0439,quality,19
P0487,battery,19
P0487,quality,19
P0482,performance,19
P0181,performance,19
P0402,quality,19
P0489,quality,19
P0170,quality,19
P0174,quality,19
P0156,quality,19
P0347,comfort,19
P0347,performance,19
P0159,quality,19
P0161,battery,18
P0497,quality,18
P0154,quality,18
P0339,quality,18
P0169,battery,18
P0341,performance,18
P0403,battery,18
P0008,price,18
P0487,performance,18
P0176,quality,18
P0154,battery,18
P0381,quality,18
P0129,performance,18
P0380,software,18
P0157,quality,18
P0440,performance,18
P0440,quality,18
P0238,battery,18
P0290,price,18
P0231,quality,18
P0303,comfort,18
P0302,quality,18
P0380,quality,18
P0379,performance,18
P0380,performance,18
P0128,quality,18
P0099,battery,18
P0248,performance,18
P0123,performance,18
P0309,performance,18
P0367,quality,18
P0032,quality,18
P0436,performance,18
P0122,quality,18
P0122,software,18
P0449,performance,18
P0388,performance,18
P0052,quality,18
P0389,performance,18
P0054,battery,18
P0390,performance,18
P0433,quality,18
P0230,comfort,18
P0027,battery,18
P0103,performance,18
P0126,quality,18
P0125,performance,18
P0227,quality,18
P0058,software,18
P0374,software,18
P0060,quality,18
P0134,quality,18
P0062,battery,18
P0224,battery,18
P0472,comfort,18
P0187,quality,18
P0413,performance,18
P0419,performance,18
P0038,performance,18
P0205,software,18
P0142,performance,18
P0204,quality,18
P0019,quality,18
P0424,performance,18
P0019,delivery,18
P0399,battery,18
P0426,quality,18
P0357,performance,18
P0322,quality,18
P0087,performance,18
P0358,quality,18
P0067,performance,18
P0463,performance,18
P0465,battery,18
P0018,performance,18
P0285,performance,18
P0461,quality,18
P0065,performance,18
P0459,performance,18
P0209,battery,18
P0320,performance,18
P0251,battery,18
P0287,performance,18
P0215,quality,18
P0034,quality,18
P0288,performance,18
P0022,quality,18
P0456,performance,18
P0457,battery,18
P0446,quality,18
P0447,quality,18
P0333,price,18
P0331,battery,18
P0193,quality,18
P0353,quality,18
P0046,performance,18
P0186,performance,18
P0270,quality,18
P0012,quality,18
P0167,performance,18
P0343,performance,18
P0163,battery,18
P0350,performance,18
P0480,quality,18
P0351,quality,18
P0070,performance,18
P0277,quality,18
P0324,performance,18
P0083,performance,18
P0425,quality,18
P0037,performance,18
P0195,battery,18
P0355,performance,18
P0278,performance,18
P0190,battery,18
P0425,battery,18
P0024,quality,17
P0245,performance,17
P0124,performance,17
P0249,battery,17
P0031,performance,17
P0178,battery,17
P0241,performance,17
P0338,delivery,17
P0007,battery,17
P0074,delivery,17
P0175,quality,17
P0161,quality,17
P0061,performance,17
P0246,performance,17
P0442,quality,17
P0305,performance,17
P0373,quality,17
P0059,performance,17
P0444,battery,17
P0441,performance,17
P0442,performance,17
P0304,quality,17
P0220,quality,17
P0302,performance,17
P0232,battery,17
P0294,performance,17
P0101,performance,17
P0128,performance,17
P0128,delivery,17
P0233,quality,17
P0233,delivery,17
P0378,battery,17
P0242,battery,17
P0229,battery,17
P0027,delivery,17
P0158,quality,17
P0486,battery,17
P0365,performance,17
P0105,performance,17
P0256,quality,17
P0267,quality,17
P0065,quality,17
P0358,performance,17
P0462,quality,17
P0401,performance,17
P0252,quality,17
P0204,battery,17
P0283,quality,17
P0019,performance,17
P0401,quality,17
P0047,quality,17
P0401,battery,17
P0251,comfort,17
P0210,quality,17
P0021,performance,17
P0427,quality,17
P0035,performance,17
P0213,software,17
P0137,quality,17
P0452,performance,17
P0453,performance,17
P0395,comfort,17
P0395,quality,17
P0313,quality,17
P0092,delivery,17
P0092,quality,17
P0249,performance,17
P0323,performance,17
P0148,quality,17
P0466,performance,17
P0149,performance,17
P0014,battery,17
P0396,quality,17
P0281,price,17
P0079,performance,17
P0331,quality,17
P0069,quality,17
P0407,quality,17
P0413,quality,17
P0466,quality,17
P0200,software,17
P0015,quality,17
P0471,quality,17
P0471,performance,17
P0185,software,17
P0183,performance,17
P0472,battery,17
P0042,quality,17
P0268,quality,17
P0112,performance,17
P0273,quality,17
P0275,performance,17
P0274,performance,17
P0110,delivery,17
P0481,quality,17
P0481,price,17
P0408,performance,17
P0011,quality,17
P0334,battery,17
P0348,performance,17
P0166,comfort,17
P0494,quality,17
P0006,battery,17
P0001,quality,16
P0002,performance,16
P0494,performance,16
P0119,delivery,16
P0258,price,16
P0259,quality,16
P0260,performance,16
P0012,performance,16
P0009,performance,16
P0010,delivery,16
P0261,comfort,16
P0261,performance,16
P0117,quality,16
P0115,price,16
P0268,performance,16
P0111,performance,16
P0276,performance,16
P0238,quality,16
P0279,comfort,16
P0280,battery,16
P0106,software,16
P0280,software,16
P0127,performance,16
P0128,price,16
P0159,battery,16
P0477,quality,16
P0011,battery,16
P0232,quality,16
P0233,price,16
P0102,comfort,16
P0292,comfort,16
P0231,performance,16
P0295,price,16
P0295,quality,16
P0296,performance,16
P0298,delivery,16
P0299,quality,16
P0017,delivery,16
P0096,quality,16
P0097,delivery,16
P0309,software,16
P0094,software,16
P0318,quality,16
P0088,performance,16
P0090,delivery,16
P0321,delivery,16
P0321,performance,16
P0087,delivery,16
P0087,software,16
P0083,price,16
P0331,software,16
P0079,price,16
P0218,performance,16
P0018,price,16
P0019,comfort,16
P0168,quality,16
P0170,comfort,16
P0334,software,16
P0335,delivery,16
P0338,price,16
P0339,delivery,16
P0078,performance,16
P0342,performance,16
P0342,quality,16
P0213,performance,16
P0348,delivery,16
P0211,quality,16
P0352,quality,16
P0068,performance,16
P0207,performance,16
P0208,quality,16
P0156,performance,16
P0464,comfort,16
P0172,comfort,16
P0173,quality,16
P0465,performance,16
P0359,performance,16
P0066,delivery,16
P0361,delivery,16
P0361,performance,16
P0362,battery,16
P0364,performance,16
P0369,software,16
P0062,performance,16
P0062,quality,16
P0144,performance,16
P0201,software,16
P0452,quality,16
P0174,performance,16
P0378,quality,16
P0143,quality,16
P0056,comfort,16
P0387,quality,16
P0053,price,16
P0145,price,16
P0400,battery,16
P0401,comfort,16
P0046,comfort,16
P0408,price,16
P0189,quality,16
P0153,quality,16
P0447,software,16
P0448,performance,16
P0175,performance,16
P0044,performance,16
P0412,performance,16
P0412,price,16
P0040,quality,16
P0186,quality,16
P0421,performance,16
P0421,price,16
P0150,quality,16
P0423,battery,16
P0423,quality,16
P0036,performance,16
P0429,performance,16
P0182,quality,16
P0181,delivery,16
P0445,performance,16
P0184,performance,16
P0495,price,16
P0251,price,16
P0253,delivery,16
P0487,price,16
P0006,software,16
P0491,performance,16
P0493,comfort,16
P0001,performance,16
P0488,comfort,15
P0004,quality,15
P0329,performance,15
P0324,quality,15
P0219,performance,15
P0322,performance,15
P0467,quality,15
P0465,price,15
P0018,software,15
P0152,performance,15
P0447,performance,15
P0446,performance,15
P0443,performance,15
P0442,price,15
P0003,delivery,15
P0440,comfort,15
P0319,performance,15
P0089,performance,15
P0222,performance,15
P0222,delivery,15
P0317,performance,15
P0316,comfort,15
P0092,performance,15
P0335,quality,15
P0034,performance,15
P0036,quality,15
P0424,quality,15
P0267,comfort,15
P0241,quality,15
P0262,quality,15
P0217,software,15
P0217,performance,15
P0216,quality,15
P0216,price,15
P0091,performance,15
P0091,delivery,15
P0224,quality,15
P0312,performance,15
P0041,comfort,15
P0273,software,15
P0112,quality,15
P0125,software,15
P0272,performance,15
P0271,quality,15
P0182,performance,15
P0072,performance,15
P0346,performance,15
P0076,performance,15
P0344,comfort,15
P0343,price,15
P0212,performance,15
P0307,software,15
P0307,price,15
P0301,performance,15
P0301,delivery,15
P0300,performance,15
P0026,comfort,15
P0451,performance,15
P0449,battery,15
P0038,comfort,15
P0419,price,15
P0417,price,15
P0155,performance,15
P0208,performance,15
P0354,performance,15
P0140,quality,15
P0139,comfort,15
P0362,performance,15
P0359,price,15
P0046,quality,15
P0281,quality,15
P0108,quality,15
P0107,software,15
P0279,price,15
P0019,software,15
P0157,price,15
P0014,performance,15
P0474,comfort,15
P0470,price,15
P0017,performance,15
P0016,quality,15
P0016,performance,15
P0367,price,15
P0106,price,15
P0106,performance,15
P0104,performance,15
P0164,performance,15
P0011,performance,15
P0478,comfort,15
P0409,performance,15
P0148,software,15
P0206,quality,15
P0206,performance,15
P0362,price,15
P0228,performance,15
P0227,software,15
P0130,quality,15
P0451,software,15
P0375,quality,15
P0375,performance,15
P0059,comfort,15
P0371,quality,15
P0202,delivery,15
P0175,comfort,15
P0457,price,15
P0391,comfort,15
P0054,software,15
P0049,performance,15
P0048,performance,15
P0047,performance,15
P0400,performance,15
P0146,comfort,15
P0194,quality,15
P0396,performance,15
P0457,performance,15
P0457,delivery,15
P0023,performance,15
P0023,comfort,15
P0454,quality,15
P0292,price,15
P0290,performance,15
P0289,quality,15
P0104,comfort,15
P0103,delivery,15
P0289,performance,15
P0131,performance,15
P0286,comfort,15
P0285,delivery,15
P0382,quality,15
P0057,performance,15
P0394,quality,15
P0049,price,15
P0486,quality,15
P0253,performance,15
P0121,price,15
P0497,performance,15
P0257,performance,15
P0255,performance,15
P0253,software,15
P0247,quality,15
P0434,price,15
P0117,performance,15
P0161,performance,15
P0485,software,15
P0484,performance,15
P0482,quality,15
P0491,comfort,15
P0493,performance,15
P0160,comfort,15
P0009,price,14
P0010,comfort,14
P0161,comfort,14
P0161,price,14
P0244,delivery,14
P0123,delivery,14
P0435,performance,14
P0331,comfort,14
P0331,delivery,14
P0488,performance,14
P0254,comfort,14
P0258,quality,14
P0260,comfort,14
P0120,software,14
P0486,software,14
P0050,performance,14
P0051,quality,14
P0381,battery,14
P0200,comfort,14
P0144,delivery,14
P0381,delivery,14
P0382,performance,14
P0384,price,14
P0286,performance,14
P0234,quality,14
P0102,delivery,14
P0103,comfort,14
P0453,price,14
P0455,comfort,14
P0195,price,14
P0398,performance,14
P0402,delivery,14
P0402,price,14
P0054,price,14
P0051,software,14
P0393,software,14
P0377,quality,14
P0370,performance,14
P0061,comfort,14
P0372,performance,14
P0060,software,14
P0376,performance,14
P0200,performance,14
P0177,price,14
P0293,performance,14
P0100,delivery,14
P0295,performance,14
P0296,delivery,14
P0296,price,14
P0298,quality,14
P0133,software,14
P0362,quality,14
P0143,comfort,14
P0063,performance,14
P0408,comfort,14
P0476,software,14
P0478,quality,14
P0480,performance,14
P0012,delivery,14
P0104,price,14
P0105,comfort,14
P0396,delivery,14
P0367,delivery,14
P0369,performance,14
P0473,quality,14
P0013,comfort,14
P0013,performance,14
P0014,delivery,14
P0020,comfort,14
P0043,price,14
P0279,quality,14
P0236,performance,14
P0283,price,14
P0474,software,14
P0476,delivery,14
P0476,quality,14
P0403,software,14
P0192,software,14
P0405,comfort,14
P0045,price,14
P0020,quality,14
P0171,quality,14
P0066,performance,14
P0210,software,14
P0140,comfort,14
P0350,delivery,14
P0351,comfort,14
P0068,software,14
P0069,software,14
P0418,performance,14
P0418,quality,14
P0039,performance,14
P0040,delivery,14
P0419,software,14
P0409,software,14
P0448,quality,14
P0450,quality,14
P0025,price,14
P0177,delivery,14
P0301,comfort,14
P0095,performance,14
P0132,delivery,14
P0306,software,14
P0211,software,14
P0272,delivery,14
P0239,quality,14
P0113,performance,14
P0274,software,14
P0275,price,14
P0109,quality,14
P0237,performance,14
P0410,software,14
P0042,comfort,14
P0347,software,14
P0308,performance,14
P0310,comfort,14
P0312,price,14
P0313,delivery,14
P0223,performance,14
P0314,comfort,14
P0215,software,14
P0432,performance,14
P0117,price,14
P0266,delivery,14
P0266,software,14
P0267,performance,14
P0422,comfort,14
P0426,performance,14
P0428,comfort,14
P0429,price,14
P0429,quality,14
P0337,comfort,14
P0339,software,14
P0318,delivery,14
P0318,performance,14
P0135,performance,14
P0320,price,14
P0017,quality,14
P0017,software,14
P0032,price,14
P0435,software,14
P0436,comfort,14
P0436,delivery,14
P0439,delivery,14
P0154,performance,14
P0495,performance,14
P0444,price,14
P0444,quality,14
P0018,comfort,14
P0170,battery,14
P0333,comfort,14
P0215,price,14
P0324,comfort,14
P0220,performance,14
P0325,performance,14
P0328,price,14
P0082,performance,14
P0494,delivery,14
P0487,software,13
P0486,performance,13
P0486,delivery,13
P0247,price,13
P0253,comfort,13
P0252,price,13
P0251,quality,13
P0122,performance,13
